CurrencyLable,FlagLink,CadXchangeRate,CurrencyFormat
AUD,https://www.countries-ofthe-world.com/flags-normal/flag-of-Australia.png,1.02,"$ 0,000"
BRL,https://www.countries-ofthe-world.com/flags-normal/flag-of-Brazil.png,2.55,"R$ 0,000"
CHF,https://www.countries-ofthe-world.com/flags-normal/flag-of-Liechtenstein.png,0.75,"Fr 0,000"
CNY,https://www.countries-ofthe-world.com/flags-normal/flag-of-China.png,5.28,"¥ 0,000"
EUR,https://www.countries-ofthe-world.com/flags-normal/flag-of-Akrotiri-and-Dhekelia.png,0.68,"€ 0,000"
GBP,https://www.countries-ofthe-world.com/flags-normal/flag-of-Alderney.png,0.60,"£ 0,000"
HKD,https://www.countries-ofthe-world.com/flags-normal/flag-of-Hong-Kong.png,6.06,"$ 0,000"
IDR,https://www.countries-ofthe-world.com/flags-normal/flag-of-Indonesia.png,10416.67,"Rp 0,000"
INR,https://www.countries-ofthe-world.com/flags-normal/flag-of-Bhutan.png,50.13,"₹ 0,000"
JPY,https://www.countries-ofthe-world.com/flags-normal/flag-of-Japan.png,88.42,"¥ 0,000"
KRW,"https://www.countries-ofthe-world.com/flags-normal/flag-of-Korea,-South.png",896.06,"₩ 0,000"
MXN,https://www.countries-ofthe-world.com/flags-normal/flag-of-Mexico.png,14.06,"$ 0,000"
MYR,https://www.countries-ofthe-world.com/flags-normal/flag-of-Malaysia.png,3.34,"RM 0,000"
NOK,https://www.countries-ofthe-world.com/flags-normal/flag-of-Norway.png,6.49,"kr 0,000"
NZD,https://www.countries-ofthe-world.com/flags-normal/flag-of-Cook-Islands.png,1.07,"$ 0,000"
PEN,https://www.countries-ofthe-world.com/flags-normal/flag-of-Peru.png,2.52,"S/. 0,000"
RUB,https://www.countries-ofthe-world.com/flags-normal/flag-of-Abkhazia.png,46.90,"₽ 0,000"
SAR,https://www.countries-ofthe-world.com/flags-normal/flag-of-Saudi-Arabia.png,2.91,"ر.س 0,000"
SEK,https://www.countries-ofthe-world.com/flags-normal/flag-of-Sweden.png,6.54,"kr 0,000"
SGD,https://www.countries-ofthe-world.com/flags-normal/flag-of-Brunei.png,1.07,"$ 0,000"
THB,https://www.countries-ofthe-world.com/flags-normal/flag-of-Thailand.png,26.46,"฿ 0,000"
TRY,https://www.countries-ofthe-world.com/flags-normal/flag-of-Northern-Cyprus.png,2.81,"₺ 0,000"
TWD,https://www.countries-ofthe-world.com/flags-normal/flag-of-Taiwan.png,23.71,"$ 0,000"
USD,https://www.countries-ofthe-world.com/flags-normal/flag-of-Bonaire.png,0.78,"$ 0,000"
VND,https://www.countries-ofthe-world.com/flags-normal/flag-of-Vietnam.png,17543.86,"₫ 0,000"
ZAR,https://www.countries-ofthe-world.com/flags-normal/flag-of-Lesotho.png,10.40,"R 0,000"
