action,name,quantity
in,alga,3342.0
in,awokado,4653.0
in,bakłażan,149536.5
in,bazylia,14920.0
in,białe wino,19063.0
in,biały sezam,5538.0
in,bita śmietana,118604.0
in,boczek,134451.0
in,brokuł,3785.5
in,bulion,298218.3333333333
in,bulion mięsny,6407.0
in,bułka do burgerów,4172.0
in,cebula,53979.0
in,cebulka,20213.0
in,chińska kapusta,3702.0
in,chleb,2861.0
in,ciabatta,3237.0
in,ciecierzyca,215052.0
in,cukier,78433.5
in,cukier waniliowy,4481.0
in,cukinia,120732.0
in,cynamon,4454.0
in,cytryna,4057.75
in,czekolada,73573.0
in,czerwona papryka,3786.0
in,czosnek,10206.5
in,dorsz,66724.0
in,drożdże,3646.0
in,fasola,125167.0
in,fasola czerwona,28451.0
in,fasolka biała,77371.0
in,fasolka szparagowa,34423.0
in,gorzka czekolada,106552.0
in,groszek cukrowy,13659.0
in,grzyb shiitake,3934.0
in,herbata malinowa,6375.0
in,imbir,10643.0
in,jagoda goji,3957.0
in,jajko,6513.0
in,jogurt naturalny,25862.0
in,kacze udko,4527.0
in,kakao,4015.0
in,kalmar,3427.0
in,kasztan jadalny,9008.0
in,kiełbaska chorizo,36764.0
in,kiełki,13604.0
in,kmin rzymski,4142.0
in,kolendra,3800.0
in,konfitura malinowa,3331.0
in,krem balsamiczny,3237.0
in,krewetka,107645.0
in,kukurydza,158150.0
in,kurczak,445775.0
in,kurka,12418.0
in,kuskus,17334.833333333332
in,laska wanilii,4242.0
in,leszcz morski,6059.0
in,limonka,3961.0
in,liść bazylii,9716.0
in,liść laurowy,5305.0
in,lód,4227.0
in,majeranek,5536.0
in,majonez,3934.5
in,makaron,207720.0
in,makaron chili,19774.0
in,makaron jajeczny,20745.0
in,makaron pszenny,24045.0
in,makaron ryżowy,42994.0
in,makaron sojowy,25797.0
in,makaron udong,96023.0
in,maliny,4192.0
in,mango,5322.0
in,marchew,5404.5
in,marchewka,4257.0
in,marynata,4211.0
in,marynowana cebula,3457.0
in,marynowana ostra papryczka,66360.0
in,marynowana papryka jalapeño,13259.0
in,marynowany podgrzybek,4609.0
in,masło,147848.0
in,migdał,3470.0
in,mirin,5040.0
in,miód,6541.0
in,mięso drobiowe,71108.0
in,mięta,7065.333333333333
in,mleczko kokosowe,398042.0
in,mleko,257507.0
in,mozzarella,194311.0
in,mus jabłkowy,51311.0
in,musztarda,5718.0
in,mąka,4185.0
in,mąka orkiszowa,26405.0
in,mąka pszenna,4497.0
in,mąka ryżowa,3951.5
in,mąka z orzechów,107956.0
in,mąka ziemniaczana,4426.0
in,napój z mango,56978.0
in,nasiono granatu,3510.0
in,natka pietruszki,4544.0
in,ocet,4204.0
in,ocet ryżowy,3998.0
in,ocet winny,4709.0
in,ogórek,3351.5
in,olej,38268.0
in,olej sezamowy,4347.0
in,olej słonecznikowy,5232.0
in,oliwa,10362.0
in,oregano,3213.0
in,orzech nerkowca,14809.0
in,orzeszek pinii,4743.0
in,papryczka chili,8413.5
in,papryka,4833.75
in,papryka czerwona,4494.5
in,parmezan,5283.0
in,pasata pomidorowa,63150.0
in,pasta curry,32954.0
in,pasta harissa,10742.0
in,pasta miso,4457.0
in,pasta sojowa,3961.0
in,pasta z wanilii,4073.0
in,perełka tapioki,6368.0
in,pieczarka,89186.0
in,pieprz,4978.0
in,pietruszka,4175.0
in,polędwica wołowa,48239.0
in,pomidor,76941.0
in,pomidor malinowy,4104.0
in,pomidorek koktajlowy,41408.0
in,por,4465.0
in,przyprawa do drobiu,3203.0
in,puree z mango,3496.0
in,pęd bambusa,117211.0
in,płatki owsiane,4329.0
in,rozmaryn,3331.0
in,rukola,4958.0
in,rum,4282.0
in,ryż,196518.0
in,sałata,28393.0
in,sałata lodowa,4201.0
in,seler,3962.0
in,ser feta,28001.0
in,ser kozi,14045.0
in,ser mozzarella,23186.0
in,sezam,6806.0
in,soczewica,21504.0
in,soda oczyszczona,4410.75
in,sok z limonki,7068.0
in,solona pistacja,5684.0
in,sos Hoisin,7858.0
in,sos Worcester,3556.0
in,sos chili,5602.0
in,sos do salsy,3532.0
in,sos ostrygowy,3718.0
in,sos serowy,4454.0
in,sos sojowy,11347.0
in,sos stir-fry,64884.0
in,sos teriyaki,7068.0
