TeamName,Submitted By,RoundName,Question Number,Avg Point Score
#PPPQuiz Meister,All Correct Guy,Round 1: Spin up your Instances,1,3
The Wicked Dingos,Greg Nash,Round 1: Spin up your Instances,1,2
#PPPQuiz Meister,All Correct Guy,Round 1: Spin up your Instances,2,1
#PPPQuiz Meister,All Correct Guy,Round 1: Spin up your Instances,3,1
#PPPQuiz Meister,All Correct Guy,Round 1: Spin up your Instances,4,1
#PPPQuiz Meister,All Correct Guy,Round 1: Spin up your Instances,5,1
#PPPQuiz Meister,All Correct Guy,Round 1: Spin up your Instances,6,1
#PPPQuiz Meister,All Correct Guy,Round 1: Spin up your Instances,7,1
#PPPQuiz Meister,All Correct Guy,Round 1: Spin up your Instances,8,1
#PPPQuiz Meister,Amey,Round 1: Spin up your Instances,2,1
#PPPQuiz Meister,Amey,Round 1: Spin up your Instances,3,1
The Wicked Dingos,Greg Nash,Round 1: Spin up your Instances,3,1
The Wicked Dingos,Greg Nash,Round 1: Spin up your Instances,4,1
The Wicked Dingos,Greg Nash,Round 1: Spin up your Instances,5,1
The Wicked Dingos,Greg Nash,Round 1: Spin up your Instances,8,1
