Month,Day,Daily_Total_Cases,Daily_Total_Deaths,Daily_Total_Recovered
January,22,555,17,28
January,23,654,18,30
January,24,941,26,36
January,25,1434,42,39
January,26,2118,56,52
January,27,2927,82,61
January,28,5578,131,107
January,29,6166,133,126
January,30,8234,171,143
January,31,9927,213,222
February,1,12038,259,284
February,2,16787,362,472
February,3,19887,426,623
February,4,23898,492,852
February,5,27642,564,1124
February,6,30801,634,1487
February,7,34397,719,2011
February,8,37130,806,2616
February,9,40161,906,3244
February,10,42768,1013,3946
February,11,44809,1113,4683
February,12,45228,1118,5150
February,13,60376,1371,6295
February,14,66894,1523,8058
February,15,69039,1666,9395
February,16,71233,1770,10865
February,17,73268,1868,12583
February,18,75146,2007,14352
February,19,75650,2122,16121
February,20,76210,2247,18177
February,21,76833,2251,18890
February,22,78586,2458,22886
February,23,78977,2469,23394
February,24,79542,2629,25227
February,25,80393,2708,27905
February,26,81370,2770,30384
February,27,82733,2814,33277
February,28,84106,2872,36711
February,29,86005,2941,39782
March,1,88383,2996,42716
March,2,90356,3085,45602
March,3,92933,3160,48228
March,4,95235,3254,51170
March,5,98023,3347,53796
March,6,101971,3459,55865
March,7,106004,3558,58359
March,8,109963,3801,60694
March,9,113844,3987,62493
March,10,118880,4263,64404
March,11,126546,4611,67002
March,12,132240,4913,68323
March,13,146672,5411,70250
March,14,157773,5830,72621
March,15,168954,6469,76031
March,16,183593,7148,78085
March,17,199419,7954,80837
March,18,218989,8849,83320
March,19,246905,9954,84957
March,20,276475,11435,87402
March,21,308790,13141,91666
March,22,342252,14841,97881
March,23,384404,16758,98346
March,24,425535,19028,107985
March,25,476369,21803,113768
March,26,539307,24810,122133
March,27,603674,28324,130902
March,28,671309,32003,139396
March,29,730880,35471,148863
March,30,795425,39633,164300
March,31,871674,44477,177786
April,1,947840,50027,192876
April,2,1029275,56334,209917
April,3,1112215,62314,225364
April,4,1192742,68163,245777
April,5,1264109,73178,259616
April,6,1337062,79015,276249
April,7,1413812,86922,299637
April,8,1497403,93651,328353
April,9,1583844,101266,353689
April,10,1671729,108531,375508
April,11,1748223,114586,401755
April,12,1845226,120317,421158
April,13,1915142,126070,448324
April,14,1984840,132972,473417
April,15,2065566,141271,510084
April,16,2162241,148568,540912
April,17,2250566,157457,567032
April,18,2323831,163928,590955
April,19,2404673,168506,622609
April,20,2477668,173929,644611
April,21,2552783,181080,679438
April,22,2629660,187837,709867
April,23,2719097,194706,738658
April,24,2806113,201387,788691
April,25,2890304,206961,816470
April,26,2963242,210840,845073
April,27,3032503,215478,872876
April,28,3107085,221931,906142
April,29,3183962,228695,948310
April,30,3267740,234652,1013281
May,1,3354731,239824,1051512
May,2,3435281,245142,1092429
May,3,3513023,248584,1124752
May,4,3589133,252739,1158816
May,5,3669172,258618,1195421
May,6,3759093,265272,1241339
May,7,3848305,270689,1280836
May,8,3939833,276252,1317358
May,9,4023441,280515,1370907
May,10,4099732,284085,1404501
May,11,4176006,287547,1451495
May,12,4259403,293090,1488530
May,13,4344421,298321,1544372
May,14,4441499,303592,1584107
May,15,4537879,308805,1632096
May,16,4629672,312958,1688687
May,17,4708205,316297,1729573
May,18,4796476,319584,1782471
May,19,4892934,324375,1834636
May,20,4995742,329236,1893549
May,21,5102278,334028,1944814
May,22,5209244,339314,2053465
May,23,5308225,343305,2108436
May,24,5403524,346127,2163876
May,25,5490497,347309,2227599
May,26,5583031,351520,2282813
May,27,5685633,356707,2346206
May,28,5803599,361392,2413063
May,29,5924709,366076,2490390
May,30,6053134,370211,2560862
May,31,6160243,373078,2637170
June,1,6256493,376608,2692065
June,2,6369046,381307,2796188
June,3,6496381,387013,2875330
June,4,6623083,392161,2945359
June,5,6755724,396983,3014515
June,6,6881530,400801,3086717
June,7,6993970,403550,3141810
June,8,7097409,407306,3293408
June,9,7220392,412161,3375668
June,10,7354172,417366,3454807
June,11,7492360,422150,3540696
June,12,7621346,426445,3620412
June,13,7755445,430695,3706353
June,14,7888575,434041,3777131
June,15,8010360,437545,3857338
June,16,8149939,444334,3955169
June,17,8325831,449605,4073955
June,18,8464706,454614,4155099
June,19,8645640,460883,4250107
June,20,8803904,465151,4365932
June,21,8934807,469208,4434628
June,22,9072666,472779,4526333
June,23,9238013,478203,4630391
June,24,9405649,483377,4746118
June,25,9583608,489928,4838921
June,26,9774609,494773,4945557
June,27,9952423,499291,5051864
June,28,10117641,502450,5140899
June,29,10273510,506076,5235813
June,30,10447879,511268,5353205
July,1,10664168,516253,5469134
July,2,10871926,521361,5754006
July,3,11074878,526411,5863847
July,4,11267309,530754,6059565
July,5,11449707,534267,6179006
