Month & Year,Is Weekday?,Date,Year,Half Year,Quarter,Month,Week,Day of Week,Is Workday?,Europe Season,North America Season,Asia Season,Month Number,Week Number,Month & Year Short
2007-07-01 00:00:00.000,True,2007-07-02 00:00:00.000,2007,"H2","Q3","July","Week 27","Monday","WorkDay","Back to School","Back to School","None","7","1","Jul 2007"
2007-07-01 00:00:00.000,True,2007-07-03 00:00:00.000,2007,"H2","Q3","July","Week 27","Tuesday","WorkDay","Back to School","Back to School","None","7","2","Jul 2007"
2007-07-01 00:00:00.000,True,2007-07-04 00:00:00.000,2007,"H2","Q3","July","Week 27","Wednesday","WorkDay","Back to School","Back to School","None","7","3","Jul 2007"
2007-07-01 00:00:00.000,True,2007-07-05 00:00:00.000,2007,"H2","Q3","July","Week 27","Thursday","WorkDay","Back to School","Back to School","None","7","4","Jul 2007"
2007-07-01 00:00:00.000,True,2007-07-06 00:00:00.000,2007,"H2","Q3","July","Week 27","Friday","WorkDay","Back to School","Back to School","None","7","5","Jul 2007"
2007-07-01 00:00:00.000,True,2007-07-09 00:00:00.000,2007,"H2","Q3","July","Week 28","Monday","WorkDay","Back to School","Back to School","None","7","1","Jul 2007"
2007-07-01 00:00:00.000,True,2007-07-10 00:00:00.000,2007,"H2","Q3","July","Week 28","Tuesday","WorkDay","Back to School","Back to School","None","7","2","Jul 2007"
2007-07-01 00:00:00.000,True,2007-07-11 00:00:00.000,2007,"H2","Q3","July","Week 28","Wednesday","WorkDay","Back to School","Back to School","None","7","3","Jul 2007"
2007-07-01 00:00:00.000,True,2007-07-12 00:00:00.000,2007,"H2","Q3","July","Week 28","Thursday","WorkDay","Back to School","Back to School","None","7","4","Jul 2007"
2007-07-01 00:00:00.000,True,2007-07-13 00:00:00.000,2007,"H2","Q3","July","Week 28","Friday","WorkDay","Back to School","Back to School","None","7","5","Jul 2007"
2007-07-01 00:00:00.000,True,2007-07-16 00:00:00.000,2007,"H2","Q3","July","Week 29","Monday","WorkDay","Back to School","Back to School","None","7","1","Jul 2007"
2007-07-01 00:00:00.000,True,2007-07-17 00:00:00.000,2007,"H2","Q3","July","Week 29","Tuesday","WorkDay","Back to School","Back to School","None","7","2","Jul 2007"
2007-07-01 00:00:00.000,True,2007-07-18 00:00:00.000,2007,"H2","Q3","July","Week 29","Wednesday","WorkDay","Back to School","Back to School","None","7","3","Jul 2007"
2007-07-01 00:00:00.000,True,2007-07-19 00:00:00.000,2007,"H2","Q3","July","Week 29","Thursday","WorkDay","Back to School","Back to School","None","7","4","Jul 2007"
2007-07-01 00:00:00.000,True,2007-07-20 00:00:00.000,2007,"H2","Q3","July","Week 29","Friday","WorkDay","Back to School","Back to School","None","7","5","Jul 2007"
2007-07-01 00:00:00.000,True,2007-07-23 00:00:00.000,2007,"H2","Q3","July","Week 30","Monday","WorkDay","Back to School","Back to School","None","7","1","Jul 2007"
2007-07-01 00:00:00.000,True,2007-07-24 00:00:00.000,2007,"H2","Q3","July","Week 30","Tuesday","WorkDay","Back to School","Back to School","None","7","2","Jul 2007"
2007-07-01 00:00:00.000,True,2007-07-25 00:00:00.000,2007,"H2","Q3","July","Week 30","Wednesday","WorkDay","Back to School","Back to School","None","7","3","Jul 2007"
2007-07-01 00:00:00.000,True,2007-07-26 00:00:00.000,2007,"H2","Q3","July","Week 30","Thursday","WorkDay","Back to School","Back to School","None","7","4","Jul 2007"
2007-07-01 00:00:00.000,True,2007-07-27 00:00:00.000,2007,"H2","Q3","July","Week 30","Friday","WorkDay","Back to School","Back to School","None","7","5","Jul 2007"
2007-07-01 00:00:00.000,True,2007-07-30 00:00:00.000,2007,"H2","Q3","July","Week 31","Monday","WorkDay","Back to School","Back to School","None","7","1","Jul 2007"
2007-07-01 00:00:00.000,True,2007-07-31 00:00:00.000,2007,"H2","Q3","July","Week 31","Tuesday","WorkDay","Back to School","Back to School","None","7","2","Jul 2007"
2008-07-01 00:00:00.000,True,2008-07-01 00:00:00.000,2008,"H2","Q3","July","Week 27","Tuesday","WorkDay","Back to School","Back to School","None","7","2","Jul 2008"
2008-07-01 00:00:00.000,True,2008-07-02 00:00:00.000,2008,"H2","Q3","July","Week 27","Wednesday","WorkDay","Back to School","Back to School","None","7","3","Jul 2008"
2008-07-01 00:00:00.000,True,2008-07-03 00:00:00.000,2008,"H2","Q3","July","Week 27","Thursday","WorkDay","Back to School","Back to School","None","7","4","Jul 2008"
2008-07-01 00:00:00.000,True,2008-07-04 00:00:00.000,2008,"H2","Q3","July","Week 27","Friday","WorkDay","Back to School","Back to School","None","7","5","Jul 2008"
2008-07-01 00:00:00.000,True,2008-07-07 00:00:00.000,2008,"H2","Q3","July","Week 28","Monday","WorkDay","Back to School","Back to School","None","7","1","Jul 2008"
2008-07-01 00:00:00.000,True,2008-07-08 00:00:00.000,2008,"H2","Q3","July","Week 28","Tuesday","WorkDay","Back to School","Back to School","None","7","2","Jul 2008"
2008-07-01 00:00:00.000,True,2008-07-09 00:00:00.000,2008,"H2","Q3","July","Week 28","Wednesday","WorkDay","Back to School","Back to School","None","7","3","Jul 2008"
2008-07-01 00:00:00.000,True,2008-07-10 00:00:00.000,2008,"H2","Q3","July","Week 28","Thursday","WorkDay","Back to School","Back to School","None","7","4","Jul 2008"
2008-07-01 00:00:00.000,True,2008-07-11 00:00:00.000,2008,"H2","Q3","July","Week 28","Friday","WorkDay","Back to School","Back to School","None","7","5","Jul 2008"
2008-07-01 00:00:00.000,True,2008-07-14 00:00:00.000,2008,"H2","Q3","July","Week 29","Monday","WorkDay","Back to School","Back to School","None","7","1","Jul 2008"
