id,pesid,data_inversa,dia_semana,horario,uf,br,km,municipio,elemento_transito,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,condicao_metereologica,tipo_pista,tracado_via,uso_solo,tipo_veiculo,tipo_envolvido,estado_fisico,sexo,ilesos,feridos_leves,feridos_graves,mortos,latitude,longitude
7185,17739,2017-01-27 00:00:00.000,"sexta-feira",1899-12-30 17:40:00.000,"MG","40",533,"BELO HORIZONTE","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Urbano","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-19.92630722,-44.00673509
14739,31958,2017-02-24 00:00:00.000,"sexta-feira",1899-12-30 20:00:00.000,"MG","40",815,"SIMAO PEREIRA","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Plena Noite","Céu Claro","Dupla","Reta","Rural","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-21.91843827,-43.32129043
14739,31956,2017-02-24 00:00:00.000,"sexta-feira",1899-12-30 20:00:00.000,"MG","40",815,"SIMAO PEREIRA","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Plena Noite","Céu Claro","Dupla","Reta","Rural","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-21.91843827,-43.32129043
27059,59554,2017-04-08 00:00:00.000,"sábado",1899-12-30 17:59:00.000,"MG","40",559,"NOVA LIMA","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Anoitecer","Céu Claro","Dupla","Reta","Rural","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-20.13205099,-43.96352275
29165,61914,2017-03-30 00:00:00.000,"quinta-feira",1899-12-30 07:40:00.000,"MG","40",587,"ITABIRITO","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Rural","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-20.3508,-43.9146
29165,61913,2017-03-30 00:00:00.000,"quinta-feira",1899-12-30 07:40:00.000,"MG","40",587,"ITABIRITO","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Rural","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-20.3508,-43.9146
29333,62484,2017-04-16 00:00:00.000,"domingo",1899-12-30 13:30:00.000,"MG","40",455,"CAETANOPOLIS","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Rural","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-19.3634,-44.34
41923,91207,2017-05-31 00:00:00.000,"quarta-feira",1899-12-30 06:25:00.000,"MG","40",511,"RIBEIRAO DAS NEVES","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Pleno dia","Céu Claro","Dupla","Reta","Urbano","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-19.7856,-44.1151
43258,94391,2017-06-04 00:00:00.000,"domingo",1899-12-30 18:10:00.000,"MG","40",510,"RIBEIRAO DAS NEVES","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Anoitecer","Céu Claro","Dupla","Reta","Rural","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-19.7779,-44.1207
43258,94392,2017-06-04 00:00:00.000,"domingo",1899-12-30 18:10:00.000,"MG","40",510,"RIBEIRAO DAS NEVES","Homem","Falta de Atenção à Condução","Colisão traseira","Com Vítimas Feridas","Anoitecer","Céu Claro","Dupla","Reta","Rural","Automóvel","Condutor","Ileso","Masculino",1,0,0,0,-19.7779,-44.1207
