MemberID,ScheduleCode,TrainerID,StartDate,PayDate,Amount,MethodNo
102030405,"FrSa1830-2030",222,2020-09-23 00:00:00.000,2020-09-23 00:00:00.000,79.95,1
102030405,"FrSa1830-2030",222,2020-09-23 00:00:00.000,2020-10-23 00:00:00.000,79.95,4
102895606,"FrSa1830-2030",111,2020-04-05 00:00:00.000,2020-04-05 00:00:00.000,50,5
102895606,"FrSa1830-2030",111,2020-04-05 00:00:00.000,2020-05-05 00:00:00.000,50,5
102895606,"FrSa1830-2030",111,2020-04-05 00:00:00.000,2020-06-05 00:00:00.000,50,5
102895606,"FrSa1830-2030",111,2020-04-05 00:00:00.000,2020-07-10 00:00:00.000,50,5
102895606,"MoWeFr1300-1500",444,2020-11-01 00:00:00.000,2020-11-02 00:00:00.000,60,3
111222333,"TuThSa1600-1800",444,2020-09-29 00:00:00.000,2020-09-29 00:00:00.000,75.95,2
111222333,"TuThSa1600-1800",444,2020-09-29 00:00:00.000,2020-10-29 00:00:00.000,75.95,3
444555666,"TuThSa1300-1500",333,2020-08-01 00:00:00.000,2020-08-01 00:00:00.000,60,1
444555666,"TuThSa1300-1500",333,2020-08-01 00:00:00.000,2020-09-01 00:00:00.000,60,3
444555666,"TuThSa1300-1500",333,2020-08-01 00:00:00.000,2020-10-01 00:00:00.000,60,3
444555666,"TuThSa1300-1500",333,2020-08-01 00:00:00.000,2020-11-01 00:00:00.000,60,3
777888999,"MoWeFr1300-1500",444,2020-09-09 00:00:00.000,2020-09-09 00:00:00.000,60,2
777888999,"MoWeFr1300-1500",444,2020-09-09 00:00:00.000,2020-10-09 00:00:00.000,60,2
