Country,Deaths_exp
"United Arab Emirates",False
"Afghanistan",False
"Armenia",False
"Austria",False
"Australia",False
"Azerbaijan",False
"Belgium",False
"Canada",False
"Switzerland",False
"China",False
"Czech Republic",False
"Germany",False
"Denmark",False
"Algeria",False
"Ecuador",False
"Estonia",False
"Finland",False
"France",False
"United Kingdom",False
"Georgia",False
"Greece",False
"Croatia",False
"Indonesia",False
"Ireland",False
"Israel",False
"Iraq",False
"Iran",False
"Japan",False
"South Korea",False
"Kuwait",False
"Lebanon",False
"Lithuania",False
"Luxembourg",False
"Macedonia",False
"Malaysia",False
"Nigeria",False
"Netherlands",False
"Norway",False
"Oman",False
"Philippines",False
"Qatar",False
"Sweden",False
"Singapore",False
"San Marino",False
"Thailand",False
"United States of America",False
"Italy",False
"New Zealand",False
"Spain",False
"Andorra",False
"Latvia",False
"Morocco",False
"Portugal",False
"Senegal",False
"Sint Maarten",False
"Tunisia",False
"Hungary",False
"Slovenia",False
"Bosnia and Herzegovina",False
"Cameroon",False
"Serbia",False
"Slovakia",False
"Togo",False
"Paraguay",False
"Albania",False
"Bangladesh",False
"Cyprus",False
"Burkina Faso",False
"Democratic Republic of the Congo",False
"Ivory Coast",False
"Cuba",False
"Honduras",False
"Turkey",False
"Ghana",False
"Guinea",False
"Kenya",False
"Sudan",False
"Guatemala",False
"Kazakhstan",False
"Uruguay",False
"Bahamas",False
"Republic of the Congo",False
"Uzbekistan",False
"Liberia",False
"Somalia",False
"Tanzania",False
"Kosovo",False
"Kyrgyzstan",False
"El Salvador",False
"Guernsey",False
"Haiti",False
"Jersey",False
"Chad",False
"Isle of Man",False
"Niger",False
"Mali",False
"Puerto Rico",False
"Sierra Leone",False
"Yemen",False
"Tajikistan",False
"Brazil",True
"Belarus",True
"Dominican Republic",True
"Egypt",True
"India",True
"Mexico",True
"Pakistan",True
"Romania",True
"Russia",True
"Saudi Arabia",True
"Argentina",True
"Chile",True
"Poland",True
"Ukraine",True
"South Africa",True
"Colombia",True
"Peru",True
"Bulgaria",True
"Moldova",True
"Panama",True
"Bolivia",True
