Country,ВВП,Процент зараженных,Процент смертей,ISO
"Afghanistan",76.624,0.00016828877028120208,4.4162001573323882E-06,"AFG"
"Albania",39.832,0.00032385521693266417,1.0760462727666226E-05,"ALB"
"Algeria",668.827,0.00015843243083289748,1.2589118532682954E-05,"DZA"
"Angola",200.83,1.5082342520312851E-06,6.284309383463688E-08,"AGO"
"Antigua and Barbuda",2.767,0.00025741881010729216,3.089025721287506E-05,"ATG"
"Argentina",911.562,0.00017400362214264873,8.1061749021793484E-06,"ARG"
"Armenia",33.426,0.0014480694829921991,1.8595335410826745E-05,"ARM"
"Aruba",4.472,0.00095001599036815469,2.8218296743608557E-05,"ABW"
"Australia",1362.073,0.00027917092108707789,3.8883954329922731E-06,"AUS"
"Austria",476.812,0.0018023245296368484,7.01276211035899E-05,"AUT"
"Azerbaijan",187.346,0.00031230972047583343,3.5829031029732325E-06,"AZE"
"The Bahamas",12.798,,,"BHS"
"Bahrain",76.94,0.0041110864674756822,7.3118478745676872E-06,"BHR"
"Bangladesh",838.554,0.00012876721458041567,1.9258349787211489E-06,"BGD"
"Barbados",5.432,0.000299625468164794,2.438811950178556E-05,"BRB"
"Belarus",195.119,0.0030342523193288991,1.6926898333134267E-05,"BLR"
"Belgium",572.902,0.0047653554869053032,0.0007803747323934288,"BEL"
"Belize",3.358,4.6112108783588191E-05,5.1235676426209096E-06,"BLZ"
"Benin",40.643,2.8726011555991447E-05,1.69474994430628E-07,"BEN"
"Bhutan",7.937,2.7519617555943451E-05,0,"BTN"
"Bolivia",93.357,0.00033231709965170111,1.433150063840321E-05,"BOL"
"Bosnia and Herzegovina",49.727,0.00068676158739775829,3.907906694940927E-05,"BIH"
"Botswana",43.907,1.0418036747020116E-05,4.3408486445917147E-07,"BWA"
"Brazil",3480.546,0.0011046790926946735,7.40726606793106E-05,"BRA"
"Brunei Darussalam",36.631,,,"BRN"
"Bulgaria",170.925,0.00031585177337699544,1.5428309147315923E-05,"BGR"
"Burkina Faso",47.303,3.8481642337443848E-05,2.5096723263550335E-06,"BFA"
"Burundi",8.711,2.485216414026009E-06,9.2045052371333677E-08,"BDI"
"Cabo Verde",4.343,,,"CPV"
"Cambodia",76.959,7.3999750827068527E-06,0,"KHM"
"Cameroon",100.604,0.00012722026805913348,5.4103394678853839E-06,"CMR"
"Canada",1904.393,0.002027556192158963,0.00015180008193836435,"CAN"
"Central African Republic",4.199,6.8911960229158615E-05,0,"CAF"
"Chad",31.913,2.9723690081994742E-05,3.1354103462019773E-06,"TCD"
"Chile",495.176,0.0021859390530981418,2.2213969811584381E-05,"CHL"
"China",27306.979,5.8616931424619374E-05,3.2347975815927926E-06,"CHN"
"Colombia",785.836,0.00029676530191245857,1.1164207756530004E-05,"COL"
"Comoros",2.53,1.2927701243174761E-05,1.1752455675613419E-06,"COM"
"Democratic Republic of the Congo",83.151,1.67529727049715E-05,6.913193688433905E-07,"COD"
"Republic of Congo",31.219,,,"COG"
"Costa Rica",92.062,0.00016899250945159454,1.9811548587525737E-06,"CRI"
"Cфte d'Ivoire",158.288,,,"CIV"
"Croatia",112.623,0.00053845915458038921,2.3000728275691086E-05,"HRV"
"Cyprus",36.915,0.00077487111621286409,1.4412263649473401E-05,"CYP"
"Czech Republic",412.978,0.00079098462758095574,2.7691478387222105E-05,"CZE"
"Denmark",319.491,0.0018811907948126398,9.4076865130158726E-05,"DNK"
"Djibouti",6.259,0.0013671473766383171,4.1086322363285264E-06,"DJI"
"Dominica",0.848,0.00022281639928698751,0,"DMA"
"Dominican Republic",199.395,0.001107463126310765,3.9482415333033244E-05,"DOM"
"Ecuador",203.611,0.0018857855068206116,0.00015471695028946688,"ECU"
"Egypt",1391.271,0.00011673697531777504,6.0963417437049515E-06,"EGY"
"El Salvador",55.578,0.00019601605503201104,4.0287884828713731E-06,"SLV"
"Equatorial Guinea",28.208,0.000438057620063924,5.1622951859384976E-06,"GNQ"
"Eritrea",6.591,1.1152043240188989E-05,0,"ERI"
"Estonia",47.807,0.0013351960701483349,4.7523927920533955E-05,"EST"
"Eswatini",12.407,,,"SWZ"
"Ethiopia",243.618,2.7302236561745481E-06,4.4611497649910915E-08,"ETH"
"Fiji",10.631,2.0225787204492822E-05,0,"FJI"
"Finland",265.879,0.0011362658609048624,5.368612164949795E-05,"FIN"
"France",3061.815,0.0021847319859834209,0.00042415346798316126,"FRA"
"Gabon",39.81,0.000607572843150928,5.0631070262577332E-06,"GAB"
"The Gambia",6.412,,,"GMB"
