Date,Year,Start of Year,End of Year,Month,Start of Month,End of Month,IsEndOfMonth,EndOfMonth Date,Days in Month,Day,Day Name,Day of Week,Day of Year,Month Name,Quarter,Start of Quarter,End of Quarter,Week of Year,Week of Month,Start of Week,End of Week,Fiscal Year,Fiscal Quarter,Fiscal Month,Fiscal Year & Month
2018-07-01 00:00:00.000,2018,2018-01-01 00:00:00.000,2018-12-31 00:00:00.000,7,2018-07-01 00:00:00.000,2018-07-31 00:00:00.000,False,,31,1,"Sunday",6,182,"July",3,2018-07-01 00:00:00.000,2018-09-30 00:00:00.000,26,1,2018-06-25 00:00:00.000,2018-07-01 00:00:00.000,2019,1,1,"1 2019"
2018-07-02 00:00:00.000,2018,2018-01-01 00:00:00.000,2018-12-31 00:00:00.000,7,2018-07-01 00:00:00.000,2018-07-31 00:00:00.000,False,,31,2,"Monday",0,183,"July",3,2018-07-01 00:00:00.000,2018-09-30 00:00:00.000,27,2,2018-07-02 00:00:00.000,2018-07-08 00:00:00.000,2019,1,1,"1 2019"
2018-07-03 00:00:00.000,2018,2018-01-01 00:00:00.000,2018-12-31 00:00:00.000,7,2018-07-01 00:00:00.000,2018-07-31 00:00:00.000,False,,31,3,"Tuesday",1,184,"July",3,2018-07-01 00:00:00.000,2018-09-30 00:00:00.000,27,2,2018-07-02 00:00:00.000,2018-07-08 00:00:00.000,2019,1,1,"1 2019"
2018-07-04 00:00:00.000,2018,2018-01-01 00:00:00.000,2018-12-31 00:00:00.000,7,2018-07-01 00:00:00.000,2018-07-31 00:00:00.000,False,,31,4,"Wednesday",2,185,"July",3,2018-07-01 00:00:00.000,2018-09-30 00:00:00.000,27,2,2018-07-02 00:00:00.000,2018-07-08 00:00:00.000,2019,1,1,"1 2019"
2018-07-05 00:00:00.000,2018,2018-01-01 00:00:00.000,2018-12-31 00:00:00.000,7,2018-07-01 00:00:00.000,2018-07-31 00:00:00.000,False,,31,5,"Thursday",3,186,"July",3,2018-07-01 00:00:00.000,2018-09-30 00:00:00.000,27,2,2018-07-02 00:00:00.000,2018-07-08 00:00:00.000,2019,1,1,"1 2019"
2018-07-06 00:00:00.000,2018,2018-01-01 00:00:00.000,2018-12-31 00:00:00.000,7,2018-07-01 00:00:00.000,2018-07-31 00:00:00.000,False,,31,6,"Friday",4,187,"July",3,2018-07-01 00:00:00.000,2018-09-30 00:00:00.000,27,2,2018-07-02 00:00:00.000,2018-07-08 00:00:00.000,2019,1,1,"1 2019"
2018-07-07 00:00:00.000,2018,2018-01-01 00:00:00.000,2018-12-31 00:00:00.000,7,2018-07-01 00:00:00.000,2018-07-31 00:00:00.000,False,,31,7,"Saturday",5,188,"July",3,2018-07-01 00:00:00.000,2018-09-30 00:00:00.000,27,2,2018-07-02 00:00:00.000,2018-07-08 00:00:00.000,2019,1,1,"1 2019"
2018-07-08 00:00:00.000,2018,2018-01-01 00:00:00.000,2018-12-31 00:00:00.000,7,2018-07-01 00:00:00.000,2018-07-31 00:00:00.000,False,,31,8,"Sunday",6,189,"July",3,2018-07-01 00:00:00.000,2018-09-30 00:00:00.000,27,2,2018-07-02 00:00:00.000,2018-07-08 00:00:00.000,2019,1,1,"1 2019"
2018-07-09 00:00:00.000,2018,2018-01-01 00:00:00.000,2018-12-31 00:00:00.000,7,2018-07-01 00:00:00.000,2018-07-31 00:00:00.000,False,,31,9,"Monday",0,190,"July",3,2018-07-01 00:00:00.000,2018-09-30 00:00:00.000,28,3,2018-07-09 00:00:00.000,2018-07-15 00:00:00.000,2019,1,1,"1 2019"
2018-07-10 00:00:00.000,2018,2018-01-01 00:00:00.000,2018-12-31 00:00:00.000,7,2018-07-01 00:00:00.000,2018-07-31 00:00:00.000,False,,31,10,"Tuesday",1,191,"July",3,2018-07-01 00:00:00.000,2018-09-30 00:00:00.000,28,3,2018-07-09 00:00:00.000,2018-07-15 00:00:00.000,2019,1,1,"1 2019"
2018-07-11 00:00:00.000,2018,2018-01-01 00:00:00.000,2018-12-31 00:00:00.000,7,2018-07-01 00:00:00.000,2018-07-31 00:00:00.000,False,,31,11,"Wednesday",2,192,"July",3,2018-07-01 00:00:00.000,2018-09-30 00:00:00.000,28,3,2018-07-09 00:00:00.000,2018-07-15 00:00:00.000,2019,1,1,"1 2019"
2018-07-12 00:00:00.000,2018,2018-01-01 00:00:00.000,2018-12-31 00:00:00.000,7,2018-07-01 00:00:00.000,2018-07-31 00:00:00.000,False,,31,12,"Thursday",3,193,"July",3,2018-07-01 00:00:00.000,2018-09-30 00:00:00.000,28,3,2018-07-09 00:00:00.000,2018-07-15 00:00:00.000,2019,1,1,"1 2019"
2018-07-13 00:00:00.000,2018,2018-01-01 00:00:00.000,2018-12-31 00:00:00.000,7,2018-07-01 00:00:00.000,2018-07-31 00:00:00.000,False,,31,13,"Friday",4,194,"July",3,2018-07-01 00:00:00.000,2018-09-30 00:00:00.000,28,3,2018-07-09 00:00:00.000,2018-07-15 00:00:00.000,2019,1,1,"1 2019"
2018-07-14 00:00:00.000,2018,2018-01-01 00:00:00.000,2018-12-31 00:00:00.000,7,2018-07-01 00:00:00.000,2018-07-31 00:00:00.000,False,,31,14,"Saturday",5,195,"July",3,2018-07-01 00:00:00.000,2018-09-30 00:00:00.000,28,3,2018-07-09 00:00:00.000,2018-07-15 00:00:00.000,2019,1,1,"1 2019"
