DATE,VENUE,AMS BUDGET
2021-01-31 00:00:00.000,104002,-1236.5
2021-02-28 00:00:00.000,104002,-2654.3
2021-03-31 00:00:00.000,104002,-2364.6
2021-04-30 00:00:00.000,104002,3954.1
2021-05-31 00:00:00.000,104002,-3651.6
2021-06-30 00:00:00.000,104002,6212.6
2021-07-31 00:00:00.000,104002,-1482.5
2021-08-31 00:00:00.000,104002,-2893.4
2021-09-30 00:00:00.000,104002,3654.2
2021-10-31 00:00:00.000,104002,4612.5
2021-11-30 00:00:00.000,104002,3285.3
2021-12-31 00:00:00.000,104002,1483.5
2020-01-31 00:00:00.000,104002,1515.3
2020-02-28 00:00:00.000,104002,5165.5
2020-03-31 00:00:00.000,104002,2154.4
2020-04-30 00:00:00.000,104002,-1514.6
