CustomerVisit_ID,CustomerID,ChannelID,Grade_ID,RepresentativeID,VisitDate,PreviousVisitID,PreviousVisitDate,CreatedDate,CreatedBy,ModifiedDate,ModifiedBy,ItemID,Brand_ID,Quantity,SampleQty
12,7443,3,1,9,2020-08-18 00:00:00.000,9.0,2020-08-14 00:00:00.000,2020-08-18 16:27:44.023,System,,System,7.0,1.0,1.0,
15,7346,2,3,8,2020-08-19 00:00:00.000,14.0,2020-08-19 00:00:00.000,2020-08-19 10:34:46.080,System,,System,1.0,1.0,0.0,
14,7346,2,3,8,2020-08-19 00:00:00.000,,,2020-08-19 10:34:25.076,System,,System,2.0,1.0,2.0,
26,7449,6,1,9,2020-08-24 00:00:00.000,,,2020-08-24 00:00:00.000,System,,System,39.0,3.0,1.0,
12,7443,3,1,9,2020-08-18 00:00:00.000,9.0,2020-08-14 00:00:00.000,2020-08-18 16:27:44.023,System,,System,4.0,1.0,1.0,
8,7445,4,5,8,2020-08-14 00:00:00.000,,,2020-08-14 15:28:13.973,System,2020-08-14 00:00:00.000,System,42.0,3.0,1.0,
13,7444,7,5,9,2020-08-18 00:00:00.000,5.0,2020-08-11 00:00:00.000,2020-08-18 16:33:23.626,System,,System,6.0,1.0,1.0,
14,7346,2,3,8,2020-08-19 00:00:00.000,,,2020-08-19 10:34:25.076,System,,System,6.0,1.0,2.0,
13,7444,7,5,9,2020-08-18 00:00:00.000,5.0,2020-08-11 00:00:00.000,2020-08-18 16:33:23.626,System,,System,5.0,1.0,1.0,
15,7346,2,3,8,2020-08-19 00:00:00.000,14.0,2020-08-19 00:00:00.000,2020-08-19 10:34:46.080,System,,System,2.0,1.0,2.0,
8,7445,4,5,8,2020-08-14 00:00:00.000,,,2020-08-14 15:28:13.973,System,2020-08-14 00:00:00.000,System,2.0,1.0,1.0,
10,7446,4,5,8,2020-08-17 00:00:00.000,,,2020-08-17 11:00:27.546,System,,System,4.0,1.0,1.0,
5,7444,7,5,9,2020-08-11 00:00:00.000,,,2020-08-11 10:00:00.106,System,2020-08-11 00:00:00.000,System,39.0,3.0,1.0,
1,1,4,2,10,2020-08-07 00:00:00.000,,,2020-08-07 12:01:24.866,System,2020-08-24 00:00:00.000,System,39.0,3.0,2.0,
8,7445,4,5,8,2020-08-14 00:00:00.000,,,2020-08-14 15:28:13.973,System,2020-08-14 00:00:00.000,System,7.0,1.0,1.0,
8,7445,4,5,8,2020-08-14 00:00:00.000,,,2020-08-14 15:28:13.973,System,2020-08-14 00:00:00.000,System,49.0,7.0,1.0,
27,7449,6,1,9,2020-08-25 00:00:00.000,26.0,2020-08-26 00:00:00.000,2020-08-25 00:00:00.000,System,,System,7.0,1.0,1.0,
25,7448,9,1,9,2020-08-23 00:00:00.000,,,2020-08-23 00:00:00.000,System,,System,60.0,8.0,1.0,
34,7451,6,1,9,2020-08-30 00:00:00.000,33.0,2020-08-29 00:00:00.000,2020-08-30 00:00:00.000,System,,,5.0,1.0,1.0,
5,7444,7,5,9,2020-08-11 00:00:00.000,,,2020-08-11 10:00:00.106,System,2020-08-11 00:00:00.000,System,40.0,3.0,1.0,
8,7445,4,5,8,2020-08-14 00:00:00.000,,,2020-08-14 15:28:13.973,System,2020-08-14 00:00:00.000,System,1.0,1.0,2.0,
6,13,1,3,1,2020-08-12 00:00:00.000,,,2020-08-12 19:31:50.933,System,2020-08-12 00:00:00.000,System,2.0,1.0,1.0,
5,7444,7,5,9,2020-08-11 00:00:00.000,,,2020-08-11 10:00:00.106,System,2020-08-11 00:00:00.000,System,5.0,1.0,1.0,1.0
4,7443,3,1,9,2020-08-10 00:00:00.000,,,2020-08-10 15:18:06.693,System,,System,20.0,1.0,1.0,
27,7449,6,1,9,2020-08-25 00:00:00.000,26.0,2020-08-26 00:00:00.000,2020-08-25 00:00:00.000,System,,System,22.0,1.0,1.0,
5,7444,7,5,9,2020-08-11 00:00:00.000,,,2020-08-11 10:00:00.106,System,2020-08-11 00:00:00.000,System,62.0,8.0,,1.0
27,7449,6,1,9,2020-08-25 00:00:00.000,26.0,2020-08-26 00:00:00.000,2020-08-25 00:00:00.000,System,,System,46.0,6.0,1.0,
28,7450,7,1,9,2020-08-25 00:00:00.000,,,2020-08-25 00:00:00.000,System,,System,6.0,1.0,1.0,
26,7449,6,1,9,2020-08-24 00:00:00.000,,,2020-08-24 00:00:00.000,System,,System,22.0,1.0,1.0,
32,7451,6,1,9,2020-08-28 00:00:00.000,31.0,2020-08-27 00:00:00.000,2020-08-28 00:00:00.000,System,,,5.0,1.0,1.0,
8,7445,4,5,8,2020-08-14 00:00:00.000,,,2020-08-14 15:28:13.973,System,2020-08-14 00:00:00.000,System,43.0,3.0,1.0,
29,7450,7,1,9,2020-08-26 00:00:00.000,28.0,2020-08-26 00:00:00.000,2020-08-26 16:52:49.496,System,,System,40.0,3.0,1.0,
19,7346,2,3,8,2020-08-19 00:00:00.000,18.0,2020-08-19 00:00:00.000,2020-08-19 10:38:57.360,System,,System,1.0,1.0,2.0,
32,7451,6,1,9,2020-08-28 00:00:00.000,31.0,2020-08-27 00:00:00.000,2020-08-28 00:00:00.000,System,,,6.0,1.0,1.0,
34,7451,6,1,9,2020-08-30 00:00:00.000,33.0,2020-08-29 00:00:00.000,2020-08-30 00:00:00.000,System,,,2.0,1.0,1.0,
1,1,4,2,10,2020-08-07 00:00:00.000,,,2020-08-07 12:01:24.866,System,2020-08-24 00:00:00.000,System,4.0,1.0,1.0,
12,7443,3,1,9,2020-08-18 00:00:00.000,9.0,2020-08-14 00:00:00.000,2020-08-18 16:27:44.023,System,,System,6.0,1.0,1.0,
20,7346,2,3,8,2020-08-19 00:00:00.000,19.0,2020-08-19 00:00:00.000,2020-08-19 10:39:11.306,System,,System,1.0,1.0,0.0,
1,1,4,2,10,2020-08-07 00:00:00.000,,,2020-08-07 12:01:24.866,System,2020-08-24 00:00:00.000,System,40.0,3.0,2.0,
27,7449,6,1,9,2020-08-25 00:00:00.000,26.0,2020-08-26 00:00:00.000,2020-08-25 00:00:00.000,System,,System,6.0,1.0,1.0,
25,7448,9,1,9,2020-08-23 00:00:00.000,,,2020-08-23 00:00:00.000,System,,System,1.0,1.0,1.0,
8,7445,4,5,8,2020-08-14 00:00:00.000,,,2020-08-14 15:28:13.973,System,2020-08-14 00:00:00.000,System,39.0,3.0,1.0,
27,7449,6,1,9,2020-08-25 00:00:00.000,26.0,2020-08-26 00:00:00.000,2020-08-25 00:00:00.000,System,,System,60.0,8.0,1.0,
21,7348,2,4,8,2020-08-19 00:00:00.000,,,2020-08-19 10:42:51.353,System,,System,3.0,1.0,2.0,
12,7443,3,1,9,2020-08-18 00:00:00.000,9.0,2020-08-14 00:00:00.000,2020-08-18 16:27:44.023,System,,System,1.0,1.0,1.0,
9,7443,3,1,9,2020-08-14 00:00:00.000,4.0,2020-08-10 00:00:00.000,2020-08-14 15:02:03.030,System,,System,4.0,1.0,1.0,
8,7445,4,5,8,2020-08-14 00:00:00.000,,,2020-08-14 15:28:13.973,System,2020-08-14 00:00:00.000,System,59.0,8.0,1.0,
17,7346,2,3,8,2020-08-19 00:00:00.000,16.0,2020-08-19 00:00:00.000,2020-08-19 10:35:31.326,System,,System,5.0,1.0,2.0,
8,7445,4,5,8,2020-08-14 00:00:00.000,,,2020-08-14 15:28:13.973,System,2020-08-14 00:00:00.000,System,5.0,1.0,1.0,
17,7346,2,3,8,2020-08-19 00:00:00.000,16.0,2020-08-19 00:00:00.000,2020-08-19 10:35:31.326,System,,System,6.0,1.0,2.0,
27,7449,6,1,9,2020-08-25 00:00:00.000,26.0,2020-08-26 00:00:00.000,2020-08-25 00:00:00.000,System,,System,40.0,3.0,1.0,
9,7443,3,1,9,2020-08-14 00:00:00.000,4.0,2020-08-10 00:00:00.000,2020-08-14 15:02:03.030,System,,System,5.0,1.0,1.0,
5,7444,7,5,9,2020-08-11 00:00:00.000,,,2020-08-11 10:00:00.106,System,2020-08-11 00:00:00.000,System,1.0,1.0,1.0,
1,1,4,2,10,2020-08-07 00:00:00.000,,,2020-08-07 12:01:24.866,System,2020-08-24 00:00:00.000,System,1.0,1.0,2.0,6.0
12,7443,3,1,9,2020-08-18 00:00:00.000,9.0,2020-08-14 00:00:00.000,2020-08-18 16:27:44.023,System,,System,2.0,1.0,1.0,
4,7443,3,1,9,2020-08-10 00:00:00.000,,,2020-08-10 15:18:06.693,System,,System,1.0,1.0,1.0,
8,7445,4,5,8,2020-08-14 00:00:00.000,,,2020-08-14 15:28:13.973,System,2020-08-14 00:00:00.000,System,40.0,3.0,1.0,
32,7451,6,1,9,2020-08-28 00:00:00.000,31.0,2020-08-27 00:00:00.000,2020-08-28 00:00:00.000,System,,,3.0,1.0,1.0,
29,7450,7,1,9,2020-08-26 00:00:00.000,28.0,2020-08-26 00:00:00.000,2020-08-26 16:52:49.496,System,,System,60.0,8.0,1.0,
8,7445,4,5,8,2020-08-14 00:00:00.000,,,2020-08-14 15:28:13.973,System,2020-08-14 00:00:00.000,System,62.0,8.0,1.0,
10,7446,4,5,8,2020-08-17 00:00:00.000,,,2020-08-17 11:00:27.546,System,,System,3.0,1.0,1.0,
2,7442,4,1,10,2020-08-07 00:00:00.000,,,2020-08-07 12:04:28.516,System,,System,1.0,1.0,1.0,
29,7450,7,1,9,2020-08-26 00:00:00.000,28.0,2020-08-26 00:00:00.000,2020-08-26 16:52:49.496,System,,System,39.0,3.0,1.0,
8,7445,4,5,8,2020-08-14 00:00:00.000,,,2020-08-14 15:28:13.973,System,2020-08-14 00:00:00.000,System,50.0,7.0,1.0,
28,7450,7,1,9,2020-08-25 00:00:00.000,,,2020-08-25 00:00:00.000,System,,System,60.0,8.0,1.0,
15,7346,2,3,8,2020-08-19 00:00:00.000,14.0,2020-08-19 00:00:00.000,2020-08-19 10:34:46.080,System,,System,5.0,1.0,2.0,
4,7443,3,1,9,2020-08-10 00:00:00.000,,,2020-08-10 15:18:06.693,System,,System,3.0,1.0,,1.0
4,7443,3,1,9,2020-08-10 00:00:00.000,,,2020-08-10 15:18:06.693,System,,System,22.0,1.0,1.0,
33,7451,6,1,9,2020-08-29 00:00:00.000,32.0,2020-08-28 00:00:00.000,2020-08-29 00:00:00.000,System,,,39.0,3.0,1.0,
17,7346,2,3,8,2020-08-19 00:00:00.000,16.0,2020-08-19 00:00:00.000,2020-08-19 10:35:31.326,System,,System,1.0,1.0,2.0,
1,1,4,2,10,2020-08-07 00:00:00.000,,,2020-08-07 12:01:24.866,System,2020-08-24 00:00:00.000,System,2.0,1.0,1.0,
19,7346,2,3,8,2020-08-19 00:00:00.000,18.0,2020-08-19 00:00:00.000,2020-08-19 10:38:57.360,System,,System,5.0,1.0,2.0,
33,7451,6,1,9,2020-08-29 00:00:00.000,32.0,2020-08-28 00:00:00.000,2020-08-29 00:00:00.000,System,,,40.0,3.0,1.0,
26,7449,6,1,9,2020-08-24 00:00:00.000,,,2020-08-24 00:00:00.000,System,,System,60.0,8.0,1.0,
10,7446,4,5,8,2020-08-17 00:00:00.000,,,2020-08-17 11:00:27.546,System,,System,6.0,1.0,1.0,
3,7442,4,1,10,2020-08-07 00:00:00.000,2.0,2020-08-07 00:00:00.000,2020-08-07 12:04:59.800,System,,System,2.0,1.0,1.0,
8,7445,4,5,8,2020-08-14 00:00:00.000,,,2020-08-14 15:28:13.973,System,2020-08-14 00:00:00.000,System,41.0,3.0,1.0,
10,7446,4,5,8,2020-08-17 00:00:00.000,,,2020-08-17 11:00:27.546,System,,System,2.0,1.0,1.0,
17,7346,2,3,8,2020-08-19 00:00:00.000,16.0,2020-08-19 00:00:00.000,2020-08-19 10:35:31.326,System,,System,4.0,1.0,2.0,
8,7445,4,5,8,2020-08-14 00:00:00.000,,,2020-08-14 15:28:13.973,System,2020-08-14 00:00:00.000,System,8.0,1.0,1.0,
8,7445,4,5,8,2020-08-14 00:00:00.000,,,2020-08-14 15:28:13.973,System,2020-08-14 00:00:00.000,System,6.0,1.0,1.0,
19,7346,2,3,8,2020-08-19 00:00:00.000,18.0,2020-08-19 00:00:00.000,2020-08-19 10:38:57.360,System,,System,3.0,1.0,2.0,
14,7346,2,3,8,2020-08-19 00:00:00.000,,,2020-08-19 10:34:25.076,System,,System,5.0,1.0,2.0,
14,7346,2,3,8,2020-08-19 00:00:00.000,,,2020-08-19 10:34:25.076,System,,System,3.0,1.0,2.0,
21,7348,2,4,8,2020-08-19 00:00:00.000,,,2020-08-19 10:42:51.353,System,,System,2.0,1.0,2.0,
10,7446,4,5,8,2020-08-17 00:00:00.000,,,2020-08-17 11:00:27.546,System,,System,1.0,1.0,1.0,
9,7443,3,1,9,2020-08-14 00:00:00.000,4.0,2020-08-10 00:00:00.000,2020-08-14 15:02:03.030,System,,System,2.0,1.0,1.0,
31,7451,6,1,9,2020-08-27 00:00:00.000,,,2020-08-27 00:00:00.000,System,,,,,,
15,7346,2,3,8,2020-08-19 00:00:00.000,14.0,2020-08-19 00:00:00.000,2020-08-19 10:34:46.080,System,,System,4.0,1.0,2.0,
34,7451,6,1,9,2020-08-30 00:00:00.000,33.0,2020-08-29 00:00:00.000,2020-08-30 00:00:00.000,System,,,7.0,1.0,1.0,
29,7450,7,1,9,2020-08-26 00:00:00.000,28.0,2020-08-26 00:00:00.000,2020-08-26 16:52:49.496,System,,System,7.0,1.0,1.0,
25,7448,9,1,9,2020-08-23 00:00:00.000,,,2020-08-23 00:00:00.000,System,,System,6.0,1.0,1.0,
22,7348,2,4,8,2020-08-19 00:00:00.000,21.0,2020-08-19 00:00:00.000,2020-08-19 10:43:09.266,System,,System,2.0,1.0,2.0,
28,7450,7,1,9,2020-08-25 00:00:00.000,,,2020-08-25 00:00:00.000,System,,System,22.0,1.0,1.0,
5,7444,7,5,9,2020-08-11 00:00:00.000,,,2020-08-11 10:00:00.106,System,2020-08-11 00:00:00.000,System,46.0,6.0,,1.0
8,7445,4,5,8,2020-08-14 00:00:00.000,,,2020-08-14 15:28:13.973,System,2020-08-14 00:00:00.000,System,51.0,7.0,1.0,
17,7346,2,3,8,2020-08-19 00:00:00.000,16.0,2020-08-19 00:00:00.000,2020-08-19 10:35:31.326,System,,System,2.0,1.0,2.0,
19,7346,2,3,8,2020-08-19 00:00:00.000,18.0,2020-08-19 00:00:00.000,2020-08-19 10:38:57.360,System,,System,4.0,1.0,2.0,
27,7449,6,1,9,2020-08-25 00:00:00.000,26.0,2020-08-26 00:00:00.000,2020-08-25 00:00:00.000,System,,System,39.0,3.0,1.0,
28,7450,7,1,9,2020-08-25 00:00:00.000,,,2020-08-25 00:00:00.000,System,,System,39.0,3.0,1.0,
