#,Compass point,Abbreviation,Traditional wind point,Minimum,Middle azimuth,Maximum,Direction
1,"North","N","Tramontana",354.38,0,5.62,"0 - N"
2,"North by east","NbE","Quarto di Tramontana verso Greco",5.63,11.25,16.87,"11.25 - NbE"
3,"North-northeast","NNE","Greco-Tramontana",16.88,22.5,28.12,"22.5 - NNE"
4,"Northeast by north","NEbN","Quarto di Greco verso Tramontana",28.13,33.75,39.37,"33.75 - NEbN"
5,"Northeast","NE","Greco",39.38,45,50.62,"45 - NE"
6,"Northeast by east","NEbE","Quarto di Greco verso Levante",50.63,56.25,61.87,"56.25 - NEbE"
7,"East-northeast","ENE","Greco-Levante",61.88,67.5,73.12,"67.5 - ENE"
8,"East by north","EbN","Quarto di Levante verso Greco",73.13,78.75,84.37,"78.75 - EbN"
9,"East","E","Levante",84.38,90,95.62,"90 - E"
10,"East by south","EbS","Quarto di Levante verso Scirocco",95.63,101.25,106.87,"101.25 - EbS"
11,"East-southeast","ESE","Levante-Scirocco",106.88,112.5,118.12,"112.5 - ESE"
12,"Southeast by east","SEbE","Quarto di Scirocco verso Levante",118.13,123.75,129.37,"123.75 - SEbE"
13,"Southeast","SE","Scirocco",129.38,135,140.62,"135 - SE"
14,"Southeast by south","SEbS","Quarto di Scirocco verso Ostro",140.63,146.25,151.87,"146.25 - SEbS"
15,"South-southeast","SSE","Ostro-Scirocco",151.88,157.5,163.12,"157.5 - SSE"
16,"South by east","SbE","Quarto di Ostro verso Scirocco",163.13,168.75,174.37,"168.75 - SbE"
17,"South","S","Ostro",174.38,180,185.62,"180 - S"
18,"South by west","SbW","Quarto di Ostro verso Libeccio",185.63,191.25,196.87,"191.25 - SbW"
19,"South-southwest","SSW","Ostro-Libeccio",196.88,202.5,208.12,"202.5 - SSW"
20,"Southwest by south","SWbS","Quarto di Libeccio verso Ostro",208.13,213.75,219.37,"213.75 - SWbS"
21,"Southwest","SW","Libeccio",219.38,225,230.62,"225 - SW"
22,"Southwest by west","SWbW","Quarto di Libeccio verso Ponente",230.63,236.25,241.87,"236.25 - SWbW"
23,"West-southwest","WSW","Ponente-Libeccio",241.88,247.5,253.12,"247.5 - WSW"
24,"West by south","WbS","Quarto di Ponente verso Libeccio",253.13,258.75,264.37,"258.75 - WbS"
25,"West","W","Ponente",264.38,270,275.62,"270 - W"
26,"West by north","WbN","Quarto di Ponente verso Maestro",275.63,281.25,286.87,"281.25 - WbN"
27,"West-northwest","WNW","Maestro-Ponente",286.88,292.5,298.12,"292.5 - WNW"
28,"Northwest by west","NWbW","Quarto di Maestro verso Ponente",298.13,303.75,309.37,"303.75 - NWbW"
29,"Northwest","NW","Maestro",309.38,315,320.62,"315 - NW"
30,"Northwest by north","NWbN","Quarto di Maestro verso Tramontana",320.63,326.25,331.87,"326.25 - NWbN"
31,"North-northwest","NNW","Maestro-Tramontana",331.88,337.5,343.12,"337.5 - NNW"
32,"North by west","NbW","Quarto di Tramontana verso Maestro",343.13,348.75,354.37,"348.75 - NbW"
