Timestamp,2017-01-31 05:36:00.000,2017-12-11 23:48:00.000,2016-10-30 03:48:00.000,2017-09-24 07:12:00.000,2017-07-08 15:12:00.000,2016-12-20 20:48:00.000,2017-11-29 16:00:00.000,2017-07-14 00:00:00.000,2017-01-05 16:12:00.000,2017-09-22 15:36:00.000,2017-09-23 04:24:00.000,2017-06-16 03:48:00.000,2017-09-16 08:00:00.000,2017-12-15 14:36:00.000,2017-01-03 08:12:00.000,2017-07-24 18:12:00.000,2017-06-20 03:24:00.000,2017-09-01 04:12:00.000,2017-06-14 18:36:00.000,2017-09-08 15:48:00.000,2017-09-09 18:24:00.000,2017-06-29 11:12:00.000,2016-10-31 16:00:00.000,2017-07-05 14:00:00.000,2016-11-28 07:36:00.000,2017-06-21 15:48:00.000,2017-09-20 09:36:00.000,2017-08-09 19:48:00.000,2017-07-16 05:00:00.000,2017-09-13 11:24:00.000,2017-08-08 17:12:00.000,2016-11-28 16:24:00.000,2016-11-10 14:24:00.000,2017-06-08 11:12:00.000,2017-08-01 16:24:00.000,2017-01-02 13:48:00.000,2017-12-11 15:36:00.000,2017-06-07 00:00:00.000,2017-01-02 03:36:00.000,2017-08-22 19:36:00.000,2016-10-22 14:12:00.000,2017-09-16 13:48:00.000,2016-11-23 16:48:00.000,2017-06-20 10:48:00.000,2016-10-29 00:48:00.000,2017-01-25 08:00:00.000,2017-01-20 11:12:00.000,2017-08-29 03:00:00.000,2017-07-26 09:48:00.000,2016-11-03 21:00:00.000,2017-06-07 06:24:00.000,2017-09-01 06:36:00.000,2017-06-24 12:24:00.000,2017-08-03 19:36:00.000,2017-09-08 20:00:00.000,2017-09-09 02:24:00.000,2016-10-23 12:48:00.000,2017-07-17 03:12:00.000,2016-11-02 18:48:00.000,2017-09-05 06:48:00.000,2017-09-03 05:36:00.000,2017-06-12 14:00:00.000,2017-07-27 17:00:00.000,2017-12-23 08:12:00.000,2017-08-29 19:36:00.000,2017-07-07 10:24:00.000,2016-10-30 04:00:00.000,2017-07-29 18:12:00.000,2016-11-16 13:12:00.000,2017-07-16 19:12:00.000,2017-06-13 14:36:00.000,2017-12-04 15:36:00.000,2017-06-24 10:24:00.000,2017-08-04 07:12:00.000,2017-12-18 08:48:00.000,2017-08-11 11:00:00.000,2017-08-05 10:48:00.000,2017-07-27 07:36:00.000,2017-08-07 03:12:00.000,2016-11-03 00:48:00.000,2016-12-30 18:48:00.000,2017-06-22 12:36:00.000,2016-12-27 05:24:00.000,2016-12-25 09:36:00.000,2017-07-12 11:24:00.000,2016-12-23 08:24:00.000,2017-12-22 02:12:00.000,2017-07-13 17:36:00.000,2016-10-30 04:48:00.000,2017-12-16 04:12:00.000,2017-08-09 12:48:00.000,2017-07-05 17:12:00.000,2017-07-31 12:24:00.000,2017-09-03 05:24:00.000,2017-08-17 17:24:00.000,2017-08-06 20:00:00.000,2017-08-09 15:24:00.000,2016-12-14 21:36:00.000,2017-12-16 10:12:00.000,2017-06-14 05:00:00.000
Date,2017-01-31 00:00:00.000,2017-12-11 00:00:00.000,2016-10-30 00:00:00.000,2017-09-24 00:00:00.000,2017-07-08 00:00:00.000,2016-12-20 00:00:00.000,2017-11-29 00:00:00.000,2017-07-14 00:00:00.000,2017-01-05 00:00:00.000,2017-09-22 00:00:00.000,2017-09-23 00:00:00.000,2017-06-16 00:00:00.000,2017-09-16 00:00:00.000,2017-12-15 00:00:00.000,2017-01-03 00:00:00.000,2017-07-24 00:00:00.000,2017-06-20 00:00:00.000,2017-09-01 00:00:00.000,2017-06-14 00:00:00.000,2017-09-08 00:00:00.000,2017-09-09 00:00:00.000,2017-06-29 00:00:00.000,2016-10-31 00:00:00.000,2017-07-05 00:00:00.000,2016-11-28 00:00:00.000,2017-06-21 00:00:00.000,2017-09-20 00:00:00.000,2017-08-09 00:00:00.000,2017-07-16 00:00:00.000,2017-09-13 00:00:00.000,2017-08-08 00:00:00.000,2016-11-28 00:00:00.000,2016-11-10 00:00:00.000,2017-06-08 00:00:00.000,2017-08-01 00:00:00.000,2017-01-02 00:00:00.000,2017-12-11 00:00:00.000,2017-06-07 00:00:00.000,2017-01-02 00:00:00.000,2017-08-22 00:00:00.000,2016-10-22 00:00:00.000,2017-09-16 00:00:00.000,2016-11-23 00:00:00.000,2017-06-20 00:00:00.000,2016-10-29 00:00:00.000,2017-01-25 00:00:00.000,2017-01-20 00:00:00.000,2017-08-29 00:00:00.000,2017-07-26 00:00:00.000,2016-11-03 00:00:00.000,2017-06-07 00:00:00.000,2017-09-01 00:00:00.000,2017-06-24 00:00:00.000,2017-08-03 00:00:00.000,2017-09-08 00:00:00.000,2017-09-09 00:00:00.000,2016-10-23 00:00:00.000,2017-07-17 00:00:00.000,2016-11-02 00:00:00.000,2017-09-05 00:00:00.000,2017-09-03 00:00:00.000,2017-06-12 00:00:00.000,2017-07-27 00:00:00.000,2017-12-23 00:00:00.000,2017-08-29 00:00:00.000,2017-07-07 00:00:00.000,2016-10-30 00:00:00.000,2017-07-29 00:00:00.000,2016-11-16 00:00:00.000,2017-07-16 00:00:00.000,2017-06-13 00:00:00.000,2017-12-04 00:00:00.000,2017-06-24 00:00:00.000,2017-08-04 00:00:00.000,2017-12-18 00:00:00.000,2017-08-11 00:00:00.000,2017-08-05 00:00:00.000,2017-07-27 00:00:00.000,2017-08-07 00:00:00.000,2016-11-03 00:00:00.000,2016-12-30 00:00:00.000,2017-06-22 00:00:00.000,2016-12-27 00:00:00.000,2016-12-25 00:00:00.000,2017-07-12 00:00:00.000,2016-12-23 00:00:00.000,2017-12-22 00:00:00.000,2017-07-13 00:00:00.000,2016-10-30 00:00:00.000,2017-12-16 00:00:00.000,2017-08-09 00:00:00.000,2017-07-05 00:00:00.000,2017-07-31 00:00:00.000,2017-09-03 00:00:00.000,2017-08-17 00:00:00.000,2017-08-06 00:00:00.000,2017-08-09 00:00:00.000,2016-12-14 00:00:00.000,2017-12-16 00:00:00.000,2017-06-14 00:00:00.000
Time,1899-12-30 05:36:00.000,1899-12-30 23:48:00.000,1899-12-30 03:48:00.000,1899-12-30 07:12:00.000,1899-12-30 15:12:00.000,1899-12-30 20:48:00.000,1899-12-30 16:00:00.000,1899-12-30 00:00:00.000,1899-12-30 16:12:00.000,1899-12-30 15:36:00.000,1899-12-30 04:24:00.000,1899-12-30 03:48:00.000,1899-12-30 08:00:00.000,1899-12-30 14:36:00.000,1899-12-30 08:12:00.000,1899-12-30 18:12:00.000,1899-12-30 03:24:00.000,1899-12-30 04:12:00.000,1899-12-30 18:36:00.000,1899-12-30 15:48:00.000,1899-12-30 18:24:00.000,1899-12-30 11:12:00.000,1899-12-30 16:00:00.000,1899-12-30 14:00:00.000,1899-12-30 07:36:00.000,1899-12-30 15:48:00.000,1899-12-30 09:36:00.000,1899-12-30 19:48:00.000,1899-12-30 05:00:00.000,1899-12-30 11:24:00.000,1899-12-30 17:12:00.000,1899-12-30 16:24:00.000,1899-12-30 14:24:00.000,1899-12-30 11:12:00.000,1899-12-30 16:24:00.000,1899-12-30 13:48:00.000,1899-12-30 15:36:00.000,1899-12-30 00:00:00.000,1899-12-30 03:36:00.000,1899-12-30 19:36:00.000,1899-12-30 14:12:00.000,1899-12-30 13:48:00.000,1899-12-30 16:48:00.000,1899-12-30 10:48:00.000,1899-12-30 00:48:00.000,1899-12-30 08:00:00.000,1899-12-30 11:12:00.000,1899-12-30 03:00:00.000,1899-12-30 09:48:00.000,1899-12-30 21:00:00.000,1899-12-30 06:24:00.000,1899-12-30 06:36:00.000,1899-12-30 12:24:00.000,1899-12-30 19:36:00.000,1899-12-30 20:00:00.000,1899-12-30 02:24:00.000,1899-12-30 12:48:00.000,1899-12-30 03:12:00.000,1899-12-30 18:48:00.000,1899-12-30 06:48:00.000,1899-12-30 05:36:00.000,1899-12-30 14:00:00.000,1899-12-30 17:00:00.000,1899-12-30 08:12:00.000,1899-12-30 19:36:00.000,1899-12-30 10:24:00.000,1899-12-30 04:00:00.000,1899-12-30 18:12:00.000,1899-12-30 13:12:00.000,1899-12-30 19:12:00.000,1899-12-30 14:36:00.000,1899-12-30 15:36:00.000,1899-12-30 10:24:00.000,1899-12-30 07:12:00.000,1899-12-30 08:48:00.000,1899-12-30 11:00:00.000,1899-12-30 10:48:00.000,1899-12-30 07:36:00.000,1899-12-30 03:12:00.000,1899-12-30 00:48:00.000,1899-12-30 18:48:00.000,1899-12-30 12:36:00.000,1899-12-30 05:24:00.000,1899-12-30 09:36:00.000,1899-12-30 11:24:00.000,1899-12-30 08:24:00.000,1899-12-30 02:12:00.000,1899-12-30 17:36:00.000,1899-12-30 04:48:00.000,1899-12-30 04:12:00.000,1899-12-30 12:48:00.000,1899-12-30 17:12:00.000,1899-12-30 12:24:00.000,1899-12-30 05:24:00.000,1899-12-30 17:24:00.000,1899-12-30 20:00:00.000,1899-12-30 15:24:00.000,1899-12-30 21:36:00.000,1899-12-30 10:12:00.000,1899-12-30 05:00:00.000
Outdoor Temperature,21.4,34.2,58.8,63.0,83.8,23.7,61.0,71.1,29.3,88.7,63.1,61.7,66.6,25.3,38.3,85.1,70.0,78.1,82.2,72.0,63.1,79.7,59.2,81.0,27.0,81.1,79.7,80.1,62.2,72.9,84.4,48.2,63.3,72.7,93.4,37.9,37.6,54.3,31.6,83.3,48.2,84.6,43.3,79.2,34.9,42.3,37.0,59.5,71.1,53.4,50.2,78.1,82.0,78.6,59.4,50.0,65.8,66.2,63.9,65.7,60.4,91.9,78.8,42.8,62.1,72.9,58.6,74.5,57.6,81.1,93.2,49.3,80.1,68.9,35.6,74.3,71.4,65.8,62.4,54.1,32.7,84.6,55.8,51.8,85.6,33.8,28.8,79.7,57.9,21.2,83.3,82.4,83.3,60.3,90.3,68.9,88.2,27.1,34.0,72.1
Outdoor Humidity,77,72,83,94,63,63,29,99,48,38,74,82,92,79,99,65,99,58,65,53,65,61,40,62,97,50,68,57,98,69,50,50,37,56,47,97,59,99,71,75,74,61,41,57,88,68,90,85,77,83,96,58,58,71,77,98,40,96,76,97,99,44,78,99,93,89,82,62,42,64,44,69,76,95,95,75,73,92,91,99,61,57,88,47,65,69,80,85,85,93,51,59,55,99,50,73,41,57,66,78
Dew Point,15,25,53,60,70,12,28,71,12,60,54,57,63,19,38,72,69,62,69,53,50,65,34,66,25,60,69,63,62,62,63,30,35,56,69,36,24,53,23,75,40,69,20,62,32,32,34,54,63,48,48,62,66,68,51,49,41,65,56,65,60,66,71,42,60,69,53,61,34,67,67,40,72,68,34,66,62,63,59,53,20,67,51,32,72,24,23,75,52,19,64,66,66,60,68,60,61,13,23,64
Heat Index,21,34,59,63,88,24,61,64,29,88,63,62,63,25,38,90,62,79,85,76,63,81,59,83,27,81,82,81,62,75,85,48,63,76,98,38,38,54,32,89,48,89,43,80,35,42,37,60,72,53,50,79,84,81,59,50,78,60,64,59,60,95,82,43,62,70,59,77,58,83,97,49,83,63,36,75,73,63,62,54,33,88,56,52,92,34,29,84,58,21,84,84,84,60,94,72,88,27,34,72
Wind Chill,19,32,59,63,84,24,61,71,22,89,63,62,67,23,33,85,70,78,82,72,63,80,59,81,25,81,80,80,62,73,84,47,63,73,93,33,38,54,31,83,47,85,43,79,35,39,36,60,71,53,48,78,82,79,59,50,66,66,64,66,60,92,79,40,62,73,59,75,58,81,93,49,80,69,36,74,71,66,62,54,25,85,54,51,86,33,26,80,58,14,83,82,83,60,90,69,88,27,30,72
Barometric Pressure,29.50045,29.47092,29.47092,29.67763,29.38233,29.82528,29.73669,29.58904,29.50045,29.55951,29.61857,29.52998,29.73669,29.50045,29.55951,29.38233,29.44139,29.67763,29.52998,29.70716,29.88434,29.70716,29.76622,29.76622,29.76622,29.47092,29.50045,29.79575,29.55951,29.52998,29.58904,29.67763,29.50045,29.58904,29.58904,29.91387,29.55951,29.47092,29.97293,29.38233,29.17562,29.70716,29.79575,29.52998,29.79575,29.26421,29.55951,29.79575,29.82528,29.58904,29.52998,29.70716,29.38233,29.6481,29.73669,29.79575,29.47092,29.58904,29.73669,29.41186,29.50045,29.58904,29.50045,29.50045,29.61857,29.38233,29.47092,29.41186,29.3528,29.52998,29.50045,29.9434,29.32327,29.61857,29.70716,29.73669,29.52998,29.6481,29.67763,29.67763,29.47092,29.55951,29.44139,30.03199,29.61857,30.00246,29.85481,29.55951,29.47092,29.58904,29.79575,29.73669,29.67763,29.50045,29.52998,29.70716,29.76622,29.50045,29.6481,29.50045
Rain,9.309999,46.8,0.07,45.49,30.39,4.96,46.8,31.86,6.74,45.49,45.49,24.84,45.4,46.8,5.99,35.2,25.9,42.5,24.84,45.04,45.04,28.42,0.07,29.78,0.27,25.91,45.49,38.48,32.21,45.04,38.48,0.27,0.07,24.84,36.15,5.96,46.8,24.83,5.67,40.21,0.07,45.4,0.18,25.91,0.07,9.309999,8.01,42.13,36.02,0.07,24.84,42.5,28.29,36.49,45.04,45.04,0.07,32.21,0.07,43.96,43.81,24.84,36.02,46.8,42.45,30.35,0.07,36.15,0.07,32.21,24.84,46.8,28.29,36.49,46.8,38.48,37.48,36.02,37.48,0.07,5.67,26.11,5.43,5.43,30.39,4.96,46.8,30.42,0.07,46.8,38.48,29.78,36.15,43.81,39.47,37.48,38.48,4.3,46.8,24.84
