ID,ID 2,Name,Value,Custom Column,Index,Custom
21770161,,"Altitude","284","null","1",""
21770161,,"Width","5","null","2",""
21770161,21779013,"Program","Core Fisheries Monitoring Program","Survey 1","1","Survey1"
21770161,21779013,"Purpose","Temporal","Survey 1","2","Survey2"
21770161,21779013,"Repeat frequency","1 year","Survey 1","3","Survey3"
21770161,21779013,"Survey Strategy","Quanitative","Survey 1","4","Survey4"
21770161,21779013,"Guideline Method","PDC Electric Fishing","Survey 1","5","Survey5"
21770161,21779155,"Program","Core Fisheries Monitoring Program","Survey 2","1","Survey1"
21770161,21779155,"Purpose","Temporal","Survey 2","2","Survey2"
21770161,21779155,"Repeat frequency","1 year","Survey 2","3","Survey3"
21770161,21779155,"Survey Strategy","Semi-quantitative","Survey 2","4","Survey4"
21770161,21779155,"Guideline Method","PDC Electric Fishing","Survey 2","5","Survey5"
21770161,21779296,"Program","Water Framework Directive Programme","Survey 3","1","Survey1"
21770161,21779296,"Purpose","Salmonid","Survey 3","2","Survey2"
21770161,21779296,"Repeat frequency","6 years","Survey 3","3","Survey3"
21770161,21779296,"Survey Strategy","Semi-quantitative","Survey 3","4","Survey4"
21770161,21779296,"Guideline Method","Electric Fishing","Survey 3","5","Survey5"
