Country,Product,Unit Sold,Revenue Per Cookie,Cost Per Cookie,Revenue,Cost,Profit,Date,Month Number,Month Name,Year,Country Population.Population
Germany,Chocolate Chip,1359,5,2,6795,2718,4077,2019-11-01 00:00:00.000,11,November,2019,83222442
France,White Chocolate Macadamia Nut,1055,6,3,6330,2901,3429,2019-12-01 00:00:00.000,12,December,2019,68035000
Mexico,Fortune Cookie,720,1,0,720,144,576,2018-09-01 00:00:00.000,9,September,2018,126014024
Mexico,Chocolate Chip,905,5,2,4525,1810,2715,2019-10-01 00:00:00.000,10,October,2019,126014024
France,Snickerdoodle,1563,4,2,6252,2344,3908,2019-05-01 00:00:00.000,5,May,2019,68035000
Germany,Oatmeal Raisin,994,5,2,4970,2187,2783,2018-09-01 00:00:00.000,9,September,2018,83222442
Mexico,Oatmeal Raisin,1101,5,2,5505,2422,3083,2019-03-01 00:00:00.000,3,March,2019,126014024
Canada,Oatmeal Raisin,888,5,2,4440,1954,2486,2019-03-01 00:00:00.000,3,March,2019,38547901
Mexico,Snickerdoodle,2470,4,2,9880,3705,6175,2019-06-01 00:00:00.000,6,June,2019,126014024
United States,Snickerdoodle,1743,4,2,6972,2614,4358,2019-05-01 00:00:00.000,5,May,2019,333061898
Canada,Sugar,2935,3,1,8805,3669,5136,2018-11-01 00:00:00.000,11,November,2018,38547901
Mexico,Snickerdoodle,562,4,2,2248,843,1405,2019-09-01 00:00:00.000,9,September,2019,126014024
United States,Chocolate Chip,914,5,2,4570,1828,2742,2019-12-01 00:00:00.000,12,December,2019,333061898
United States,Chocolate Chip,991,5,2,4955,1982,2973,2019-06-01 00:00:00.000,6,June,2019,333061898
Germany,Sugar,263,3,1,789,329,460,2019-03-01 00:00:00.000,3,March,2019,83222442
United States,White Chocolate Macadamia Nut,986,6,3,5916,2712,3204,2019-10-01 00:00:00.000,10,October,2019,333061898
France,Fortune Cookie,1976,1,0,1976,395,1581,2019-10-01 00:00:00.000,10,October,2019,68035000
Canada,White Chocolate Macadamia Nut,2646,6,3,15876,7276,8600,2018-09-01 00:00:00.000,9,September,2018,38547901
Germany,Sugar,2297,3,1,6891,2871,4020,2018-11-01 00:00:00.000,11,November,2018,83222442
Mexico,White Chocolate Macadamia Nut,2145,6,3,12870,5899,6971,2018-10-01 00:00:00.000,10,October,2018,126014024
United States,Snickerdoodle,1010,4,2,4040,1515,2525,2019-10-01 00:00:00.000,10,October,2019,333061898
Canada,Snickerdoodle,1094,4,2,4376,1641,2735,2019-06-01 00:00:00.000,6,June,2019,38547901
