dim_parking_bay_id,bay_id,marker_id,meter_id,rd_seg_id,rd_seg_dsc,load_id,loaded_on
"F14EF850-B5F8-4658-937A-83FA661D89E7",21138,"","","22213","Toorak Road between Hope Street and Millswyn Street","0e5694e0-95d2-43a5-a9e4-20ac3c367f76",2020-06-11 03:37:19.843
"4279C279-E5B9-453D-87C2-F3D6EB0D7E3E",22212,"","","22063","City Road between Southgate Avenue and Southbank Boulevard","0e5694e0-95d2-43a5-a9e4-20ac3c367f76",2020-06-11 03:37:19.843
"0813DAB7-BD8C-44FA-9098-0A33ADF826F9",20965,"","","20059","Little Bourke Street between Queen Street and William Street","0e5694e0-95d2-43a5-a9e4-20ac3c367f76",2020-06-11 03:37:19.843
"D7BC8ED3-F7C9-4727-8207-89D305292B97",22292,"","","22466","St Kilda Road between Southbank Boulevard and Grant Street","0e5694e0-95d2-43a5-a9e4-20ac3c367f76",2020-06-11 03:37:19.843
"DBC39F4B-F90C-41B3-A048-E0990C26109E",22153,"","","21623","Victoria Street between Swanston Street and Bouverie Street","0e5694e0-95d2-43a5-a9e4-20ac3c367f76",2020-06-11 03:37:19.843
"B626F72F-BD2D-4F36-B37F-A73673A4C761",22298,"","","22466","St Kilda Road between Southbank Boulevard and Grant Street","0e5694e0-95d2-43a5-a9e4-20ac3c367f76",2020-06-11 03:37:19.843
"753A0B8B-0AD8-466D-AE3A-16A29D200E61",22011,"","","20454","Intersection of Leicester Street and Berkeley Street","0e5694e0-95d2-43a5-a9e4-20ac3c367f76",2020-06-11 03:37:19.843
"DA2890A4-20A9-4215-BF45-D7E427F33E5A",22413,"","","20168","Elizabeth Street between Lonsdale Street and Little Lonsdale Street","0e5694e0-95d2-43a5-a9e4-20ac3c367f76",2020-06-11 03:37:19.843
"15AF6F81-AB10-4862-8CCD-43790E8A2EE1",21114,"","","21746","Altona Street between Tennyson Street and Ormond Street","0e5694e0-95d2-43a5-a9e4-20ac3c367f76",2020-06-11 03:37:19.843
"60593180-7E96-43CD-8204-72A6492F3D66",21997,"","","20864","Queensberry Street between Berkeley Street and Elizabeth Street","0e5694e0-95d2-43a5-a9e4-20ac3c367f76",2020-06-11 03:37:19.843
"1EA5D689-7DCC-4CB9-AA6D-0918A8ED798E",21382,"","","21741","Childers Street between Ormond Street and Kensington Road","0e5694e0-95d2-43a5-a9e4-20ac3c367f76",2020-06-11 03:37:19.843
"493E87FB-75E5-4604-B499-2F205B68B30D",21808,"","","21633","Franklin Street between Swanston Street and Elizabeth Street","0e5694e0-95d2-43a5-a9e4-20ac3c367f76",2020-06-11 03:37:19.843
"5C8F1D59-3859-40BD-825D-889F8EBC23FD",22024,"","","20453","Leicester Street between Victoria Street and Berkeley Street","0e5694e0-95d2-43a5-a9e4-20ac3c367f76",2020-06-11 03:37:19.843
"47007498-35E5-4AE5-8699-8037F1F53CFD",22603,"","","20472","Berkeley Street between Queensberry Street and Pelham Street","0e5694e0-95d2-43a5-a9e4-20ac3c367f76",2020-06-11 03:37:19.843
"1224A0BC-DC7C-4C9F-94A5-0136468B09BD",21036,"","","22045","Kavanagh Street between Balston Street and Kings Way","0e5694e0-95d2-43a5-a9e4-20ac3c367f76",2020-06-11 03:37:19.843
"2B136575-7163-46F8-8A25-F8A781CD2976",22301,"","","22500","Queensberry Street between Cardigan Street and Swanston Street","0e5694e0-95d2-43a5-a9e4-20ac3c367f76",2020-06-11 03:37:19.843
"E901CADF-43B7-476E-B94A-149CD7BAA5CA",22626,"","","21867","Simpson Street between Grey Street and Albert Street","0e5694e0-95d2-43a5-a9e4-20ac3c367f76",2020-06-11 03:37:19.843
"2E0BFB3B-F9BF-4857-81F5-12FF5D6E8A56",23023,"","","22599","College Crescent between Royal Parade and Cemetery Road West","0e5694e0-95d2-43a5-a9e4-20ac3c367f76",2020-06-11 03:37:19.843
"8C409ACE-39AC-4B4A-B337-E1A785B6F793",21834,"","","20024","La Trobe Street between Elizabeth Street and Queen Street","0e5694e0-95d2-43a5-a9e4-20ac3c367f76",2020-06-11 03:37:19.843
"2C629A39-9C2B-4746-BA01-82D941C23659",22111,"","","22686","Flemington Road between Elizabeth Street and Blackwood Street","0e5694e0-95d2-43a5-a9e4-20ac3c367f76",2020-06-11 03:37:19.843
