Host Last Discovered,VM Manager Name,Host Device Name,Host OS Name,Host Cores,Host Ram,VM Count Allocated,Total vCores Allocated,Total Ram Allocated,VM Count In Service,Total vCores In Service,Total Ram In Service,VMs Allocated,VMs In Service,Cores Percent Allocated,Ram Percent Allocated,Cores Percent In Service,Ram Percent In Service
2021-04-08 22:18:06.560,"","040C7493-C746-4D6C-94F6-EE3D167BC22C/aks-agentpool-74987091-3","Linux",2,7,26,,,26,,,"tunnel-front_882bb6c0e6b1 | main_913010759fa0 | omsagent_6630367056ca | omsagent_78980505b2eb | main_e9320bdd2cb6 | coredns_0d3e2c77a4be | kube-proxy_4c73c73634b9 | kube-proxy_38c52dbee14e | omsagent_ee7f70c07203 | autoscaler_c76e63e85303 | nginx-ingress-default-backend_c28455870733 | nginx-ingress-controller_7875e46a2f80 | nginx-ingress-default-backend_1a531917b6df | nginx-ingress-controller_66caa3d8896e | lab-pod2_41e10ecc7a57 | web_bae7c9933f5e | autoscaler_6dd11bfb71bd | main_48cef3f205e4 | kube-proxy_8d026002f224 | omsagent_3d76b9a112ab | kube-proxy_979a88fbcadb | coredns_fdda95ee1f31 | coredns_4575eed1a06e | omsagent_9e08ada7f0bd | omsagent_8e17a5a4d9c0 | omsagent_3dcd985d3bb8","tunnel-front_882bb6c0e6b1 | main_913010759fa0 | omsagent_6630367056ca | omsagent_78980505b2eb | main_e9320bdd2cb6 | coredns_0d3e2c77a4be | kube-proxy_4c73c73634b9 | kube-proxy_38c52dbee14e | omsagent_ee7f70c07203 | autoscaler_c76e63e85303 | nginx-ingress-default-backend_c28455870733 | nginx-ingress-controller_7875e46a2f80 | nginx-ingress-default-backend_1a531917b6df | nginx-ingress-controller_66caa3d8896e | lab-pod2_41e10ecc7a57 | web_bae7c9933f5e | autoscaler_6dd11bfb71bd | main_48cef3f205e4 | kube-proxy_8d026002f224 | omsagent_3d76b9a112ab | kube-proxy_979a88fbcadb | coredns_fdda95ee1f31 | coredns_4575eed1a06e | omsagent_9e08ada7f0bd | omsagent_8e17a5a4d9c0 | omsagent_3dcd985d3bb8",,,,
2021-02-19 05:07:16.563,"","0EC702D8-27EA-4D03-B939-F1172BCC15BE/aks-agentpool-74987091-1","Linux",2,7,31,,,31,,,"omsagent_a0b6de5bc76c | tunnel-front_0a8573d047c7 | autoscaler_21636bca7d92 | omsagent_8881a74fb75f | kube-proxy_09365aa38417 | coredns_7ee5193516ed | metrics-server_16a84a46905d | omsagent_7dbab55b2d26 | autoscaler_42d90305e142 | metrics-server_01f55931bc96 | omsagent_87b841b23877 | tunnel-front_83d7f64670f4 | omsagent_679e84e3ac5b | tunnel-front_f177e470e360 | metrics-server_b21d85d6bf70 | autoscaler_f2daf27c133f | tiller_5ce66865db8c | omsagent_9e8653a32107 | omsagent_e7ee6b94419d | kube-proxy_33ec6d6fbc40 | kube-proxy_ce767c136d62 | tunnel-front_1c8a26b89c63 | tunnel-probe_f2ee878438ac | kube-proxy_c1283f7d390f | omsagent_0867f53b2154 | coredns_5818d7383f1e | acs-helloworld-garish-indri_4ea5aa09eb1a | acs-helloworld-callous-kangaroo_1a1a571c0075 | 2nd_0c44044ee8df | 1st_5a84cf54a63c | autoscaler_461ce8a66538","omsagent_a0b6de5bc76c | tunnel-front_0a8573d047c7 | autoscaler_21636bca7d92 | omsagent_8881a74fb75f | kube-proxy_09365aa38417 | coredns_7ee5193516ed | metrics-server_16a84a46905d | omsagent_7dbab55b2d26 | autoscaler_42d90305e142 | metrics-server_01f55931bc96 | omsagent_87b841b23877 | tunnel-front_83d7f64670f4 | omsagent_679e84e3ac5b | tunnel-front_f177e470e360 | metrics-server_b21d85d6bf70 | autoscaler_f2daf27c133f | tiller_5ce66865db8c | omsagent_9e8653a32107 | omsagent_e7ee6b94419d | kube-proxy_33ec6d6fbc40 | kube-proxy_ce767c136d62 | tunnel-front_1c8a26b89c63 | tunnel-probe_f2ee878438ac | kube-proxy_c1283f7d390f | omsagent_0867f53b2154 | coredns_5818d7383f1e | acs-helloworld-garish-indri_4ea5aa09eb1a | acs-helloworld-callous-kangaroo_1a1a571c0075 | 2nd_0c44044ee8df | 1st_5a84cf54a63c | autoscaler_461ce8a66538",,,,
2021-10-26 14:52:12.380,"d42-vcenter.device42.pvt","10.42.0.157","VMware ESXi",8,128,46,100,2797,2,6,24,"centosdoc-3-121 | d42centosdev04 | Device42-64-14.10.0-Racktables-3-114 | vagrant | OmarTestVM | MW - Windows | bsd.my.domain | d42centosdev03 | d42-vcenter.device42.pvt | mw-ubuntu | ubu-dev-kubernetes-node1-3-102 | d42centosqa4 | centos_roman_dev42_test1-3-131 | d42centosqa3 | d42centosdev05 | jayloqa-14.17-64bit-3-142 | Joecentos04 | ubu-dev-kubernetes-3-100 | AWS-Device42-v15.00.00 | AdamcentosQA | centos-3-105 | Dev_Kubernetes | Joecentos07 | ubu-influx-meta01-3-116 | wathek-dev | Joecentos01 | D42-v13.8.0-3-122 | Joecentos03 | jiratocentos-3-141 | Joecentos02 | Joecentos05 | AdamcentosQA-3-130 | centos7-min-test | ubu-influx-node01-3-118 | ubu-influx-node02-3-119 | ubu-dev-kubernetes-node2-3-103 | Joecentos08 | ubu-influx-meta03-3-117 | Roman-Dev-64-3-94 | jumpd42test-3-120 | Joecentos06 | ubu-influx-meta01-3-115 | Roman-Dev-64-3-95 | win2ktest-3-137 | connector | matt-marketing","d42-vcenter.device42.pvt | centos-3-105",1250,2185.1563,75,18.75
2021-02-19 05:09:02.840,"","3591547754977958426/gke-d42-k8s-default-pool-78f70870-i4uh","Linux",1,3.75,11,,,11,,,"kube-proxy_d9e066d7b33d | prometheus-to-sd_fef81f4792e3 | slave_8134cb22b6bd | prometheus-to-sd-new-model_f16170373bdb | nginx-3_090247e90fad | nginx_689e0f9322f5 | nginx_7cd09d14bc82 | prometheus-to-sd-exporter_ba3ff6eb40ad | fluentd-gcp_1ca70ebe9faf | nginx-3_679da2d493ae | master_1acccd997ecb","kube-proxy_d9e066d7b33d | prometheus-to-sd_fef81f4792e3 | slave_8134cb22b6bd | prometheus-to-sd-new-model_f16170373bdb | nginx-3_090247e90fad | nginx_689e0f9322f5 | nginx_7cd09d14bc82 | prometheus-to-sd-exporter_ba3ff6eb40ad | fluentd-gcp_1ca70ebe9faf | nginx-3_679da2d493ae | master_1acccd997ecb",,,,
2021-09-09 20:35:07.910,"","3945975032884169077/gke-d42-k8s-default-pool-78f70870-b7fm","gke-11820-gke901-cos-85-13310-1260-22-v210804-pre",1,3.75,13,,,13,,,"nginx-3_8404657e8611 | kube-proxy_d69426d6b67a | fluentbit-gke_bc95aaad83d3 | kubernetes-dashboard_7dc47480084e | slave_d7002208b7a3 | default-http-backend_df6c74d86a1f | php-redis_0477b3398640 | metrics-server_aebae6bc8059 | php-redis_966a8217f986 | php-redis_19c1cfe47ff5 | metrics-server-nanny_cdea16543e98 | fluentbit_b6cedd3d913c | gke-metrics-agent_b61b4d96d1fb","nginx-3_8404657e8611 | kube-proxy_d69426d6b67a | fluentbit-gke_bc95aaad83d3 | kubernetes-dashboard_7dc47480084e | slave_d7002208b7a3 | default-http-backend_df6c74d86a1f | php-redis_0477b3398640 | metrics-server_aebae6bc8059 | php-redis_966a8217f986 | php-redis_19c1cfe47ff5 | metrics-server-nanny_cdea16543e98 | fluentbit_b6cedd3d913c | gke-metrics-agent_b61b4d96d1fb",,,,
2021-02-19 05:09:02.956,"","4933785851714869978/gke-d42-k8s-default-pool-78f70870-z9hn","Linux",1,3.75,18,,,18,,,"kube-proxy_8be4680e371d | autoscaler_7a51c92057da | metrics-server-nanny_09a994bd8303 | prometheus-to-sd_89bf09c19231 | web_1e545a89743f | dnsmasq_135dffd3cb5a | kubedns_91ad4e5d2e0a | nginx-3_059d7b4619b5 | php-redis_167adc6f2277 | php-redis_83cedb2a69af | sidecar_091977315c0b | prometheus-to-sd-new-model_e21bd7700513 | metrics-server_964db67e4cc0 | fluentd-gcp-scaler_275fa11b025f | fluentd-gcp_8a0b5d0897ec | prometheus-to-sd-exporter_f3d4f2517662 | default-http-backend_06571dd973b5 | prometheus-to-sd_934eeb2bbed3","kube-proxy_8be4680e371d | autoscaler_7a51c92057da | metrics-server-nanny_09a994bd8303 | prometheus-to-sd_89bf09c19231 | web_1e545a89743f | dnsmasq_135dffd3cb5a | kubedns_91ad4e5d2e0a | nginx-3_059d7b4619b5 | php-redis_167adc6f2277 | php-redis_83cedb2a69af | sidecar_091977315c0b | prometheus-to-sd-new-model_e21bd7700513 | metrics-server_964db67e4cc0 | fluentd-gcp-scaler_275fa11b025f | fluentd-gcp_8a0b5d0897ec | prometheus-to-sd-exporter_f3d4f2517662 | default-http-backend_06571dd973b5 | prometheus-to-sd_934eeb2bbed3",,,,
2021-02-19 05:07:16.530,"","5FC2FBE4-65A1-4DAC-A272-5EAF534C7368/aks-agentpool-74987091-0","Linux",2,7,26,,,26,,,"omsagent_b7d18d196b4d | coredns_ee4dceeb8e0e | kube-proxy_8eeecf887ca5 | omsagent_a9a0ae989769 | omsagent_e257846a435e | metrics-server_ad338319f12e | azure-vote-front_d1385bda17d3 | nginx-ingress-controller_eb2677e9a23f | nginx-ingress-controller_eca2f6c75063 | omsagent_8be6a4c62a44 | metrics-server_d44edf3eb5c1 | metrics-server_0c59d534d540 | coredns_ef27d5b8cbea | tunnel-front_46ec6bcf613e | omsagent_82db30f48913 | omsagent_531dfa2ce0e1 | kube-proxy_9bb2953f6deb | coredns_7de587bcded0 | coredns_879bd2fdb353 | omsagent_e3a5aab7dc1a | kube-proxy_38505230488e | omsagent_9d02bca5bf13 | azure-vote-back_a6b122252818 | omsagent_fa3988b7668f | coredns_0b4c4657c0b8 | kube-proxy_4012cbea004b","omsagent_b7d18d196b4d | coredns_ee4dceeb8e0e | kube-proxy_8eeecf887ca5 | omsagent_a9a0ae989769 | omsagent_e257846a435e | metrics-server_ad338319f12e | azure-vote-front_d1385bda17d3 | nginx-ingress-controller_eb2677e9a23f | nginx-ingress-controller_eca2f6c75063 | omsagent_8be6a4c62a44 | metrics-server_d44edf3eb5c1 | metrics-server_0c59d534d540 | coredns_ef27d5b8cbea | tunnel-front_46ec6bcf613e | omsagent_82db30f48913 | omsagent_531dfa2ce0e1 | kube-proxy_9bb2953f6deb | coredns_7de587bcded0 | coredns_879bd2fdb353 | omsagent_e3a5aab7dc1a | kube-proxy_38505230488e | omsagent_9d02bca5bf13 | azure-vote-back_a6b122252818 | omsagent_fa3988b7668f | coredns_0b4c4657c0b8 | kube-proxy_4012cbea004b",,,,
2021-09-09 20:35:08.036,"","6739640345973164116/gke-d42-k8s-default-pool-78f70870-q6z9","gke-11820-gke901-cos-85-13310-1260-22-v210804-pre",1,3.75,15,,,15,,,"metadata-agent-nanny_96ac269c76da | metadata-agent_513761c95ee4 | dnsmasq_2534e01afc7f | sidecar_8e0b9c04d3e6 | slave_bbfc93f87666 | event-exporter_69f33b0c555e | master_e4284aa3d6c2 | fluentbit-gke_9ce8908babcb | prometheus-to-sd-exporter_a2f561217fe8 | kube-proxy_3d8c8f13d1af | nginx_fd4af3e8883c | gke-metrics-agent_8d44165ae3c6 | prometheus-to-sd_a31fa5bc7180 | kubedns_62b76339cf6f | fluentbit_610d7538c8dc","metadata-agent-nanny_96ac269c76da | metadata-agent_513761c95ee4 | dnsmasq_2534e01afc7f | sidecar_8e0b9c04d3e6 | slave_bbfc93f87666 | event-exporter_69f33b0c555e | master_e4284aa3d6c2 | fluentbit-gke_9ce8908babcb | prometheus-to-sd-exporter_a2f561217fe8 | kube-proxy_3d8c8f13d1af | nginx_fd4af3e8883c | gke-metrics-agent_8d44165ae3c6 | prometheus-to-sd_a31fa5bc7180 | kubedns_62b76339cf6f | fluentbit_610d7538c8dc",,,,
2021-02-19 05:09:02.723,"","6895073467613322649/gke-d42-k8s-default-pool-78f70870-0j7c","gke-11512-gke6001-cos-77-12371-1079-0-v201019-pre",1,3.75,17,,,17,,,"heapster_a0c256e81422 | sidecar_4a9f7377561c | fluentd-gcp_44c03026f453 | prometheus-to-sd-exporter_916b82bbee66 | prometheus-to-sd-new-model_0f9dcd76bc2b | prometheus-to-sd_a19685b26be2 | kubernetes-dashboard_ce1ff5555eaa | kube-proxy_5c1010fedbfa | prometheus-to-sd_6944ba20ef8a | dnsmasq_d3ffdedeb6c7 | kubedns_c6da3f7d368c | heapster-nanny_974b44ffd02d | prom-to-sd_04f3c01a116a | prometheus-to-sd-exporter_cb96988886c5 | php-redis_f4633f0b54f6 | slave_5f1a5e3e80a3 | event-exporter_0adce1fc8bf6","heapster_a0c256e81422 | sidecar_4a9f7377561c | fluentd-gcp_44c03026f453 | prometheus-to-sd-exporter_916b82bbee66 | prometheus-to-sd-new-model_0f9dcd76bc2b | prometheus-to-sd_a19685b26be2 | kubernetes-dashboard_ce1ff5555eaa | kube-proxy_5c1010fedbfa | prometheus-to-sd_6944ba20ef8a | dnsmasq_d3ffdedeb6c7 | kubedns_c6da3f7d368c | heapster-nanny_974b44ffd02d | prom-to-sd_04f3c01a116a | prometheus-to-sd-exporter_cb96988886c5 | php-redis_f4633f0b54f6 | slave_5f1a5e3e80a3 | event-exporter_0adce1fc8bf6",,,,
2021-02-19 05:07:16.493,"","69F82EEE-6B8F-4FC7-BA60-BD49397F41B3/aks-agentpool-18482215-1","Linux",1,3.5,38,,,38,,,"kube-proxy_2b48ff90fba2 | metrics-server_11b0389ce8c6 | kneeling-giraffe-master_8d1c89f8a234 | kneeling-giraffe-zeppelin_155207873f45 | kube-proxy_3b4cf8849839 | tunnel-front_717f7ff3e6e4 | omsagent_f88bd845c9d6 | main_f0a18f4a7371 | omsagent_9e697d5f2ec6 | autoscaler_1f169e32697e | tunnel-front_025783616a26 | omsagent_a8d6802d681b | omsagent_26c60b7e4597 | kneeling-giraffe-worker_996f09469d33 | kube-proxy_d839cf4065db | omsagent_a68633e3d78d | metrics-server_80e47d568fc6 | main_64dedb2dee59 | kube-proxy_78d7bc2717af | kneeling-giraffe-worker_76154405abcf | coredns_25cf112421e4 | tunnel-probe_effbe8d1c4ae | metrics-server_f3f23a0cabfa | omsagent_58ce8d6a0775 | tunnel-front_b299ce6873d1 | kneeling-giraffe-worker_e8a8e813b5da | kneeling-giraffe-zeppelin_b27171b25b4a | omsagent_d00109440ee5 | kube-proxy_7bf7e890052d | tunnel-front_c748a9a3e7fb | metrics-server_dc30b3109cc7 | omsagent_06f872064f1a | metrics-server_4224123f70cb | main_67da0bd810cb | coredns_17fe87110198 | coredns_54044f94348f | kneeling-giraffe-mkube-proxy_2b48ff90fba2 | metrics-server_11b0389ce8c6 | kneeling-giraffe-master_8d1c89f8a234 | kneeling-giraffe-zeppelin_155207873f45 | kube-proxy_3b4cf8849839 | tunnel-front_717f7ff3e6e4 | omsagent_f88bd845c9d6 | main_f0a18f4a7371 | omsagent_9e697d5f2ec6 | autoscaler_1f169e32697e | tunnel-front_025783616a26 | omsagent_a8d6802d681b | omsagent_26c60b7e4597 | kneeling-giraffe-worker_996f09469d33 | kube-proxy_d839cf4065db | omsagent_a68633e3d78d | metrics-server_80e47d568fc6 | main_64dedb2dee59 | kube-proxy_78d7bc2717af | kneeling-giraffe-worker_76154405abcf | coredns_25cf112421e4 | tunnel-probe_effbe8d1c4ae | metrics-server_f3f23a0cabfa | omsagent_58ce8d6a0775 | tunnel-front_b299ce6873d1 | kneeling-giraffe-worker_e8a8e813b5da | kneeling-giraffe-zeppelin_b27171b25b4a | omsagent_d00109440ee5 | kube-proxy_7bf7e890052d | tunnel-front_c748a9a3e7fb | metrics-server_dc30b3109cc7 | omsagent_06f872064f1a | metrics-server_4224123f70cb | main_67da0bd810cb | coredns_17fe87110198 | coredns_54044f94348f | kneeling-giraffe-master_4cecdcaed0a3 | omsagent_f0c3f3490de3","kube-proxy_2b48ff90fba2 | metrics-server_11b0389ce8c6 | kneeling-giraffe-master_8d1c89f8a234 | kneeling-giraffe-zeppelin_155207873f45 | kube-proxy_3b4cf8849839 | tunnel-front_717f7ff3e6e4 | omsagent_f88bd845c9d6 | main_f0a18f4a7371 | omsagent_9e697d5f2ec6 | autoscaler_1f169e32697e | tunnel-front_025783616a26 | omsagent_a8d6802d681b | omsagent_26c60b7e4597 | kneeling-giraffe-worker_996f09469d33 | kube-proxy_d839cf4065db | omsagent_a68633e3d78d | metrics-server_80e47d568fc6 | main_64dedb2dee59 | kube-proxy_78d7bc2717af | kneeling-giraffe-worker_76154405abcf | coredns_25cf112421e4 | tunnel-probe_effbe8d1c4ae | metrics-server_f3f23a0cabfa | omsagent_58ce8d6a0775 | tunnel-front_b299ce6873d1 | kneeling-giraffe-worker_e8a8e813b5da | kneeling-giraffe-zeppelin_b27171b25b4a | omsagent_d00109440ee5 | kube-proxy_7bf7e890052d | tunnel-front_c748a9a3e7fb | metrics-server_dc30b3109cc7 | omsagent_06f872064f1a | metrics-server_4224123f70cb | main_67da0bd810cb | coredns_17fe87110198 | coredns_54044f94348f | kneeling-giraffe-master_4cecdcaed0a3 | omsagent_f0c3f3490de3",,,,
