Identifier/Volume,Array Name,Array Type,Storage Type (SAN/NAS),Capacity Type (Usable/RAW),Total Capacity (GB),LUN (only needed if SAN),"RAID (RAID-6, RAID5, RAID 10, etc.)",Used Capacity (GB),mean_iops,peak_iops,mean_thruput,peak_thruput,mean_lat,peak_lat,Access Protocol (CIFS/NFS/FC/iSCSI),Utilization Date,Media Type,Used For,Label,Notes,Description,Pool,Storage Vendor,Thin Provisioned?,storagearray_pk
"d42do-679-03","AF1000","Array (NIMBLE)","SAN","GB",50,"lun|066fcdbccae2100adb000000000000000000000003|array|096fcdbccae2100adb000000000000000000000001","",23.31,"","","","","","","fc","","ssd","","","","","default","","No",6626
"d42do-697-01","AF1000","Array (NIMBLE)","SAN","GB",1,"lun|066fcdbccae2100adb000000000000000000000001|array|096fcdbccae2100adb000000000000000000000001","",0.02,"","","","","","","fc","","ssd","","","","","default","","No",6626
"d42do-697-02","AF1000","Array (NIMBLE)","SAN","GB",1,"lun|066fcdbccae2100adb000000000000000000000002|array|096fcdbccae2100adb000000000000000000000001","",0.01,"","","","","","","fc","","ssd","","","","","default","","No",6626
"ArrayIQTest-00","CKM00164000536","Array (UNITY)","SAN","GB",50,"lun|sv_1|array|CKM00164000536","",0,"","","","","","","","","sas","","","","","Unity_Pool_01","EMC","No",6301
"ArrayIQTest-01","CKM00164000536","Array (UNITY)","SAN","GB",50,"lun|sv_2|array|CKM00164000536","",0,"","","","","","","","","sas","","","","","Unity_Pool_01","EMC","No",6301
"d42do-1143-00","CKM00164000536","Array (UNITY)","SAN","GB",1,"lun|sv_9|array|CKM00164000536","",0,"","","","","","","","","sas","","","","","Unity_Pool_01","EMC","No",6301
"d42do-1143-01","CKM00164000536","Array (UNITY)","SAN","GB",1,"lun|sv_10|array|CKM00164000536","",0,"","","","","","","","","sas","","","","","Unity_Pool_01","EMC","No",6301
"d42do-1143-02","CKM00164000536","Array (UNITY)","SAN","GB",1,"lun|sv_11|array|CKM00164000536","",0,"","","","","","","","","sas","","","","","Unity_Pool_01","EMC","No",6301
"d42do-1143-03","CKM00164000536","Array (UNITY)","SAN","GB",1,"lun|sv_12|array|CKM00164000536","",0,"","","","","","","","","sas","","","","","Unity_Pool_01","EMC","No",6301
"d42do-608-00","CKM00164000536","Array (UNITY)","SAN","GB",1,"lun|sv_7|array|CKM00164000536","",0.03,"","","","","","","fc","","sas","","","","","Unity_Pool_01","EMC","No",6301
"d42do-608-01","CKM00164000536","Array (UNITY)","SAN","GB",1,"lun|sv_8|array|CKM00164000536","",0.01,"","","","","","","fc","","sas","","","","","Unity_Pool_01","EMC","No",6301
"NFSTEST","CKM00164000536","Array (UNITY)","NAS","GB",50,"fs|fs_2|array|CKM00164000536","",4.15,"","","","","","","nfs","","sas","","","","","Unity_Pool_01","EMC","No",6301
"TestDatastore","CKM00164000536","Array (UNITY)","SAN","GB",100,"lun|sv_4|array|CKM00164000536","",0,"","","","","","","fc","","sas","","","","","Unity_Pool_01","EMC","No",6301
