Date,Financial Year,FY Qtr,FY Month
2016-01-01 00:00:00.000,"2015/16","2016 Q3",7
2016-02-01 00:00:00.000,"2015/16","2016 Q3",8
2016-03-01 00:00:00.000,"2015/16","2016 Q3",9
2016-04-01 00:00:00.000,"2015/16","2016 Q4",10
2016-05-01 00:00:00.000,"2015/16","2016 Q4",11
2016-06-01 00:00:00.000,"2015/16","2016 Q4",12
2016-07-01 00:00:00.000,"2016/17","2017 Q1",1
2016-08-01 00:00:00.000,"2016/17","2017 Q1",2
2016-09-01 00:00:00.000,"2016/17","2017 Q1",3
2016-10-01 00:00:00.000,"2016/17","2017 Q2",4
2016-11-01 00:00:00.000,"2016/17","2017 Q2",5
2016-12-01 00:00:00.000,"2016/17","2017 Q2",6
2017-01-01 00:00:00.000,"2016/17","2017 Q3",7
2017-02-01 00:00:00.000,"2016/17","2017 Q3",8
2017-03-01 00:00:00.000,"2016/17","2017 Q3",9
2017-04-01 00:00:00.000,"2016/17","2017 Q4",10
2017-05-01 00:00:00.000,"2016/17","2017 Q4",11
2017-06-01 00:00:00.000,"2016/17","2017 Q4",12
2017-07-01 00:00:00.000,"2017/18","2018 Q1",1
2017-08-01 00:00:00.000,"2017/18","2018 Q1",2
