Time,device,m1,m2,m3,State,Cycles Desired,Cycle Change,Cycles,Cycles Count
2020-09-01 00:01:00.000,4,-0.103,0,100,1,1,1,1,1
2020-09-01 12:56:00.000,4,-0.103,0,100,1,1,0,1,1
2020-09-01 13:26:00.000,4,-0.103,0,100,1,1,0,1,1
2020-09-01 13:26:00.000,4,-0.594,0,100,4,1,0,1,1
2020-09-01 13:31:00.000,4,-0.594,-0.1,100,4,1,0,1,1
2020-09-01 13:36:00.000,4,-0.654,-15,99.9,4,1,0,1,1
2020-09-01 20:31:00.000,4,0.02,-24.7,77.3,4,1,0,1,1
2020-09-01 20:33:00.000,4,16.927,0,77.8,3,1,0,1,1
2020-09-01 20:38:00.000,4,17.407,1.5,79.1,3,1,0,1,1
2020-09-01 20:58:00.000,4,17.331,7.3,84.4,3,1,0,1,1
2020-09-01 21:23:00.000,4,17.282,14.5,91.1,3,1,0,1,1
2020-09-01 21:27:00.000,4,17.284,15.9,92.4,3,1,0,1,1
2020-09-01 21:28:00.000,4,15.926,16.2,92.6,2,1,0,1,1
2020-09-01 23:23:00.000,4,2.269,25.6,101.3,2,1,0,1,1
2020-09-01 23:43:00.000,4,1.862,26.4,101.9,2,1,0,1,1
2020-09-01 23:44:00.000,4,-0.1,0,100,1,2,1,2,2
2020-09-02 00:14:00.000,4,-0.1,0,100,1,2,0,2,2
2020-09-02 07:19:00.000,4,-0.102,0,100,1,2,0,2,2
2020-09-02 07:24:00.000,4,-0.102,0,100,1,2,0,2,2
2020-09-02 07:26:00.000,4,-0.175,0,100,4,2,0,2,2
2020-09-02 07:31:00.000,4,-1.253,-0.1,99.9,4,2,0,2,2
2020-09-02 20:01:00.000,4,-0.025,-5,79.7,4,2,0,2,2
2020-09-02 20:06:00.000,4,-0.025,-15,79.7,4,2,0,2,2
2020-09-02 20:11:00.000,4,-0.025,-22.2,79.7,4,2,0,2,2
2020-09-02 20:15:00.000,4,7.011,0,80.1,3,2,0,2,2
2020-09-02 20:20:00.000,4,17.448,1.5,81.5,3,2,0,2,2
2020-09-02 20:35:00.000,4,17.376,5.9,85.5,3,2,0,2,2
2020-09-02 20:55:00.000,4,17.344,11.6,90.8,3,2,0,2,2
2020-09-02 20:58:00.000,4,16.897,12.5,91.6,2,2,0,2,2
2020-09-02 21:18:00.000,4,9.272,15.6,94.4,2,2,0,2,2
2020-09-02 23:08:00.000,4,2.274,22.6,100.8,2,2,0,2,2
2020-09-02 23:11:00.000,4,1.002,0,100,1,3,1,3,3
2020-09-03 09:35:00.000,4,-0.102,0,100,1,3,0,3,3
