dSRSNum,dRep,dPct
2,"3396",100
3,"1197",100
4,"1197",100
5,"1197",100
6,"1197",100
8,"5272",100
9,"318",100
10,"3379",100
11,"2623",100
12,"3379",100
13,"2341",100
14,"2326",100
15,"2326",100
16,"4044",100
17,"2780",100
18,"2780",100
19,"3379",100
21,"318",100
22,"3396",100
23,"2780",100
24,"2153",100
25,"3396",100
26,"2326",100
27,"3396",100
28,"3412",100
29,"5269",100
30,"3412",100
31,"3794",100
32,"1197",100
33,"2326",100
34,"3412",100
35,"2341",100
36,"2341",100
37,"3396",100
38,"3412",100
39,"1197",100
40,"3396",100
41,"3395",100
42,"3395",100
43,"1711",100
44,"2326",100
45,"2326",100
47,"702",100
48,"702",100
49,"702",100
50,"702",100
51,"702",100
52,"702",100
53,"702",100
54,"702",100
55,"702",100
56,"702",100
57,"702",100
58,"702",100
59,"702",100
60,"702",100
61,"702",100
62,"702",100
63,"702",100
64,"702",100
65,"702",100
66,"702",100
67,"702",100
68,"702",100
69,"7909",100
70,"4844",100
71,"1598",100
72,"1598",100
73,"1598",100
74,"1598",100
75,"3267",100
76,"3267",100
77,"1398",100
78,"1398",100
79,"1900",100
80,"1900",100
81,"1900",100
82,"1900",100
83,"1900",100
84,"1900",100
85,"1900",100
86,"1900",100
88,"1057",100
89,"1057",100
90,"1057",100
91,"1057",100
92,"1711",100
93,"1711",100
94,"1197",100
95,"2623",100
96,"2326",100
120,"1320",100
1,"1430",25
1,"2623",75
7,"1057",70
7,"2422",30
20,"1232",25
20,"2271",75
122,"1398",20
122,"2271",20
122,"1952",20
122,"1197",30
122,"1320",10
