NATION,CASES,DEATHS,RECOVERY
"United States",3428462,137613,999968
"Brazil",1884967,72833,1213512
"India",906752,23727,571459
"Russia",739947,11614,512825
"Peru",330123,12054,221008
"Chile",317657,7024,286556
"Mexico",304435,35491,189063
"United Kingdom",290133,44830,
"South Africa",287796,4172,138241
"Iran",259652,13032,222539
"Spain",255953,28406,150376
"Pakistan",253598,5320,170656
"Italy",243230,34967,195106
"Saudi Arabia",235111,2704,169842
"Turkey",214001,5382,195671
"Germany",200431,9138,185058
"Bangladesh",186894,2391,98317
"France",172377,30029,78597
"Colombia",154277,5455,65809
"Canada",108155,8790,71841
"Qatar",104016,149,100627
"Argentina",103239,1903,44160
"China",83605,4634,78674
"Egypt",83001,3935,24975
"Iraq",79735,3250,46988
"Indonesia",78572,3710,37636
"Sweden",75826,5536,
"Ecuador",68459,5063,5900
"Belarus",65114,468,55492
"Belgium",62357,9781,17179
"Kazakhstan",61755,375,35911
"Oman",59568,273,37987
"Philippines",57006,1599,20371
"Kuwait",55508,393,45356
"United Arab Emirates",55198,334,45513
"Ukraine",54133,1398,26503
"Netherlands",51308,6156,
"Bolivia",49250,1866,15294
"Panama",47173,932,23919
"Portugal",46818,1662,31065
"Singapore",46283,26,42541
"Dominican Republic",45506,903,22441
"Israel",40632,365,19395
"Poland",38190,1576,26048
"Afghanistan",34740,1048,21454
"Romania",33585,1931,21803
"Nigeria",33513,744,13671
"Bahrain",33476,104,28425
"Switzerland",32946,1686,29600
"Armenia",32490,581,20729
"Guatemala",29742,1244,4321
"Honduras",28090,774,2957
"Ireland",25638,1746,23349
"Ghana",24988,139,21067
"Azerbaijan",24570,313,15640
"Japan",20174,980,17331
"Algeria",19689,1018,14019
"Moldova",19439,649,12793
"Austria",18948,708,17000
"Serbia",17728,370,13064
"Nepal",16945,38,10294
"Morocco",15936,255,12934
"Cameroon",15173,359,11928
"Uzbekistan",13872,64,8030
"South Korea",13512,289,12282
"Czech Republic",13238,353,8373
"Denmark",12836,601,11929
"Ivory Coast",12052,81,6080
"Kyrgyzstan",11538,149,4995
"El Salvador",10303,278,5919
"Kenya",10294,197,2946
"Sudan",10204,649,5277
"Australia",10050,109,7769
"Venezuela",9707,93,2671
"Norway",8984,253,8138
