Customer Number,Channel,Sales Allocation,Rep Code
"50230588","Chnl4","General","RC_9"
"50231077","Chnl4","General","RC_9"
"50230564","Chnl4","General","RC_9"
"50230702","Chnl4","General","RC_9"
"50230947","Chnl4","General","RC_9"
"50230073","Chnl4","General","RC_9"
"50230959","Chnl4","General","RC_9"
"50230650","Chnl4","General","RC_9"
"50231110","Chnl4","General","RC_9"
"50231013","Chnl4","General","RC_9"
"50230744","Chnl4","General","RC_9"
"50230560","Chnl4","General","RC_9"
"50230622","Chnl4","General","RC_9"
"50230228","Chnl4","General","RC_9"
"50230638","Chnl4","General","RC_9"
"50231070","Chnl4","General","RC_9"
"50230280","Chnl4","General","RC_9"
"50230718","Chnl4","General","RC_9"
"50230936","Chnl4","General","RC_9"
"50230872","Chnl4","General","RC_9"
"50231107","Chnl4","General","RC_9"
"50231005","Chnl4","General","RC_9"
"50230425","Chnl4","General","RC_9"
"50230574","Chnl4","General","RC_9"
"50230615","Chnl4","General","RC_9"
"50230837","Chnl4","General","RC_9"
"50230629","Chnl4","General","RC_9"
"50230950","Chnl4","General","RC_9"
"50230721","Chnl4","General","RC_9"
"50231021","Chnl4","General","RC_9"
"50231123","Chnl4","General","RC_9"
"50230231","Chnl4","General","RC_9"
"50230848","Chnl4","General","RC_9"
"50230427","Chnl4","General","RC_9"
"50230597","Chnl4","General","RC_9"
"50230150","Chnl4","General","RC_9"
"50230689","Chnl4","General","RC_9"
"50230227","Chnl4","General","RC_9"
"50231001","Chnl4","General","RC_9"
"50231045","Chnl4","General","RC_9"
"50231131","Chnl4","General","RC_9"
"50230866","Chnl4","General","RC_9"
"50230398","Chnl4","General","RC_9"
"50230741","Chnl4","General","RC_9"
"50231069","Chnl4","General","RC_9"
"50230980","Chnl4","General","RC_9"
"50230647","Chnl4","General","RC_9"
"50231055","Chnl4","General","RC_9"
"50230754","Chnl4","General","RC_9"
"50230759","Chnl4","General","RC_9"
"50230190","Chnl4","General","RC_9"
"50230576","Chnl4","General","RC_9"
"50231136","Chnl4","General","RC_9"
"50231132","Chnl4","General","RC_9"
"50230824","Chnl4","General","RC_9"
"50231137","Chnl4","General","RC_9"
"50230334","Chnl4","General","RC_9"
"50230764","Chnl4","General","RC_9"
"50231138","Chnl4","General","RC_9"
"50231048","Chnl4","General","RC_9"
"50231076","Chnl4","General","RC_9"
"50231071","Chnl4","General","RC_9"
"50230449","Chnl4","General","RC_9"
"50231016","Chnl4","General","RC_9"
"50230944","Chnl4","General","RC_9"
"50230670","Chnl4","General","RC_9"
"50230015","Chnl4","General","RC_9"
"50230613","Chnl4","General","RC_9"
"50230584","Chnl4","General","RC_9"
"50230700","Chnl4","General","RC_9"
"50230743","Chnl4","General","RC_9"
"50230874","Chnl4","General","RC_9"
"50230829","Chnl4","General","RC_9"
"50230867","Chnl4","General","RC_9"
"50230575","Chnl4","General","RC_9"
"50230041","Chnl4","General","RC_9"
"50230748","Chnl4","General","RC_9"
"50230692","Chnl4","General","RC_9"
"50231113","Chnl4","General","RC_9"
"50230589","Chnl4","General","RC_9"
"50230045","Chnl4","General","RC_9"
"50230585","Chnl4","General","RC_9"
"50231145","Chnl4","General","RC_9"
"50001070","Chnl4","General","RC_9"
"50001033","Chnl4","General","RC_9"
"50001085","Chnl4","General","RC_9"
"50001082","Chnl4","General","RC_9"
"50001088","Chnl4","General","RC_9"
"50001090","Chnl4","General","RC_9"
"50000129","Chnl4","General","RC_9"
"50000127","Chnl4","General","RC_9"
"50000197","Chnl4","General","RC_9"
"50000083","Chnl4","General","RC_9"
"50000139","Chnl4","General","RC_9"
"50000016","Chnl4","General","RC_9"
"50000142","Chnl4","General","RC_9"
"50000091","Chnl4","General","RC_9"
"50000188","Chnl4","General","RC_9"
"50000169","Chnl4","General","RC_9"
"50000086","Chnl4","General","RC_9"
"50000124","Chnl4","General","RC_9"
"50000159","Chnl4","General","RC_9"
"50000155","Chnl4","General","RC_9"
"50000119","Chnl4","General","RC_9"
"50000084","Chnl4","General","RC_9"
"50000041","Chnl4","General","RC_9"
"50000109","Chnl4","General","RC_9"
"50000085","Chnl4","General","RC_9"
"50000105","Chnl4","General","RC_9"
"50000214","Chnl4","General","RC_9"
"50000228","Chnl4","General","RC_9"
"50000224","Chnl4","General","RC_9"
"50000209","Chnl4","General","RC_9"
"50000196","Chnl4","General","RC_9"
"50000177","Chnl4","General","RC_9"
"50000038","Chnl4","General","RC_9"
"50000058","Chnl4","General","RC_9"
"50000217","Chnl4","General","RC_9"
"50001003","Chnl4","General","RC_9"
"50003024","Chnl4","General","RC_9"
"50232017","Chnl4","General","RC_9"
"50231100","Chnl4","General","RC_9"
"50230211","Chnl4","General","RC_9"
"50230213","Chnl4","General","RC_9"
"50230262","Chnl4","General","RC_9"
"50230460","Chnl4","General","RC_9"
"50230901","Chnl4","General","RC_9"
"50231106","Chnl4","General","RC_9"
"50230750","Chnl4","General","RC_9"
"50231082","Chnl4","General","RC_9"
"50230730","Chnl4","General","RC_9"
"50231135","Chnl4","General","RC_9"
"50230026","Chnl4","General","RC_9"
"50000245","Chnl4","General","RC_9"
"50000256","Chnl4","General","RC_9"
"50000274","Chnl4","General","RC_9"
"50001113","Chnl4","General","RC_9"
"50003068","Chnl4","General","RC_9"
"50003070","Chnl4","General","RC_9"
"50003071","Chnl4","General","RC_9"
"50003080","Chnl4","General","RC_9"
"50003091","Chnl4","General","RC_9"
"50230409","Chnl4","General","RC_9"
"50230410","Chnl4","General","RC_9"
"50230752","Chnl4","General","RC_9"
"50230765","Chnl4","General","RC_9"
"50230833","Chnl4","General","RC_9"
"50230854","Chnl4","General","RC_9"
"50230918","Chnl4","General","RC_9"
"50230955","Chnl4","General","RC_9"
"50231049","Chnl4","General","RC_9"
"50231057","Chnl4","General","RC_9"
"50231067","Chnl4","General","RC_9"
"50231088","Chnl4","General","RC_9"
"50231102","Chnl4","General","RC_9"
"50231108","Chnl4","General","RC_9"
"50231111","Chnl4","General","RC_9"
"50231125","Chnl4","General","RC_9"
"50231134","Chnl4","General","RC_9"
"50231148","Chnl4","General","RC_9"
"50231154","Chnl4","General","RC_9"
"50231163","Chnl4","General","RC_9"
"50231164","Chnl4","General","RC_9"
"50231167","Chnl4","General","RC_9"
"50231180","Chnl4","General","RC_9"
"50231182","Chnl4","General","RC_9"
"50231183","Chnl4","General","RC_9"
"50231186","Chnl4","General","RC_9"
"50231188","Chnl4","General","RC_9"
"50231218","Chnl4","General","RC_9"
"50231220","Chnl4","General","RC_9"
"50231238","Chnl4","General","RC_9"
"50231239","Chnl4","General","RC_9"
"50231242","Chnl4","General","RC_9"
"50232021","Chnl4","General","RC_9"
"50230662","Chnl4","General","RC_9"
"50230840","Chnl4","General","RC_8"
"50230952","Chnl4","General","RC_8"
"50230916","Chnl4","General","RC_8"
"50230099","Chnl4","General","RC_8"
"50230130","Chnl4","General","RC_8"
