Rep Code,Product Number,Year,Trimester,Month,Sales Target
"RC_1","202000200004","2018","T3","2018-09","4833"
"RC_1","202000200005","2018","T3","2018-09","16201"
"RC_1","202000200006","2018","T3","2018-09","13102"
"RC_1","202000200007","2018","T3","2018-09","2658"
"RC_1","202000200004","2018","T3","2018-10","4833"
"RC_1","202000200005","2018","T3","2018-10","16201"
"RC_1","202000200006","2018","T3","2018-10","13102"
"RC_1","202000200007","2018","T3","2018-10","2658"
"RC_1","202000200004","2018","T3","2018-11","4833"
"RC_1","202000200005","2018","T3","2018-11","16201"
"RC_1","202000200006","2018","T3","2018-11","13102"
"RC_1","202000200007","2018","T3","2018-11","2658"
"RC_1","202000200004","2018","T3","2018-12","4833"
"RC_1","202000200005","2018","T3","2018-12","16201"
"RC_1","202000200006","2018","T3","2018-12","13102"
"RC_1","202000200007","2018","T3","2018-12","2658"
"RC_4","202000200004","2018","T3","2018-09","1783"
"RC_4","202000200005","2018","T3","2018-09","14951"
"RC_4","202000200006","2018","T3","2018-09","4117"
"RC_4","202000200007","2018","T3","2018-09","348"
"RC_4","202000200004","2018","T3","2018-10","1783"
"RC_4","202000200005","2018","T3","2018-10","14951"
"RC_4","202000200006","2018","T3","2018-10","4117"
"RC_4","202000200007","2018","T3","2018-10","348"
"RC_4","202000200004","2018","T3","2018-11","1783"
"RC_4","202000200005","2018","T3","2018-11","14951"
"RC_4","202000200006","2018","T3","2018-11","4117"
"RC_4","202000200007","2018","T3","2018-11","348"
"RC_4","202000200004","2018","T3","2018-12","1783"
"RC_4","202000200005","2018","T3","2018-12","14951"
"RC_4","202000200006","2018","T3","2018-12","4117"
"RC_4","202000200007","2018","T3","2018-12","348"
"RC_7","202000200004","2018","T3","2018-09","3550"
"RC_7","202000200005","2018","T3","2018-09","26745"
"RC_7","202000200006","2018","T3","2018-09","12219"
"RC_7","202000200007","2018","T3","2018-09","1921"
"RC_7","202000200004","2018","T3","2018-10","3550"
"RC_7","202000200005","2018","T3","2018-10","26745"
