Date,Total electricity Generated (GWh),Total electricity imported (GWh),Total electricity consumed in Power Stations and Auxiliary Systems,Total electricity exported (GWh),Total electricity Available for Distribution in South Africa,Electricity Generated by Eskom,Electricity Imported by Eskom,Electricity Consumed in Eskom Power Stations and Auxiliary Systems,Electricity Exported by Eskom,Electricity Available for Distribution in South Africa from Eskom,Electricity distributed,Physical Volume of Electricity Production Index (Base: 2015=100),Total - All producers (Electricity available for distribution in South Africa),Physical Volume of Electricity Production Index (Base: 2015=100)_1,Electricity generated per capita (kWh)
1985-01-01 00:00:00.000,11119,86,1058,76,10073,10085,82,892,76,9201,,533,10461,554,
1985-02-01 00:00:00.000,10439,190,898,69,9662,9448,186,789,69,8776,,501,10693,554,
1985-03-01 00:00:00.000,11660,47,978,79,10650,10699,42,882,79,9780,,559,10620,56,
1985-04-01 00:00:00.000,11214,74,982,70,10236,10241,68,878,70,9361,,538,10783,567,
1985-05-01 00:00:00.000,12091,46,1001,84,11052,11086,40,892,84,10150,,58,10781,566,
1985-06-01 00:00:00.000,12334,71,998,85,11322,11055,66,866,85,10170,,592,10917,57,
1985-07-01 00:00:00.000,12975,30,1075,95,11835,11630,25,947,95,10613,,622,10749,564,
1985-08-01 00:00:00.000,12621,13,1023,95,11516,11394,7,896,95,10410,,605,10820,568,
1985-09-01 00:00:00.000,11860,5,963,96,10806,10825,1,847,96,9883,,569,10854,57,
1985-10-01 00:00:00.000,11981,0,883,93,11005,11071,0,771,93,10207,,575,10814,564,
1985-11-01 00:00:00.000,11776,0,906,91,10779,10933,0,798,91,10044,,565,10908,572,
1985-12-01 00:00:00.000,11314,0,899,75,10340,10515,0,799,75,9641,,543,10930,572,
1986-01-01 00:00:00.000,11480,5,818,99,10568,10650,1,758,99,9794,,551,10879,567,
1986-02-01 00:00:00.000,10723,48,786,87,9898,9948,43,704,87,9200,,514,10953,568,
1986-03-01 00:00:00.000,11919,52,777,106,11088,11068,46,691,106,10317,,572,11333,585,
1986-04-01 00:00:00.000,11466,59,809,105,10610,10613,52,716,105,9844,,55,10898,567,
1986-05-01 00:00:00.000,12289,56,924,115,11306,11358,51,821,115,10473,,59,11135,581,
1986-06-01 00:00:00.000,13094,36,1319,113,11698,11917,31,1195,113,10640,,628,11203,602,
1986-07-01 00:00:00.000,13293,9,1047,125,12130,11861,4,911,125,10829,,638,11061,58,
1986-08-01 00:00:00.000,13034,0,1002,127,11905,11760,0,873,127,10760,,625,11208,587,
1986-09-01 00:00:00.000,12079,0,907,127,11045,11063,0,796,127,10140,,579,11076,58,
1986-10-01 00:00:00.000,12500,0,990,128,11382,11550,0,885,128,10537,,60,11096,584,
1986-11-01 00:00:00.000,12055,0,911,126,11018,11192,0,818,126,10248,,578,11257,59,
1986-12-01 00:00:00.000,11462,0,927,117,10418,10665,0,833,117,9715,,55,10902,574,
