id,station_name,locations_id_fk
1,"Arnot",13
2,"Camden",8
3,"Duvha",7
4,"Grootvlei",2
5,"Hendrina",13
6,"Kelvin",25
7,"Kendal",7
8,"Komati",13
9,"Kriel",4
10,"Kusile",17
11,"Lethabo",21
12,"Majuba",22
13,"Matimba",11
14,"Matla",4
15,"Medupi",11
16,"Pretoria West",26
17,"Rooiwal",26
18,"Tutuka",19
19,"Acacia",5
20,"Ankerlig",1
21,"Gourikwa",14
22,"Newcastle",27
23,"Port Rex",6
24,"Avon",25
25,"Dedisa",28
26,"Tubatse",30
27,"Ingula",10
28,"Drakensberg",3
29,"Gariep",16
30,"Palmiet",9
31,"Steenbras",31
32,"Vanderkloof",18
33,"Colley Wobbles",12
34,"Ncora Dam",15
35,"Sol Plaatje",32
36,"Merino",32
37,"Kakamas",33
38,"Kruisvallei",34
39,"Koeberg",5
40,"Klipheuwel",5
41,"Sere",23
42,"First Falls",20
43,"Second Falls",20
