ProductID,Category,ManufacturerID,Product,Segment,Price
131,"Urban",1,"Abbas UR-02","Regular","USD 329.78"
134,"Urban",1,"Abbas UR-05","Regular","USD 329.78"
137,"Urban",1,"Abbas UR-08","Regular","USD 329.78"
138,"Urban",1,"Abbas UR-09","Regular","USD 329.78"
147,"Urban",1,"Abbas UR-18","Regular","USD 329.78"
154,"Urban",1,"Abbas UR-25","Regular","USD 329.78"
156,"Urban",1,"Abbas UR-27","Regular","USD 329.78"
855,"Urban",8,"Natura UR-01","Regular","USD 329.78"
856,"Urban",8,"Natura UR-02","Regular","USD 329.78"
857,"Urban",8,"Natura UR-03","Regular","USD 329.78"
858,"Urban",8,"Natura UR-04","Regular","USD 329.78"
859,"Urban",8,"Natura UR-05","Regular","USD 329.78"
861,"Urban",8,"Natura UR-07","Regular","USD 329.78"
864,"Urban",8,"Natura UR-10","Regular","USD 329.78"
868,"Urban",8,"Natura UR-14","Regular","USD 329.78"
869,"Urban",8,"Natura UR-15","Regular","USD 329.78"
870,"Urban",8,"Natura UR-16","Regular","USD 329.78"
871,"Urban",8,"Natura UR-17","Regular","USD 329.78"
880,"Urban",8,"Natura UR-26","Regular","USD 329.78"
886,"Urban",8,"Natura UR-32","Regular","USD 329.78"
887,"Urban",8,"Natura UR-33","Regular","USD 329.78"
888,"Urban",8,"Natura UR-34","Regular","USD 329.78"
889,"Urban",8,"Natura UR-35","Regular","USD 329.78"
891,"Urban",8,"Natura UR-37","Regular","USD 329.78"
1160,"Urban",10,"Pirum UR-17","Regular","USD 329.78"
1163,"Urban",10,"Pirum UR-20","Regular","USD 329.78"
1998,"Urban",4,"Currus UR-01","Regular","USD 329.78"
2000,"Urban",4,"Currus UR-03","Regular","USD 329.78"
2001,"Urban",4,"Currus UR-04","Regular","USD 329.78"
2002,"Urban",4,"Currus UR-05","Regular","USD 329.78"
2003,"Urban",4,"Currus UR-06","Regular","USD 329.78"
2006,"Urban",4,"Currus UR-09","Regular","USD 329.78"
2007,"Urban",4,"Currus UR-10","Regular","USD 329.78"
2008,"Urban",4,"Currus UR-11","Regular","USD 329.78"
2009,"Urban",4,"Currus UR-12","Regular","USD 329.78"
2010,"Urban",4,"Currus UR-13","Regular","USD 329.78"
2011,"Urban",4,"Currus UR-14","Regular","USD 329.78"
2017,"Urban",4,"Currus UR-20","Regular","USD 329.78"
2018,"Urban",4,"Currus UR-21","Regular","USD 329.78"
2020,"Urban",4,"Currus UR-23","Regular","USD 329.78"
2021,"Urban",4,"Currus UR-24","Regular","USD 329.78"
2023,"Urban",4,"Currus UR-26","Regular","USD 329.78"
2024,"Urban",4,"Currus UR-27","Regular","USD 329.78"
2025,"Urban",4,"Currus UR-28","Regular","USD 329.78"
2027,"Urban",4,"Currus UR-30","Regular","USD 329.78"
2030,"Urban",4,"Currus UR-33","Regular","USD 329.78"
2031,"Urban",4,"Currus UR-34","Regular","USD 329.78"
2033,"Urban",4,"Currus UR-36","Regular","USD 329.78"
2035,"Urban",4,"Currus UR-38","Regular","USD 329.78"
2037,"Urban",4,"Currus UR-40","Regular","USD 329.78"
2038,"Urban",4,"Currus UR-41","Regular","USD 329.78"
2040,"Urban",4,"Currus UR-43","Regular","USD 329.78"
2298,"Urban",2,"Aliqui UR-01","Regular","USD 329.78"
2300,"Urban",2,"Aliqui UR-03","Regular","USD 329.78"
2301,"Urban",2,"Aliqui UR-04","Regular","USD 329.78"
2303,"Urban",2,"Aliqui UR-06","Regular","USD 329.78"
2304,"Urban",2,"Aliqui UR-07","Regular","USD 329.78"
2306,"Urban",2,"Aliqui UR-09","Regular","USD 329.78"
2308,"Urban",2,"Aliqui UR-11","Regular","USD 329.78"
2310,"Urban",2,"Aliqui UR-13","Regular","USD 329.78"
2315,"Urban",2,"Aliqui UR-18","Regular","USD 329.78"
2316,"Urban",2,"Aliqui UR-19","Regular","USD 329.78"
2317,"Urban",2,"Aliqui UR-20","Regular","USD 329.78"
2318,"Urban",2,"Aliqui UR-21","Regular","USD 329.78"
2319,"Urban",2,"Aliqui UR-22","Regular","USD 329.78"
2322,"Urban",2,"Aliqui UR-25","Regular","USD 329.78"
2323,"Urban",2,"Aliqui UR-26","Regular","USD 329.78"
2324,"Urban",2,"Aliqui UR-27","Regular","USD 329.78"
77,"Urban",1,"Abbas UM-04","Moderation","USD 329.78"
78,"Urban",1,"Abbas UM-05","Moderation","USD 329.78"
81,"Urban",1,"Abbas UM-08","Moderation","USD 329.78"
87,"Urban",1,"Abbas UM-14","Moderation","USD 329.78"
90,"Urban",1,"Abbas UM-17","Moderation","USD 329.78"
91,"Urban",1,"Abbas UM-18","Moderation","USD 329.78"
95,"Urban",1,"Abbas UM-22","Moderation","USD 329.78"
98,"Urban",1,"Abbas UM-25","Moderation","USD 329.78"
