Province/State,Country/Region,Lat,Long,7/5/20
"","Afghanistan",33,65,864
"","Albania",41.1533,20.1683,76
"","Algeria",28.0339,1.6596,952
"","Andorra",42.5063,1.5218,52
"","Angola",-11.2027,17.8739,19
"","Antigua and Barbuda",17.0608,-61.7964,3
"","Argentina",-38.4161,-63.6167,1507
"","Armenia",40.0691,45.0382,484
"","Austria",47.5162,14.5501,706
"","Azerbaijan",40.1431,47.5769,250
"","Bahamas",25.0343,-77.3963,11
"","Bahrain",26.0275,50.55,97
"","Bangladesh",23.685,90.3563,2052
"","Barbados",13.1939,-59.5432,7
"","Belarus",53.7098,27.9534,423
"","Belgium",50.8333,4,9771
"","Benin",9.3077,2.3158,21
"","Bhutan",27.5142,90.4336,0
"","Bolivia",-16.2902,-63.5887,1434
"","Bosnia and Herzegovina",43.9159,17.6791,191
"","Brazil",-14.235,-51.9253,64867
"","Brunei",4.5353,114.7277,3
"","Bulgaria",42.7339,25.4858,246
"","Burkina Faso",12.2383,-1.5616,53
"","Cabo Verde",16.5388,-23.0418,17
"","Cambodia",11.55,104.9167,0
"","Cameroon",3.8480000000000003,11.5021,313
"","Central African Republic",6.6111,20.9394,48
"","Chad",15.4542,18.7322,74
"","Chile",-35.6751,-71.543,6308
"","Colombia",4.5709,-74.2973,4178
"","Congo (Brazzaville)",-4.0383,21.7587,44
"","Congo (Kinshasa)",-4.0383,21.7587,182
"","Costa Rica",9.7489,-83.7534,19
"","Cote d'Ivoire",7.54,-5.5471,74
"","Croatia",45.1,15.2,113
"","Diamond Princess",0,0,13
"","Cuba",22,-80,86
"","Cyprus",35.1264,33.4299,19
"","Czechia",49.8175,15.472999999999999,348
"","Denmark",56.2639,9.5018,606
"","Djibouti",11.8251,42.5903,55
"","Dominican Republic",18.7357,-70.1627,794
"","Ecuador",-1.8312,-78.1834,4781
"","Egypt",26,30,3343
"","El Salvador",13.7942,-88.8965,217
"","Equatorial Guinea",1.5,10,51
"","Eritrea",15.1794,39.7823,0
"","Estonia",58.5953,25.0136,69
"","Eswatini",-26.5225,31.4659,13
"","Ethiopia",9.145,40.4897,103
"","Fiji",-17.7134,178.065,0
"","Finland",64,26,329
"","France",46.2276,2.2137,29813
"","Gabon",-0.8037,11.6094,44
"","Gambia",13.4432,-15.3101,2
"","Georgia",42.3154,43.3569,15
"","Germany",51,9,9023
"","Ghana",7.9465,-1.0232,122
"","Greece",39.0742,21.8243,192
"","Guatemala",15.7835,-90.2308,947
"","Guinea",9.9456,-9.6966,34
"","Guyana",5,-58.75,15
"","Haiti",18.9712,-72.2852,113
"","Holy See",41.9029,12.4534,0
"","Honduras",15.2,-86.2419,639
"","Hungary",47.1625,19.5033,589
"","Iceland",64.9631,-19.0208,10
"","India",21,78,19693
"","Indonesia",-0.7893,113.9213,3171
"","Iran",32,53,11571
"","Iraq",33,44,2473
"","Ireland",53.1424,-7.6921,1741
"","Israel",31,35,331
"","Italy",43,12,34861
"","Jamaica",18.1096,-77.2975,10
"","Japan",36,138,977
