Province/State,Country/Region,Lat,Long,7/5/20
"","Afghanistan",33,65,19366
"","Albania",41.1533,20.1683,1657
"","Algeria",28.0339,1.6596,11492
"","Andorra",42.5063,1.5218,800
"","Angola",-11.2027,17.8739,108
"","Antigua and Barbuda",17.0608,-61.7964,23
"","Argentina",-38.4161,-63.6167,27597
"","Armenia",40.0691,45.0382,16140
"","Austria",47.5162,14.5501,16615
"","Azerbaijan",40.1431,47.5769,11742
"","Bahamas",25.0343,-77.3963,89
"","Bahrain",26.0275,50.55,24649
"","Bangladesh",23.685,90.3563,72625
"","Barbados",13.1939,-59.5432,90
"","Belarus",53.7098,27.9534,50871
"","Belgium",50.8333,4,17091
"","Belize",13.1939,-59.5432,19
"","Benin",9.3077,2.3158,333
"","Bhutan",27.5142,90.4336,53
"","Bolivia",-16.2902,-63.5887,11667
"","Bosnia and Herzegovina",43.9159,17.6791,2550
"","Brazil",-14.235,-51.9253,1029045
"","Brunei",4.5353,114.7277,138
"","Bulgaria",42.7339,25.4858,2915
"","Burkina Faso",12.2383,-1.5616,854
"","Cabo Verde",16.5388,-23.0418,655
"","Cambodia",11.55,104.9167,131
"","Cameroon",3.8480000000000003,11.5021,10100
"","Canada",56.1304,-106.3468,70772
"","Central African Republic",6.6111,20.9394,914
"","Chad",15.4542,18.7322,787
"","Chile",-35.6751,-71.543,261039
"","Colombia",4.5709,-74.2973,46643
"","Congo (Brazzaville)",-4.0383,21.7587,501
"","Congo (Kinshasa)",-4.0383,21.7587,3184
"","Costa Rica",9.7489,-83.7534,1745
"","Cote d'Ivoire",7.54,-5.5471,5067
"","Croatia",45.1,15.2,2196
"","Diamond Princess",0,0,651
"","Cuba",22,-80,2229
"","Cyprus",35.1264,33.4299,839
"","Czechia",49.8175,15.472999999999999,7864
"","Denmark",56.2639,9.5018,11817
"","Djibouti",11.8251,42.5903,4593
"","Dominica",15.415,-61.371,18
"","Dominican Republic",18.7357,-70.1627,18943
"","Ecuador",-1.8312,-78.1834,28722
"","Egypt",26,30,20726
"","El Salvador",13.7942,-88.8965,4573
"","Equatorial Guinea",1.5,10,842
"","Eritrea",15.1794,39.7823,56
"","Estonia",58.5953,25.0136,1874
"","Eswatini",-26.5225,31.4659,547
"","Ethiopia",9.145,40.4897,2430
"","Fiji",-17.7134,178.065,18
"","Finland",64,26,6700
"","France",46.2276,2.2137,72092
"","Gabon",-0.8037,11.6094,2555
"","Gambia",13.4432,-15.3101,27
"","Georgia",42.3154,43.3569,828
"","Germany",51,9,181719
"","Ghana",7.9465,-1.0232,14870
"","Grenada",12.1165,-61.678999999999995,23
"","Greece",39.0742,21.8243,1374
"","Guatemala",15.7835,-90.2308,3382
"","Guinea",9.9456,-9.6966,4522
"","Guinea-Bissau",11.8037,-15.1804,676
"","Guyana",5,-58.75,120
"","Haiti",18.9712,-72.2852,1549
"","Holy See",41.9029,12.4534,12
"","Honduras",15.2,-86.2419,2490
"","Hungary",47.1625,19.5033,2811
"","Iceland",64.9631,-19.0208,1833
"","India",21,78,424433
"","Indonesia",-0.7893,113.9213,29105
"","Iran",32,53,201330
"","Iraq",33,44,33017
"","Ireland",53.1424,-7.6921,23364
"","Israel",31,35,17950
"","Italy",43,12,192108
"","Jamaica",18.1096,-77.2975,584
"","Japan",36,138,16870
"","Jordan",31.24,36.51,942
"","Kazakhstan",48.0196,66.9237,15860
"","Kenya",-0.0236,37.9062,2287
"","Korea, South",36,128,11848
"","Kuwait",29.5,47.75,40463
"","Kyrgyzstan",41.2044,74.7661,2802
"","Latvia",56.8796,24.6032,1000
"","Lebanon",33.8547,35.8623,1311
"","Liberia",6.4281,-9.4295,377
"","Libya",26.3351,17.228331,261
"","Liechtenstein",47.14,9.55,81
"","Lithuania",55.1694,23.8813,1545
"","Luxembourg",49.8153,6.1296,4016
"","Madagascar",-18.7669,46.8691,1108
"","Malaysia",2.5,112.5,8465
"","Maldives",3.2028,73.2207,2049
"","Mali",17.570692,-3.996166000000001,1527
"","Malta",35.9375,14.3754,652
"","Mauritania",21.0079,10.9408,1844
"","Mauritius",-20.2,57.5,330
"","Mexico",23.6345,-102.5528,199914
"","Moldova",47.4116,28.3699,10718
"","Monaco",43.7333,7.4167,95
"","Mongolia",46.8625,103.8467,188
"","Montenegro",42.5,19.3,315
"","Morocco",31.7917,-7.0926,9725
"","Mozambique",-18.6657,35.5296,256
"","Namibia",-22.9576,18.4904,25
"","Nepal",28.1667,84.25,6547
"","Netherlands",52.1326,5.2913,0
"","New Zealand",-40.9006,174.886,1490
"","Nicaragua",12.8654,-85.2072,1238
"","Niger",17.6078,8.0817,965
"","Nigeria",9.082,8.6753,11665
"","North Macedonia",41.6086,21.7453,3027
"","Norway",60.472,8.4689,8138
"","Oman",21,57,27917
"","Pakistan",30.3753,69.3451,131649
"","Panama",8.538,-80.7821,17986
"","Papua New Guinea",-6.315,143.9555,8
"","Paraguay",-23.4425,-58.4438,1166
"","Peru",-9.19,-75.0152,193957
"","Philippines",13,122,11942
"","Poland",51.9194,19.1451,23746
"","Portugal",39.3999,-8.2245,29017
"","Qatar",25.3548,51.1839,92284
"","Romania",45.9432,24.9668,20026
"","Russia",60,90,449995
"","Rwanda",-1.9403,29.8739,567
"","Saint Kitts and Nevis",17.357822,-62.782998,15
"","Saint Lucia",13.9094,-60.9789,19
"","Saint Vincent and the Grenadines",12.9843,-61.2872,29
"","San Marino",43.9424,12.4578,656
"","Saudi Arabia",24,45,145236
"","Senegal",14.4974,-14.4524,4870
"","Serbia",44.0165,21.0059,13267
"","Seychelles",-4.6796,55.492,11
"","Singapore",1.2833,103.8333,40441
"","Slovakia",48.669,19.699,1466
"","Slovenia",46.1512,14.9955,1384
"","Somalia",5.1521,46.1996,1014
"","South Africa",-30.5595,22.9375,93315
"","Spain",40,-4,150376
"","Sri Lanka",7,81,1903
"","Sudan",12.8628,30.2176,4673
"","Suriname",3.9193,-56.0278,292
"","Sweden",63,16,0
"","Switzerland",46.8182,8.2275,29300
"","Syria",34.8021,38.9968,126
"","Taiwan*",23.7,121,438
"","Tanzania",-6.369,34.8888,183
"","Thailand",15,101,3071
"","Timor-Leste",-8.8742,125.7275,24
"","Togo",8.6195,0.8248,447
"","Trinidad and Tobago",10.6918,-61.2225,115
"","Tunisia",34,9,1048
"","Turkey",38.9637,35.2433,180680
"","Uganda",1,32,891
"","Ukraine",48.3794,31.1656,22131
"","United Arab Emirates",24,54,40297
"","United Kingdom",55.3781,-3.4360000000000004,0
"","Uruguay",-32.5228,-55.7658,849
"","US",37.0902,-95.7129,906763
"","Uzbekistan",41.3775,64.5853,6584
"","Venezuela",6.4238,-66.5897,2100
"","Vietnam",16,108,340
"","Zambia",-15.4167,28.2833,1348
"","Zimbabwe",-20,30,181
"","West Bank and Gaza",31.9522,35.2332,491
"","Laos",19.856270000000002,102.495496,19
"","Kosovo",42.602636,20.902977,1874
"","Burma",21.9162,95.956,241
"","MS Zaandam",0,0,0
"","Botswana",-22.3285,24.6849,29
"","Burundi",-3.3731,29.9189,118
"","Sierra Leone",8.4605550000000012,-11.779889,1062
"","Malawi",-13.254307999999998,34.301525,317
"","South Sudan",6.8770000000000024,31.307,333
"","Western Sahara",24.2155,-12.8858,8
"","Sao Tome and Principe",0.18636,6.613081,268
"","Yemen",15.552726999999999,48.516388,552
"","Comoros",-11.6455,43.3333,266
"","Tajikistan",38.861034000000004,71.276093,4858
"","Lesotho",-29.609988,28.233608,11
"Australian Capital Territory","Australia",-35.4735,149.0124,105
"New South Wales","Australia",-33.8688,151.2093,2988
"Northern Territory","Australia",-12.4634,130.8456,29
"Queensland","Australia",-28.0167,153.4,1055
"South Australia","Australia",-34.9285,138.6007,436
"Tasmania","Australia",-41.4545,145.9707,215
"Victoria","Australia",-37.8136,144.9631,1992
"Western Australia","Australia",-31.9505,115.8605,600
"Anhui","China",31.8257,117.2264,985
"Beijing","China",40.1824,116.4142,596
"Chongqing","China",30.0572,107.874,574
"Fujian","China",26.0789,117.9874,360
"Gansu","China",37.8099,101.0583,154
"Guangdong","China",23.3417,113.4244,1631
"Guangxi","China",23.8298,108.7881,252
"Guizhou","China",26.8154,106.8748,145
"Hainan","China",19.1959,109.7453,165
"Hebei","China",39.549,116.1306,337
"Heilongjiang","China",47.861999999999995,127.7615,934
"Henan","China",33.882,113.61399999999999,1254
"Hong Kong","China",22.3,114.2,1156
"Hubei","China",30.9756,112.2707,63623
"Hunan","China",27.6104,111.7088,1015
"Inner Mongolia","China",44.0935,113.9448,237
"Jiangsu","China",32.9711,119.455,654
"Jiangxi","China",27.614,115.7221,931
"Jilin","China",43.6661,126.1923,153
"Liaoning","China",41.2956,122.6085,150
"Macau","China",22.1667,113.55,45
"Ningxia","China",37.2692,106.1655,75
"Qinghai","China",35.7452,95.9956,18
"Shaanxi","China",35.1917,108.8701,311
"Shandong","China",36.3427,118.1498,785
"Shanghai","China",31.201999999999998,121.4491,681
"Shanxi","China",37.5777,112.2922,198
"Sichuan","China",30.6171,102.7103,581
"Tianjin","China",39.3054,117.323,194
"Tibet","China",31.6927,88.0924,1
"Xinjiang","China",41.1129,85.2401,73
"Yunnan","China",24.974,101.48700000000001,183
"Zhejiang","China",29.1832,120.0934,1267
"Faroe Islands","Denmark",61.8926,-6.9118,187
"Greenland","Denmark",71.7069,-42.6043,13
"French Guiana","France",3.9339,-53.1258,1866
"French Polynesia","France",-17.6797,149.4068,60
"Guadeloupe","France",16.25,-61.5833,157
"Martinique","France",14.6415,-61.0242,98
"Mayotte","France",-12.8275,45.1662,2375
"New Caledonia","France",-20.9043,165.618,21
"Reunion","France",-21.1351,55.2471,472
"Saint Barthelemy","France",17.9,-62.8333,6
"St Martin","France",18.0708,-63.0501,37
"Aruba","Netherlands",12.5186,-70.0358,98
"Curacao","Netherlands",12.1696,-68.99,19
"Sint Maarten","Netherlands",18.0425,-63.0548,63
"Bermuda","United Kingdom",32.3078,-64.7505,137
"Cayman Islands","United Kingdom",19.3133,-81.2546,194
"Channel Islands","United Kingdom",49.3723,-2.3644,512
"Gibraltar","United Kingdom",36.1408,-5.3536,176
"Isle of Man","United Kingdom",54.2361,-4.5481,312
"Montserrat","United Kingdom",16.7425,-62.1874,10
"Anguilla","United Kingdom",18.2206,-63.0686,3
"British Virgin Islands","United Kingdom",18.4207,-64.64,7
"Turks and Caicos Islands","United Kingdom",21.69400000000001,-71.7979,11
"Bonaire, Sint Eustatius and Saba","Netherlands",12.1784,-68.2385,7
"Falkland Islands (Malvinas)","United Kingdom",-51.7963,-59.5236,13
"Saint Pierre and Miquelon","France",46.8852,-56.3159,1
