Province/State,Country/Region,Lat,Long,7/5/20
"","Afghanistan",33,65,32951
"","Albania",41.1533,20.1683,2893
"","Algeria",28.0339,1.6596,15941
"","Andorra",42.5063,1.5218,855
"","Angola",-11.2027,17.8739,346
"","Antigua and Barbuda",17.0608,-61.7964,68
"","Argentina",-38.4161,-63.6167,77815
"","Armenia",40.0691,45.0382,28606
"","Austria",47.5162,14.5501,18280
"","Azerbaijan",40.1431,47.5769,20324
"","Bahamas",25.0343,-77.3963,104
"","Bahrain",26.0275,50.55,29367
"","Bangladesh",23.685,90.3563,162417
"","Barbados",13.1939,-59.5432,98
"","Belarus",53.7098,27.9534,63554
"","Belgium",50.8333,4,62016
"","Benin",9.3077,2.3158,1199
"","Bhutan",27.5142,90.4336,80
"","Bolivia",-16.2902,-63.5887,39297
"","Bosnia and Herzegovina",43.9159,17.6791,4962
"","Brazil",-14.235,-51.9253,1603055
"","Brunei",4.5353,114.7277,141
"","Bulgaria",42.7339,25.4858,5740
"","Burkina Faso",12.2383,-1.5616,987
"","Cabo Verde",16.5388,-23.0418,1451
"","Cambodia",11.55,104.9167,141
"","Cameroon",3.8480000000000003,11.5021,12592
"","Central African Republic",6.6111,20.9394,3969
"","Chad",15.4542,18.7322,872
"","Chile",-35.6751,-71.543,295532
"","Colombia",4.5709,-74.2973,113685
"","Congo (Brazzaville)",-4.0383,21.7587,1557
"","Congo (Kinshasa)",-4.0383,21.7587,7411
"","Costa Rica",9.7489,-83.7534,4996
"","Cote d'Ivoire",7.54,-5.5471,10772
"","Croatia",45.1,15.2,3151
"","Diamond Princess",0,0,712
"","Cuba",22,-80,2372
"","Cyprus",35.1264,33.4299,1003
"","Czechia",49.8175,15.472999999999999,12515
"","Denmark",56.2639,9.5018,12832
"","Djibouti",11.8251,42.5903,4792
"","Dominican Republic",18.7357,-70.1627,37425
"","Ecuador",-1.8312,-78.1834,61958
"","Egypt",26,30,75253
"","El Salvador",13.7942,-88.8965,7777
"","Equatorial Guinea",1.5,10,3071
"","Eritrea",15.1794,39.7823,215
"","Estonia",58.5953,25.0136,1993
"","Eswatini",-26.5225,31.4659,988
"","Ethiopia",9.145,40.4897,5846
"","Fiji",-17.7134,178.065,19
"","Finland",64,26,7253
"","France",46.2276,2.2137,195535
"","Gabon",-0.8037,11.6094,5620
"","Gambia",13.4432,-15.3101,57
"","Georgia",42.3154,43.3569,951
