ProductKey,OrderDateKey,DueDateKey,ShipDateKey,CustomerKey,SalesOrderNumber,valor_vendas
384,20200206,20200218,20200213,19443,SO52364,1120.49
484,20200527,20200608,20200603,17360,SO58727,7.95
529,20200403,20200415,20200410,27658,SO55567,3.99
540,20210110,20210122,20210117,13708,SO74541,32.6
573,20200616,20200628,20200623,24446,SO60302,2384.07
536,20201114,20201126,20201121,23464,SO70771,29.99
485,20201204,20201216,20201211,17585,SO72315,21.98
478,20200605,20200617,20200612,15902,SO59545,9.99
355,20200120,20200201,20200127,11244,SO51544,2319.99
477,20200919,20201001,20200926,22869,SO66674,4.99
537,20200517,20200529,20200524,12970,SO58170,35.0
605,20201013,20201025,20201020,23211,SO68333,539.99
485,20200610,20200622,20200617,13585,SO59836,21.98
476,20200216,20200228,20200223,22064,SO52848,69.99
225,20201213,20201225,20201220,22817,SO72968,8.99
541,20200601,20200613,20200608,14839,SO59238,28.99
363,20200723,20200804,20200730,13114,SO62676,2294.99
480,20201117,20201129,20201124,19944,SO70955,2.29
586,20200226,20200310,20200305,24344,SO53390,742.35
477,20200502,20200514,20200509,21582,SO57366,4.99
478,20200708,20200720,20200715,15054,SO61735,9.99
541,20200602,20200614,20200609,27638,SO59293,28.99
479,20200208,20200220,20200215,22328,SO52459,8.99
480,20201005,20201017,20201012,26494,SO67786,2.29
530,20200714,20200726,20200721,23969,SO62122,4.99
480,20200819,20200831,20200826,11241,SO64592,2.29
476,20200802,20200814,20200809,29021,SO63448,69.99
529,20200313,20200325,20200320,20580,SO54348,3.99
467,20201227,20210108,20210103,22236,SO74082,24.49
535,20201219,20201231,20201226,17091,SO73455,24.99
606,20191229,20200110,20200105,21440,SO51199,539.99
491,20201128,20201210,20201205,11167,SO71758,53.99
478,20200910,20200922,20200917,15521,SO66132,9.99
480,20201209,20201221,20201216,19485,SO72682,2.29
480,20200313,20200325,20200320,20265,SO54322,2.29
214,20200312,20200324,20200319,23532,SO54249,34.99
477,20201018,20201030,20201025,21778,SO68645,4.99
541,20201130,20201212,20201207,12326,SO72034,28.99
225,20200719,20200731,20200726,28992,SO62421,8.99
369,20190409,20190421,20190416,16207,SO47792,2443.35
477,20200617,20200629,20200624,13602,SO60322,4.99
480,20200608,20200620,20200615,15310,SO59745,2.29
529,20200905,20200917,20200912,14016,SO65749,3.99
362,20190913,20190925,20190920,12499,SO49695,2049.0982
582,20200724,20200805,20200731,20249,SO62738,1700.99
337,20191218,20191230,20191225,27471,SO50992,782.99
361,20200613,20200625,20200620,13910,SO60093,2294.99
353,20201216,20201228,20201223,13511,SO73189,2319.99
363,20200624,20200706,20200701,14713,SO60765,2294.99
539,20200829,20200910,20200905,15044,SO65375,24.99
530,20200403,20200415,20200410,11566,SO55587,4.99
386,20200819,20200831,20200826,20657,SO64606,1120.49
485,20201225,20210106,20210101,15197,SO73906,21.98
480,20201211,20201223,20201218,22146,SO72805,2.29
214,20210122,20210203,20210129,14341,SO74925,34.99
587,20201001,20201013,20201008,22307,SO67500,769.49
231,20200709,20200721,20200716,14498,SO61838,49.99
480,20201012,20201024,20201019,11287,SO68211,2.29
588,20200714,20200726,20200721,14590,SO62128,769.49
480,20200321,20200402,20200328,25655,SO54818,2.29
479,20201226,20210107,20210102,25585,SO74024,8.99
478,20200601,20200613,20200608,12016,SO59248,9.99
217,20201204,20201216,20201211,22933,SO72329,34.99
562,20201025,20201106,20201101,12296,SO69156,2384.07
323,20191018,20191030,20191025,19447,SO50097,782.99
217,20201031,20201112,20201107,22505,SO69792,34.99
225,20200513,20200525,20200520,26372,SO57955,8.99
584,20201224,20210105,20201231,27469,SO73866,539.99
217,20200926,20201008,20201003,23516,SO67136,34.99
529,20201021,20201102,20201028,21980,SO68866,3.99
477,20200208,20200220,20200215,17368,SO52431,4.99
375,20191216,20191228,20191223,17986,SO50960,2181.5625
606,20200702,20200714,20200709,27500,SO61426,539.99
538,20200130,20200211,20200206,11641,SO51983,21.49
484,20200607,20200619,20200614,28858,SO59661,7.95
537,20200319,20200331,20200326,12137,SO54696,35.0
222,20200212,20200224,20200219,24930,SO52627,34.99
356,20190815,20190827,20190822,14219,SO49325,2071.4196
471,20201105,20201117,20201112,14022,SO70130,63.5
225,20200715,20200727,20200722,26963,SO62216,8.99
528,20200929,20201011,20201006,13086,SO67386,4.99
479,20201206,20201218,20201213,24321,SO72500,8.99
484,20200402,20200414,20200409,24737,SO55520,7.95
217,20201217,20201229,20201224,24328,SO73319,34.99
473,20200917,20200929,20200924,15053,SO66532,63.5
362,20191102,20191114,20191109,12813,SO50389,2049.0982
529,20201218,20201230,20201225,14684,SO73340,3.99
225,20200628,20200710,20200705,14931,SO61037,8.99
528,20200708,20200720,20200715,15165,SO61755,4.99
580,20200911,20200923,20200918,23656,SO66191,1700.99
479,20200716,20200728,20200723,14220,SO62283,8.99
538,20200918,20200930,20200925,26959,SO66636,21.49
478,20200729,20200810,20200805,14184,SO63039,9.99
528,20200919,20201001,20200926,16329,SO66652,4.99
477,20210112,20210124,20210119,13140,SO74591,4.99
217,20200617,20200629,20200624,15362,SO60360,34.99
540,20201030,20201111,20201106,16665,SO69668,32.6
214,20200902,20200914,20200909,15413,SO65576,34.99
479,20201222,20210103,20201229,23667,SO73697,8.99
477,20201107,20201119,20201114,17528,SO70274,4.99
