EntitySetName,SchemaName
"accountleadscollection","AccountLeads"
"accounts","Account"
"activitymimeattachments","ActivityMimeAttachment"
"activityparties","ActivityParty"
"activitypointers","ActivityPointer"
"appointments","Appointment"
"bookableresourcebookingheaders","BookableResourceBookingHeader"
"annotations","Annotation"
"bulkoperations","BulkOperation"
"bookableresourcecategories","BookableResourceCategory"
"bookableresourcebookings","BookableResourceBooking"
"bookableresourcecategoryassns","BookableResourceCategoryAssn"
"bookableresources","BookableResource"
"attachments","Attachment"
"bulkoperationlogs","BulkOperationLog"
"businessunitnewsarticles","BusinessUnitNewsArticle"
"bookingstatuses","BookingStatus"
"bookableresourcecharacteristics","BookableResourceCharacteristic"
"bookableresourcegroups","BookableResourceGroup"
"businessunits","BusinessUnit"
"campaignactivities","CampaignActivity"
"campaignactivityitems","CampaignActivityItem"
"campaignitems","CampaignItem"
"campaignresponses","CampaignResponse"
"campaigns","Campaign"
"characteristics","Characteristic"
"competitoraddresses","CompetitorAddress"
"competitorproducts","CompetitorProduct"
"competitors","Competitor"
"competitorsalesliteratures","CompetitorSalesLiterature"
"connectionroles","ConnectionRole"
"connections","Connection"
"contactinvoicescollection","ContactInvoices"
"contactleadscollection","ContactLeads"
"contactorderscollection","ContactOrders"
"contactquotescollection","ContactQuotes"
"contacts","Contact"
"contractdetails","ContractDetail"
"contracts","Contract"
"customeraddresses","CustomerAddress"
"discounts","Discount"
"discounttypes","DiscountType"
"dynamicproperties","DynamicProperty"
"dynamicpropertyassociations","DynamicPropertyAssociation"
"dynamicpropertyinstances","DynamicPropertyInstance"
"dynamicpropertyoptionsetitems","DynamicPropertyOptionSetItem"
"emails","Email"
"entitlementcontactscollection","EntitlementContacts"
"entitlementproductscollection","EntitlementProducts"
"entitlements","Entitlement"
"equipments","Equipment"
"faxes","Fax"
"feedback","Feedback"
"goals","Goal"
"incidentknowledgebaserecords","IncidentKnowledgeBaseRecord"
"incidentresolutions","IncidentResolution"
"incidents","Incident"
"invoicedetails","InvoiceDetail"
"invoices","Invoice"
"kbarticlecomments","KbArticleComment"
"kbarticles","KbArticle"
"kbarticletemplates","KbArticleTemplate"
"knowledgearticleincidents","KnowledgeArticleIncident"
"knowledgearticles","KnowledgeArticle"
"knowledgebaserecords","KnowledgeBaseRecord"
"leadaddresses","LeadAddress"
"leadcompetitorscollection","LeadCompetitors"
"leadproducts","LeadProduct"
"leads","Lead"
"letters","Letter"
"listmembers","ListMember"
"lists","List"
"metrics","Metric"
"opportunities","Opportunity"
"opportunitycloses","OpportunityClose"
"opportunitycompetitorscollection","OpportunityCompetitors"
"opportunityproducts","OpportunityProduct"
"ordercloses","OrderClose"
"organizations","Organization"
"phonecalls","PhoneCall"
"positions","Position"
"pricelevels","PriceLevel"
"productassociations","ProductAssociation"
"productpricelevels","ProductPriceLevel"
"products","Product"
"productsalesliteratures","ProductSalesLiterature"
"productsubstitutes","ProductSubstitute"
"queueitems","QueueItem"
"queuememberships","QueueMembership"
"queues","Queue"
"quotecloses","QuoteClose"
"quotedetails","QuoteDetail"
"quotes","Quote"
"ratingmodels","RatingModel"
"ratingvalues","RatingValue"
"recurringappointmentmasters","RecurringAppointmentMaster"
"resourcegroups","ResourceGroup"
"resources","Resource"
"resourcespecs","ResourceSpec"
"salesliteratureitems","SalesLiteratureItem"
"salesliteratures","SalesLiterature"
"salesorderdetails","SalesOrderDetail"
"salesorders","SalesOrder"
"serviceappointments","ServiceAppointment"
"servicecontractcontactscollection","ServiceContractContacts"
"services","Service"
"sites","Site"
"slaitems","SLAItem"
"slakpiinstances","SLAKPIInstance"
"slas","SLA"
"socialactivities","SocialActivity"
"socialprofiles","SocialProfile"
"systemusers","SystemUser"
"tasks","Task"
"teammemberships","TeamMembership"
"teams","Team"
"territories","Territory"
"transactioncurrencies","TransactionCurrency"
"uoms","UoM"
"uomschedules","UoMSchedule"
