HospitalID,HospitalType,Zip,State,City,Street,ContactNumber,Name
"H001","Small","02128","New York","New York","49 Robinwood Ave","8976542345","Arbour Hospital"
"H002","Medium","02115","Massachusetts","Boston","75 Francis St","6789876543","Brigham Hospital"
"H003","Large","02119","New York","New York","1 Boston Medical Center","7865435627","Boston Medical Center"
"H004","Small","02111","California","San Fransisco","800 Washington St","8764567999","Tufts Medical Center"
"H005","Medium","02149","Massachusetts","Boston","55 Fruit St","5678987098","Massachusetts General Hospital"
"H006","Large","02123","Florida","Orlando","2100 Dorchester Ave","9897654536","Carney Hospital"
"H007","Small","02135","New York","New York","185 Pilgrim Road","5643254367","Beth Israel Deaconess Medical Center"
"H008","Medium","02127","California","San Fransisco","409 W Broadway","7789871212","South Boston Community Health Center"
"H009","Large","02120","Massachusetts","Boston","125 Parker Hill Ave","6767898765","New England Baptist Hospital"
"H010","Small","02131","Florida","Orlando","170 Morton St","6758987899","Lemuel Shattuck Hospital"
