Segment Id,Segment Name,Segment Query,Segment Query Name
45b2f46d-ce4f-e911-a82a-000d3a4e6483,Fly Segment,,Fly_Segment_67b304eb
a93694e4-ac4f-e911-a833-000d3a4e6cff,DynSegmentApi2,"PROFILE(contact, contact_1).FILTER(contact_1.firstname STARTSWITH 'C')",DynSegmentApi2
084934d5-ad4f-e911-a82a-000d3a4e6483,LookUp  IS Segment,"PROFILE(contact, contact_1).FILTER(contact_1.new_lookupcurrency == '949544f6-b74c-e911-a838-000d3a4e6d2b' || contact_1.new_lookupcurrency == '21e3afb4-ad4f-e911-a82a-000d3a4e6483')",LookUp__IS_Currency_Segment_4127e9b0
f834aacc-a451-e911-a834-000d3a4e6cff,Contacts today,"PROFILE(contact, contact_1).FILTER(DATEDIFF(DAY, DATETIMEUTCNOW(), contact_1.createdon) == 0)",Contacts_today_fc5df881
261291cf-6950-e911-a82a-000d3a4e6483,gdpr_simple,"PROFILE(contact, contact_1).FILTER(contact_1.msgdpr_gdprconsent == 587030001)",gdpr_simple
9e24f073-ce4f-e911-a82a-000d3a4e6483,Fly Segment,"PROFILE(contact, contact_1).FILTER(contact_1.firstname == 'Deepthi' || contact_1.firstname == 'Shruthi')",Fly_Segment_9cd1a2c2
2de55e86-7550-e911-a82a-000d3a4e6483,gdpr_custom,"PROFILE(contact, contact_1).FILTER(contact_1.msgdpr_gdprconsent == 60000000)",gdpr_custom
60bdbbd0-b24f-e911-a82a-000d3a4e6483,Option Segment,"PROFILE(contact, contact_1).FILTER(contact_1.familystatuscode == 1 || contact_1.familystatuscode == 2)",Option_Segment_689ad588
55a2e6bc-a251-e911-a834-000d3a4e6cff,Segment_Created_Today,"PROFILE(contact, contact_1).FILTER(contact_1.createdon >= DATE(2019, 3, 28, 0, 0) &&
	contact_1.createdon <= DATE(2019, 3, 28, 0, 0))",Segment_Created_Today
bf0e53cb-bb4f-e911-a82a-000d3a4e6483,MultiOption Does Not Contains Segment,"PROFILE(contact, contact_1).FILTER(NOT(contact_1.new_multioptionset MULTICHOICECONTAINS '100000000') &&
	NOT(contact_1.new_multioptionset MULTICHOICECONTAINS '100000003') &&
	(NOT(contact_1.new_multioptionset MULTICHOICECONTAINS '100000001') || NOT(contact_1.new_multioptionset MULTICHOICECONTAINS '100000002')) &&
	contact_1.firstname STARTSWITH 'S')",MultiOption_Does_Not_Contains_Segment_a1551c1c
9dab8357-b94f-e911-a82a-000d3a4e6483,LookUp Is Not Segment,"PROFILE(contact, contact_1).FILTER(contact_1.new_lookupcurrency != '949544f6-b74c-e911-a838-000d3a4e6d2b' &&
	contact_1.new_lookupcurrency != '21e3afb4-ad4f-e911-a82a-000d3a4e6483' &&
	contact_1.firstname STARTSWITH 'S')",LookUp_Is_Not_Segment_f3808657
da360ac0-6d50-e911-a82a-000d3a4e6483,Duplicate Segment,"PROFILE(contact, contact_1).FILTER(contact_1.firstname STARTSWITH 'D')",Duplicate_Segment_7e83bbc3
12e5a8c2-ac4f-e911-a833-000d3a4e6cff,test,"PROFILE(contact, contact_1).FILTER(contact_1.firstname STARTSWITH 'S')",test
9847ee69-ba4f-e911-a82a-000d3a4e6483,Full Name Segment,"PROFILE(contact, contact_1).FILTER(contact_1.fullname == 'Deepthi V')",Full_Name_Segment_3bbf3417
13954b75-bb4f-e911-a82a-000d3a4e6483,MultiOption Contains Segment,"PROFILE(contact, contact_1).FILTER(contact_1.new_multioptionset MULTICHOICECONTAINS '100000000' || contact_1.new_multioptionset MULTICHOICECONTAINS '100000001' || contact_1.new_multioptionset MULTICHOICECONTAINS '100000002' || contact_1.new_multioptionset MULTICHOICECONTAINS '100000003')",MultiOption_Contains_Segment_05b19c11
