CRP,ID,Year,Title,Stage,Type,Contribution,Leader,NextUsers,Geographical scope,Country,Region,link,Index
A4NH,1331,2019,Underutilised food species database,Stage 3: available/ ready for uptake (AV),Research and Communication Methodologies and Tools,,BIOVERSITY,Government,Multi-national,KE,,https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=1331&phaseID=104,983
Livestock,241,2018,"CLEANED-R (Comprehensive Livestock Environmental Assessment for Improved Nutrition, a Secured Environment and Sustainable Development along Livestock and Fish Value Chains) tool",Stage 3: available/ ready for uptake (AV),Production systems and Management practices,Lead Contribution,ILRI,,Multi-national,TZ,,https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=241&phaseID=60,658
A4NH,379,2018,Methdology for stakeholder-led identification of platforms for healthier diets and the role of platforms as mechanisms to support the scaling and anchoring of food system transformations for healthier diets,Stage 2: successful piloting (PIL - end of piloting phase),Research and Communication Methodologies and Tools,,OTHER,,Multi-national,NG,,https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=379&phaseID=59,854
Rice,657,2018,Hoja blanca disease screening system,Stage 1: discovery/proof of concept (PC - end of research phase),Research and Communication Methodologies and Tools,Lead Contribution,CIAT,,Multi-national,VE,,https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=657&phaseID=189,71
Rice,870,2019,Rice lines with 25 ppm Zinc considered for release by Colombia,Stage 3: available/ ready for uptake (AV),Genetic (varieties and breeds),Partial Contribution,OTHER,,National,CO,,https://marlo.cgiar.org/summaries/Rice/projectInnovationSummary.do?innovationID=870&phaseID=192,765
A4NH,365,2018,"Using data from the Living Standards Measurement Study (LSMS), (non-food consumption data) to assess dietary intake and monitor dietary changes",Stage 2: successful piloting (PIL - end of piloting phase),Research and Communication Methodologies and Tools,Lead Contribution,OTHER,,Multi-national,VN,,https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=365&phaseID=59,651
Livestock,690,2018,Molecular markers for barley breeding,Stage 2: successful piloting (PIL - end of piloting phase),Research and Communication Methodologies and Tools,Partial Contribution,ICARDA,,Global,,,https://marlo.cgiar.org/summaries/Livestock/projectInnovationSummary.do?innovationID=690&phaseID=60,389
RTB,915,2018,Impact network analysis (INA) to understand and describe RTB seed systems,Stage 4: uptake by next user (USE),Social Science,,UF,,Multi-national,VN,,https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=915&phaseID=259,1143
A4NH,731,2018,[updated from 2017] Aflasafe product for Nigeria,Stage 4: uptake by next user (USE),Production systems and Management practices,Lead Contribution,OTHER,NARES/NARS,National,NG,,https://marlo.cgiar.org/summaries/A4NH/projectInnovationSummary.do?innovationID=731&phaseID=59,319
RTB,915,2018,Impact network analysis (INA) to understand and describe RTB seed systems,Stage 4: uptake by next user (USE),Social Science,,UF,,Multi-national,UG,,https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=915&phaseID=259,1140
CCAFS,289,2018,Local Technical Agroclimatic Committees (LTACs) approach generating climate forecasts and crop response,Stage 4: uptake by next user (USE),Social Science,Lead Contribution,CIAT,Government,Regional,,Latin America & the Caribbean,https://marlo.cgiar.org/summaries/CCAFS/projectInnovationSummary.do?innovationID=289&phaseID=56,617
RTB,891,2018,Low-cost and energy-efficient small-scale flash dryer for cassava,Stage 3: available/ ready for uptake (AV),Production systems and Management practices,,CIAT,,Multi-national,UG,,https://marlo.cgiar.org/summaries/RTB/projectInnovationSummary.do?innovationID=891&phaseID=259,1100
