Index,Tags,Tag Value
73108,databricks-environment,true
168193,ClusterName,job-45-run-325
17772,Creator,kiran.kumar@data-driven.com
172757,DatabricksEnvironment,workerenv-839250446484486
170043,databricks-instance-name,13789365a8754390841b2a38d3c7279c
169941,databricks-instance-name,603faa3dd74e4f3d97773d75a2fc5ab8
169079,databricks-instance-name,e535da5b9c1b4c498b446ef8d5131a15
17614,Creator,kiran.kumar@data-driven.com
18502,JobId,1
22214,DatabricksEnvironment,workerenv-2103595532872394
174092,ClusterName,job-45-run-76
204293,createdBy,KS
176364,ClusterId,0209-030011-alley762
26324,RunName,JOb1
164929,Databricks-ElasticDisk,true
52204,ms-resource-usage,azure-cloud-shell
16594,createdBy,Kiran.kumar
24299,ClusterName,job-1-run-233
17891,Vendor,databricks
173190,Vendor,databricks
169440,Creator,support@quemesa.com
173886,DatabricksEnvironment,workerenv-839250446484486
173569,Vendor,databricks
24292,DatabricksEnvironment,workerenv-2103595532872394
171623,DatabricksEnvironment,workerenv-839250446484486
18202,JobId,1
31404,createdBy,Kiran.kumar
21551,databricks-instance-name,b47d9333f8da4fccbb5e57648bbd1dea
164531,ClusterId,0222-200012-bagel15
44017,displayName,storage
24470,ClusterId,0222-080014-went692
46818,ms-resource-usage,Prod_BuildAgent
176323,Vendor,databricks
170464,databricks-instance-name,6fe455404a524b6ca54665546dd1fed5
10896,dbwrite,time
154729,Creator,support@quemesa.com
175920,Vendor,databricks
44566,ms-resource-usage,Prod_BuildAgent
24442,ClusterName,job-1-run-138
1692,Ceated By,Rodney Joyce
21912,Creator,kiran.kumar@data-driven.com
173519,databricks-instance-name,4e152afda64a4baab2f1008234d13685
5841,dbwrite,time
24961,ClusterName,job-1-run-197
169612,DatabricksEnvironment,workerenv-839250446484486
172510,Vendor,databricks
21571,Vendor,databricks
175240,databricks-instance-name,a3224a31ee8845c59ff84fcf712d3425
172965,Vendor,databricks
158143,databricks-instance-name,da9a38c79e37480a9795cd05d4db289f
98112,databricks-environment,true
34273,Vendor,databricks
172545,Vendor,databricks
165085,Creator,support@quemesa.com
66236,databricks-environment,true
169928,databricks-instance-name,e1a33c7bdddf47a78a412f5f0a10486c
167340,DatabricksEnvironment,workerenv-839250446484486
21096,JobId,1
17760,databricks-environment,true
165828,DatabricksEnvironment,workerenv-839250446484486
174271,databricks-instance-name,5cfc3e5257424ccb9da0dbef8e97ab3f
227871,createdBy,Karan
170248,Vendor,databricks
167169,ClusterId,0216-020012-hunch144
26284,Vendor,databricks
169106,ClusterName,job-45-run-208
171450,ClusterName,job-45-run-104
21574,ClusterId,0305-080008-shoos454
170632,Vendor,databricks
174339,Vendor,databricks
19799,DatabricksEnvironment,workerenv-2103595532872394
171565,DatabricksEnvironment,workerenv-839250446484486
163572,Vendor,databricks
23331,Creator,kiran.kumar@data-driven.com
168619,ClusterName,job-45-run-323
23765,DatabricksEnvironment,workerenv-2103595532872394
29420,application,databricks
230954,createdBy,Karan
163542,databricks-instance-name,288b3c87f4d843b8b40c31ba2a3c283b
167671,DatabricksEnvironment,workerenv-839250446484486
17795,databricks-instance-name,f7dfb7bbc268445daefc98bf351b8254
54958,ms-resource-usage,Prod_BuildAgent
163524,ClusterName,job-45-run-368
164999,Creator,support@quemesa.com
20447,DatabricksEnvironment,workerenv-2103595532872394
170150,Vendor,databricks
26077,Creator,kiran.kumar@data-driven.com
26335,ClusterName,job-1-run-56
168255,ClusterName,job-45-run-174
171939,ClusterId,0212-230011-rises238
19343,databricks-instance-name,7ef4ca8850e94b1ba378d7810c15ce8b
24740,ClusterName,job-1-run-263
175227,ClusterName,job-45-run-72
18013,ClusterId,0325-010006-cries348
20639,RunName,JOb1
164011,Creator,support@quemesa.com
167502,Vendor,databricks
174438,DatabricksEnvironment,workerenv-839250446484486
166213,Vendor,databricks
162869,Creator,support@quemesa.com
