PurchaseId,PurchaseDate,PurchaseDateTime,ProductId,CentreId,Quantity,Price,PaymentDate,StaffId,Bbudget
15763,2017-01-04 00:00:00.000,2017-01-04 14:54:00.000,1,252,2,8.5,"NULL",4644,"AFFORDABLE"
16093,2017-01-07 00:00:00.000,2017-01-07 12:44:00.000,1,341,2,8.5,"NULL",5573,"AFFORDABLE"
17158,2017-01-13 00:00:00.000,2017-01-13 18:05:00.000,1,360,2,8.5,"NULL",5182,"AFFORDABLE"
17637,2017-01-17 00:00:00.000,2017-01-17 15:40:00.000,1,309,2,8.5,"NULL",4922,"AFFORDABLE"
17851,2017-01-19 00:00:00.000,2017-01-19 12:29:00.000,1,270,2,8.5,"NULL",4719,"AFFORDABLE"
18325,2017-01-23 00:00:00.000,2017-01-23 16:58:00.000,1,326,2,8.5,"NULL",4991,"AFFORDABLE"
18927,2017-01-29 00:00:00.000,2017-01-29 10:26:00.000,1,331,2,8.5,"NULL",5027,"AFFORDABLE"
19027,2017-01-30 00:00:00.000,2017-01-30 18:24:00.000,1,383,2,8.5,"NULL",5296,"AFFORDABLE"
19052,2017-01-31 00:00:00.000,2017-01-31 16:34:00.000,1,255,2,8.5,"NULL",4664,"AFFORDABLE"
19271,2017-02-01 00:00:00.000,2017-02-01 16:55:00.000,1,375,2,8.5,"NULL",5380,"AFFORDABLE"
19273,2017-02-01 00:00:00.000,2017-02-01 17:06:00.000,1,251,2,8.5,"NULL",4627,"AFFORDABLE"
19289,2017-02-01 00:00:00.000,2017-02-01 17:41:00.000,1,379,2,8.5,"NULL",5274,"AFFORDABLE"
19398,2017-02-01 00:00:00.000,2017-02-01 16:37:00.000,1,351,2,8.5,"NULL",5519,"AFFORDABLE"
19965,2017-02-09 00:00:00.000,2017-02-09 15:51:00.000,1,361,2,8.5,"NULL",5469,"AFFORDABLE"
20799,2017-02-18 00:00:00.000,2017-02-18 14:36:00.000,1,373,2,8.5,"NULL",5235,"AFFORDABLE"
20809,2017-02-18 00:00:00.000,2017-02-18 15:04:00.000,1,310,2,8.5,"NULL",4930,"AFFORDABLE"
21371,2017-02-24 00:00:00.000,2017-02-24 13:20:00.000,1,313,2,8.5,"NULL",4933,"AFFORDABLE"
22311,2017-03-06 00:00:00.000,2017-03-06 13:18:00.000,1,250,2,8.5,"NULL",4622,"AFFORDABLE"
22791,2017-03-09 00:00:00.000,2017-03-09 18:06:00.000,1,382,2,8.5,"NULL",5334,"AFFORDABLE"
23031,2017-03-12 00:00:00.000,2017-03-12 09:02:00.000,1,236,2,8.5,"NULL",4554,"AFFORDABLE"
23375,2017-03-13 00:00:00.000,2017-03-13 13:43:00.000,1,240,2,8.5,"NULL",4571,"AFFORDABLE"
23820,2017-03-14 00:00:00.000,2017-03-14 15:24:00.000,1,379,2,8.5,"NULL",5273,"AFFORDABLE"
24064,2017-03-15 00:00:00.000,2017-03-15 16:42:00.000,1,235,2,8.5,"NULL",4553,"AFFORDABLE"
24078,2017-03-15 00:00:00.000,2017-03-15 18:00:00.000,1,221,2,8.5,"NULL",4474,"AFFORDABLE"
24194,2017-03-16 00:00:00.000,2017-03-16 11:04:00.000,1,311,2,8.5,"NULL",4931,"AFFORDABLE"
24533,2017-03-19 00:00:00.000,2017-03-19 17:45:00.000,1,368,2,8.5,"NULL",5208,"AFFORDABLE"
25137,2017-03-22 00:00:00.000,2017-03-22 11:04:00.000,1,310,2,8.5,"NULL",4930,"AFFORDABLE"
25572,2017-03-25 00:00:00.000,2017-03-25 18:38:00.000,1,357,2,8.5,"NULL",5488,"AFFORDABLE"
25592,2017-03-26 00:00:00.000,2017-03-26 18:46:00.000,1,369,2,8.5,"NULL",5220,"AFFORDABLE"
26274,2017-04-01 00:00:00.000,2017-04-01 18:38:00.000,1,198,2,8.5,"NULL",4340,"AFFORDABLE"
