School Name,Subjects,ID
SPRINGDALE PRIMARY SCHOOL,PHYSICAL EDUCATION,264
TAO NAN SCHOOL,MATHEMATICS,292
EVERGREEN PRIMARY SCHOOL,HIGHER MALAY,97
BENDEMEER SECONDARY SCHOOL,PHYSICAL EDUCATION,30
ST. ANTHONY'S PRIMARY SCHOOL,TAMIL,271
BEDOK GREEN PRIMARY SCHOOL,HIGHER MALAY,25
BLANGAH RISE PRIMARY SCHOOL,PHYSICAL EDUCATION,31
ST. HILDA'S PRIMARY SCHOOL,FOUNDATION TAMIL,274
EDGEFIELD PRIMARY SCHOOL,SCIENCE,91
ANGLO-CHINESE SCHOOL (PRIMARY),CHINESE,18
HUAMIN PRIMARY SCHOOL,PHYSICAL EDUCATION,135
FIRST TOA PAYOH PRIMARY SCHOOL,MUSIC,106
SPRINGFIELD SECONDARY SCHOOL,CHINESE B,265
JURONG WEST PRIMARY SCHOOL,SOCIAL STUDIES,145
CHONGFU SCHOOL,CHINESE,65
SENG KANG PRIMARY SCHOOL,PHYSICAL EDUCATION,252
CHANGKAT PRIMARY SCHOOL,FOUNDATION ENGLISH LANGUAGE,53
BEACON PRIMARY SCHOOL,HIGHER CHINESE,23
NAN CHIAU PRIMARY SCHOOL,MALAY,178
ST. ANDREW'S JUNIOR SCHOOL,SOCIAL STUDIES,267
XINMIN SECONDARY SCHOOL,MUSIC,325
ST. PATRICK'S SCHOOL,DESIGN & TECHNOLOGY,280
ST. GABRIEL'S PRIMARY SCHOOL,ENGLISH LANGUAGE,272
MEE TOH SCHOOL,FOUNDATION ENGLISH LANGUAGE,169
HOLY INNOCENTS' PRIMARY SCHOOL,PHYSICAL EDUCATION,129
NORTH VISTA SECONDARY SCHOOL,PHYSICAL EDUCATION,194
KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,HIGHER MALAY,156
SI LING PRIMARY SCHOOL,SCIENCE,258
TELOK KURAU PRIMARY SCHOOL,FOUNDATION ENGLISH LANGUAGE,296
KEMING PRIMARY SCHOOL,HIGHER CHINESE,150
VICTORIA JUNIOR COLLEGE,H1 JAPANESE LANGUAGE,304
YISHUN PRIMARY SCHOOL,HIGHER CHINESE,332
YISHUN INNOVA JUNIOR COLLEGE,H2 COMPUTING,331
GONGSHANG PRIMARY SCHOOL,ENGLISH LANGUAGE,116
GAN ENG SENG PRIMARY SCHOOL,MUSIC,112
NORTH VIEW PRIMARY SCHOOL,SOCIAL STUDIES,192
JURONG PIONEER JUNIOR COLLEGE,H1 BIOLOGY,142
BUKIT VIEW PRIMARY SCHOOL,ENGLISH LANGUAGE,41
CHIJ OUR LADY OF THE NATIVITY,TAMIL,58
CANOSSA CATHOLIC PRIMARY SCHOOL,ART,45
PEI TONG PRIMARY SCHOOL,MATHEMATICS,216
MILLENNIA INSTITUTE,H1 MALAY LANGUAGE,174
COMPASSVALE PRIMARY SCHOOL,MATHEMATICS,75
WEST GROVE PRIMARY SCHOOL,TAMIL,308
HORIZON PRIMARY SCHOOL,MUSIC,131
MAYFLOWER PRIMARY SCHOOL,MUSIC,167
SPRINGFIELD SECONDARY SCHOOL,PHYSICAL EDUCATION,265
