School Name,Filtered by School Level,CCA Group,CCA General,CCA Customized,ID
"AHMAD IBRAHIM SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",4
"ANDERSON SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",9
"ANG MO KIO SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",12
"ANGLICAN HIGH SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",13
"ANGLO-CHINESE SCHOOL (BARKER ROAD)","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",15
"ASSUMPTION ENGLISH SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",20
"BARTLEY SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",22
"BEDOK GREEN SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",26
"BOWEN SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",34
"BROADRICK SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",35
"BUKIT MERAH SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",37
"BUKIT PANJANG GOVT. HIGH SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",38
"CEDAR GIRLS' SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",50
"CHIJ SECONDARY (TOA PAYOH)","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",61
"CHUA CHU KANG SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",69
"CHUNG CHENG HIGH SCHOOL (MAIN)","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",70
"WESTWOOD SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",313
"WHITLEY SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",315
"WOODLANDS RING SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",320
"WOODLANDS SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",321
"YISHUN SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",333
"YISHUN TOWN SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",334
"YUAN CHING SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",336
"ZHENGHUA SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",344
"RAFFLES INSTITUTION","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",238
"REGENT SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",240
"RIVER VALLEY HIGH SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",241
"RIVERSIDE SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",244
"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",248
"SENG KANG SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",253
"SERANGOON GARDEN SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",255
"SERANGOON SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",256
"SINGAPORE CHINESE GIRLS' SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",260
"ST. MARGARET'S SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",279
"TAMPINES SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",287
"TANGLIN SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",288
"TANJONG KATONG GIRLS' SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",289
"TANJONG KATONG SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",291
"TEMASEK JUNIOR COLLEGE","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",297
"TEMASEK SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",299
"UNITY SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",302
"KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",157
"MANJUSRI SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",162
"MONTFORT SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",176
"NANYANG GIRLS' HIGH SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",181
"NATIONAL JUNIOR COLLEGE","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",184
"NAVAL BASE SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",186
"NEW TOWN SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",188
"NGEE ANN SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",190
"NORTH VISTA SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",194
"NORTHBROOKS SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",195
"NORTHLAND SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",197
"NORTHLIGHT SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",198
"NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",201
"OUTRAM SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",205
"PASIR RIS SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",210
"PEICAI SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",217
"PEIRCE SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",218
"PRESBYTERIAN HIGH SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",223
"QUEENSWAY SECONDARY SCHOOL","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",234
"RAFFLES GIRLS' SCHOOL (SECONDARY)","SECONDARY","PHYSICAL SPORTS","BASKETBALL","Not Available",237
