Application,New Application,FINAL APP,Column
"DSAC - Web application is vulnerable to Clickjacking","","",""
"Enable Custom Attributes on the InspectionAttribute and InspectionScriptItem services","","",""
"Further Rostering Enhancements to predict Individual rosters when starting mid period","","",""
"MSB7TR- Change to Rate Change Eventing","MSB7TR","MSB7TR","MSB7TR "
"MSE203- Review Supplier - Tax Details Tab - ATO fields","MSE203","MSE203","MSE203 "
"MSEWCM - Add Custom Attributes to Warranty Claims","MSEWCM","MSEWCM","MSEWCM "
"MSO Performance Investigation","MSO","MSO","MSO "
"MSO010 - US Table File - Associated Value 03 - Ready for Digital Enterprise Scheduling","MSO010","MSO010","MSO010 "
"MSO14T/MSO14B - Rotation Requisitions - allow change of rotation","MSO14T/MSO14B","MSO14T","MSO14T/MSO14B "
"","","MSO14B",""
"Fixed Scheduling flag is CHAR(1) instead of Boolean on WSDL","","",""
"GIS Coordinates saved with 3 decimal places when manually entered","","",""
"MSB603 - Output Report MSR603 error","MSB603","MSB603","MSB603 "
"MSE17D - Freight Costing for Category Costed Items","MSE17D","MSE17D","MSE17D "
"MSE603 - Include Existing List Error","MSE603","MSE603","MSE603 "
"MSE623 - Unable to open cross-district Work Order","MSE623","MSE623","MSE623 "
"MSE660- Project & MSE66B Project Estimate - Unable to Maintain","MSE660 MSE66B","MSE660","MSE660 "
"","","MSE66B",""
"MSE891 - Rate Override Issues","MSE891","MSE891","MSE891 "
"MSEAPM - Email Approval link does not redirect to the respective request","MSEAPM","MSEAPM","MSEAPM "
