Store_ID,Product_ID,Stock_On_Hand,hold on price
23,24,40,799.6
32,13,13,272.87
38,6,54,809.46
50,35,8,63.92
50,20,17,424.83
13,1,0,0.0
35,31,74,665.26
9,12,6,71.94
30,25,6,17.94
14,8,57,398.43
11,9,13,142.87
9,18,8,319.92
10,25,68,203.32
49,34,2,51.98
38,17,24,479.76
14,7,13,207.87
20,31,10,89.9
19,12,3,35.97
22,24,29,579.71
40,2,29,376.71
50,29,15,299.85
8,34,18,467.82
49,9,25,274.75
39,15,0,0.0
19,23,10,99.9
11,1,19,303.81
36,22,21,419.79
43,3,20,79.8
30,28,3,32.97
26,32,2,29.98
45,6,8,119.92
45,11,10,209.9
27,12,5,59.95
25,29,6,119.94
25,6,3,44.97
40,8,61,426.39
6,14,11,120.89
44,18,117,4678.83
45,2,23,298.77
41,14,6,65.94
3,2,8,103.92
14,30,10,199.9
48,13,56,1175.44
22,1,10,159.9
38,10,68,1019.32
4,7,9,143.91
13,24,24,479.76
11,25,70,209.3
13,25,37,110.63
42,20,8,199.92
48,16,5,49.95
23,2,11,142.89
26,6,23,344.77
1,7,5,79.95
18,22,18,359.82
25,34,23,597.77
29,30,32,639.68
28,15,0,0.0
47,21,25,249.75
32,17,8,159.92
42,2,10,129.9
38,18,10,399.9
3,3,35,139.65
12,8,61,426.39
31,1,5,79.95
17,9,7,76.93
10,23,9,89.91
38,19,7,111.93
44,31,8,71.92
3,11,13,272.87
31,27,27,134.73
23,10,35,524.65
50,21,36,359.64
2,29,5,99.95
32,23,23,229.77
36,30,15,299.85
29,27,27,134.73
48,26,2,49.98
1,18,11,439.89
49,5,13,129.87
16,29,7,139.93
23,6,17,254.83
19,17,5,99.95
38,28,26,285.74
24,22,13,259.87
43,29,9,179.91
11,15,7,41.93
23,3,5,19.95
37,31,14,125.86
20,12,4,47.96
4,14,4,43.96
40,6,29,434.71
31,9,10,109.9
15,19,63,1007.37
19,2,14,181.86
44,2,4,51.96
23,23,8,79.92
34,3,17,67.83
6,34,8,207.92
8,20,5,124.95
