Continent,Country,City,Zip,Zip_ID,State,Sales_Region
"North America","USA"," ATHERTON","94027","1","CA","West"
"North America","USA"," MANALAPAN","33462","2","FL","S.East"
"North America","USA"," LOS ALTOS","94022","3","CA","West"
"North America","USA"," PALO ALTO","94301","4","CA","West"
"North America","USA","ROSS","94957","5","CA","West"
"North America","USA"," SAGAPONACK","11962","6","NY","East"
"North America","USA"," WOODY CREEK","81656","7","CO","West"
"North America","USA"," BEVERLY HILLS","90210","8","CA","West"
"North America","USA","LONGMEADOW","1106","9","MA","East"
"North America","USA","COLORADO SPRINGS","80922","10","CO","West"
"North America","USA","STOCKTON","95202","12","CA","West"
"North America","USA","PHILADELPHIA","19019","11","PA","East"
"North America","USA","TUCSON","85713","13","AZ","S.West"
"North America","USA","Hartford","6101","14","CT","East"
"North America","USA","Dover","19901","15","DE","East"
"North America","USA","Washington","20001","16","DC","N.West"
"North America","USA","Atlanta","30301","17","GA","South"
"North America","USA","Huntsville","35801","18","AL","South"
"North America","USA","Indianapolis","46201","19","IN","MidWest"
"North America","USA","Little Rock","72201","20","AR","S.East"
"North America","USA","Denver","80201","21","CO","West"
"North America","USA","Montpelier","83254","22","ID","West"
"North America","USA","Phoenix","85001","23","AZ","West"
"North America","USA","Honolulu","96801","24","HI","NonContiiguous"
"North America","USA","Anchorage","99501","25","AK","NonContiiguous"
"North America","CANADA","Toronto, Canada","M5V 2A5","26","CAN","Upper North"
"North America","CANADA","Motreal, Canada","QC H2L","27","CAN","Upper North"
"North America","CANADA","Quebec, Canada","QC G1R","28","CAN","Upper North"
