OrderID,ProductID,UnitPrice,Quantity,Discount,Tot sales
"10508","39",18,10,0,180
"10521","35",18,3,0,54
"10530","76",18,50,0,900
"10546","35",18,30,0,540
"10553","35",18,6,0,108
"10566","76",18,10,0,180
"10569","76",18,30,0,540
"10575","76",18,10,0,180
"10576","1",18,10,0,180
"10577","39",18,10,0,180
"10578","35",18,20,0,360
"10582","76",18,14,0,252
"10587","35",18,20,0,360
"10589","35",18,4,0,72
"10590","1",18,20,0,360
"10609","1",18,3,0,54
"10611","1",18,6,0,108
"10612","76",18,80,0,1440
"10614","39",18,5,0,90
"10628","1",18,25,0,450
"10630","76",18,35,0,630
"10647","39",18,20,0,360
"10665","76",18,10,0,180
"10691","1",18,30,0,540
"10702","76",18,15,0,270
"10720","35",18,21,0,378
"10729","1",18,50,0,900
"10732","76",18,20,0,360
"10734","76",18,20,0,360
"10749","76",18,10,0,180
"10752","1",18,8,0,144
"10762","39",18,16,0,288
"10789","35",18,15,0,270
"10821","35",18,20,0,360
"10827","39",18,21,0,378
"10830","39",18,28,0,504
"10831","35",18,8,0,144
"10836","35",18,6,0,108
"10860","76",18,20,0,360
"10864","35",18,4,0,72
"10868","35",18,30,0,540
"10869","1",18,40,0,720
"10870","35",18,3,0,54
"10879","76",18,10,0,180
"10895","39",18,45,0,810
"10911","1",18,10,0,180
"10921","35",18,10,0,180
"10927","76",18,20,0,360
"10928","76",18,5,0,90
"10935","1",18,21,0,378
"10957","35",18,40,0,720
"10961","76",18,60,0,1080
"10962","76",18,44,0,792
"10977","39",18,30,0,540
"10986","76",18,10,0,180
"11003","1",18,4,0,72
"11004","76",18,6,0,108
"11005","1",18,2,0,36
"11006","1",18,8,0,144
"11031","1",18,45,0,810
"11035","1",18,10,0,180
"11035","35",18,60,0,1080
"11039","35",18,24,0,432
"11069","39",18,20,0,360
"10248","11",14,12,0,168
"10248","72",34.8,5,0,174
"10249","14",18.6,9,0,167.4
"10249","51",42.4,40,0,1696
"10252","60",27.2,40,0,1088
"10253","39",14.4,42,0,604.80000000000007
"10253","49",16,40,0,640
"10254","74",8,21,0,168
"10255","16",13.9,35,0,486.5
"10255","36",15.2,25,0,380
"10256","77",10.4,12,0,124.80000000000001
"10257","27",35.1,25,0,877.5
"10257","39",14.4,6,0,86.4
"10259","37",20.8,1,0,20.8
"10260","57",15.6,50,0,780
"10262","56",30.4,2,0,60.8
"10263","24",3.6,28,0,100.8
"10264","2",15.2,35,0,532
"10267","40",14.7,50,0,735
"10268","72",27.8,4,0,111.2
"10270","43",36.8,25,0,919.99999999999989
"10271","33",2,24,0,48
"10272","20",64.8,6,0,388.79999999999995
"10272","31",10,40,0,400
"10272","72",27.8,24,0,667.2
"10274","72",27.8,7,0,194.6
"10277","62",39.4,12,0,472.79999999999995
"10278","44",15.5,16,0,248
"10278","63",35.1,8,0,280.8
"10278","73",12,25,0,300
"10280","24",3.6,12,0,43.2
