edit][State or territory[1],edit][Currency[1][2],edit][ISO code[2],edit][Symbol[3][D].1,edit][Symbol[3][D].2,edit][FlagLink
"Abkhazia","Russian ruble","RUB","₽","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Abkhazia.png"
"Afghanistan","Afghan afghani","AFN","؋","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Afghanistan.png"
"Akrotiri-and-Dhekelia","Euro","EUR","€","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Akrotiri-and-Dhekelia.png"
"Albania","Albanian lek","ALL","L","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Albania.png"
"Alderney","British pound","GBP","£","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Alderney.png"
"Alderney","Guernsey pound","GGP","£","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Alderney.png"
"Algeria","Algerian dinar","DZD","د.ج","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Algeria.png"
"Angola","Angolan kwanza","AOA","Kz","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Angola.png"
"Anguilla","East Caribbean dollar","XCD","$","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Anguilla.png"
"Argentina","Argentine peso","ARS","$","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Argentina.png"
"Aruba","Aruban florin","AWG","ƒ","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Aruba.png"
"Ascension-Island","Saint Helena pound","SHP","£","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Ascension-Island.png"
"Australia","Australian dollar","AUD","$","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Australia.png"
"Azerbaijan","Azerbaijani manat","AZN","₼","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Azerbaijan.png"
"Bahamas,-The","Bahamian dollar","BSD","$","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Bahamas,-The.png"
"Bahrain","Bahraini dinar","BHD",".د.ب","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Bahrain.png"
"Bangladesh","Bangladeshi taka","BDT","৳","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Bangladesh.png"
"Barbados","Barbadian dollar","BBD","$","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Barbados.png"
"Belarus","New Belarusian ruble","BYN","Br","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Belarus.png"
"Belarus","Old Belarusian ruble","BYR","Br","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Belarus.png"
"Belize","Belize dollar","BZD","$","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Belize.png"
"Benin","West African CFA franc","XOF","Fr","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Benin.png"
"Bermuda","Bermudian dollar","BMD","$","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Bermuda.png"
"Bhutan","Indian rupee","INR","₹","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Bhutan.png"
"Bhutan","Bhutanese ngultrum","BTN","Nu.","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Bhutan.png"
"Bolivia","Bolivian boliviano","BOB","Bs.","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Bolivia.png"
"Bonaire","United States dollar","USD","$","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Bonaire.png"
"Botswana","Botswana pula","BWP","P","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Botswana.png"
"Brazil","Brazilian real","BRL","R$","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Brazil.png"
"Brunei","Brunei dollar","BND","$","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Brunei.png"
"Brunei","Singapore dollar","SGD","$","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Brunei.png"
"Bulgaria","Bulgarian lev","BGN","лв","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Bulgaria.png"
"Burundi","Burundian franc","BIF","Fr","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Burundi.png"
"Cambodia","Cambodian riel","KHR","៛","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Cambodia.png"
"Cameroon","Central African CFA franc","XAF","Fr","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Cameroon.png"
"Canada","Canadian dollar","CAD","$","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Canada.png"
"Cayman-Islands","Cayman Islands dollar","KYD","$","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Cayman-Islands.png"
"Chile","Chilean peso","CLP","$","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Chile.png"
"Colombia","Colombian peso","COP","$","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Colombia.png"
"Comoros","Comorian franc","KMF","Fr","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Comoros.png"
"Congo,-Democratic-Republic-of-the","Congolese franc","CDF","Fr","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Congo,-Democratic-Republic-of-the.png"
"Cook-Islands","New Zealand dollar","NZD","$","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Cook-Islands.png"
"Costa-Rica","Costa Rican colón","CRC","₡","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Costa-Rica.png"
"Croatia","Croatian kuna","HRK","kn","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Croatia.png"
"Cuba","Cuban peso","CUP","$","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Cuba.png"
"Cuba","Cuban convertible peso","CUC","$","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Cuba.png"
"Curaçao","Netherlands Antillean guilder","ANG","ƒ","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Curaçao.png"
"Czech-Republic","Czech koruna","CZK","Kč","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Czech-Republic.png"
"Denmark","Danish krone","DKK","kr","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Denmark.png"
"Djibouti","Djiboutian franc","DJF","Fr","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Djibouti.png"
"Dominican-Republic","Dominican peso","DOP","$","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Dominican-Republic.png"
"Eritrea","Eritrean nakfa","ERN","Nfk","","https://www.countries-ofthe-world.com/flags-normal/flag-of-Eritrea.png"
