Date,Day,Day Name,Month No,Month Name,Quarter No,Year,Year-Month,Year-Quarter,SortDay,SortDayName,SortYearMonth,SortYearQuarter,Week No,SortWeekNo
1997-07-01 00:00:00.000,"01","Tue","7","Jul","3","1997","1997-Jul","1997Q03",1,1,199707,199703,"26","26"
1997-07-02 00:00:00.000,"02","Wed","7","Jul","3","1997","1997-Jul","1997Q03",2,2,199707,199703,"26","26"
1997-07-03 00:00:00.000,"03","Thu","7","Jul","3","1997","1997-Jul","1997Q03",3,3,199707,199703,"26","26"
1997-07-04 00:00:00.000,"04","Fri","7","Jul","3","1997","1997-Jul","1997Q03",4,4,199707,199703,"26","26"
1997-07-05 00:00:00.000,"05","Sat","7","Jul","3","1997","1997-Jul","1997Q03",5,5,199707,199703,"26","26"
1997-07-06 00:00:00.000,"06","Sun","7","Jul","3","1997","1997-Jul","1997Q03",6,6,199707,199703,"27","27"
1997-07-07 00:00:00.000,"07","Mon","7","Jul","3","1997","1997-Jul","1997Q03",7,0,199707,199703,"27","27"
1997-07-08 00:00:00.000,"08","Tue","7","Jul","3","1997","1997-Jul","1997Q03",8,1,199707,199703,"27","27"
1997-07-09 00:00:00.000,"09","Wed","7","Jul","3","1997","1997-Jul","1997Q03",9,2,199707,199703,"27","27"
1997-07-10 00:00:00.000,"10","Thu","7","Jul","3","1997","1997-Jul","1997Q03",10,3,199707,199703,"27","27"
1997-07-11 00:00:00.000,"11","Fri","7","Jul","3","1997","1997-Jul","1997Q03",11,4,199707,199703,"27","27"
1997-07-12 00:00:00.000,"12","Sat","7","Jul","3","1997","1997-Jul","1997Q03",12,5,199707,199703,"27","27"
1997-07-13 00:00:00.000,"13","Sun","7","Jul","3","1997","1997-Jul","1997Q03",13,6,199707,199703,"28","28"
1997-07-14 00:00:00.000,"14","Mon","7","Jul","3","1997","1997-Jul","1997Q03",14,0,199707,199703,"28","28"
1997-07-15 00:00:00.000,"15","Tue","7","Jul","3","1997","1997-Jul","1997Q03",15,1,199707,199703,"28","28"
1997-07-16 00:00:00.000,"16","Wed","7","Jul","3","1997","1997-Jul","1997Q03",16,2,199707,199703,"28","28"
1997-07-17 00:00:00.000,"17","Thu","7","Jul","3","1997","1997-Jul","1997Q03",17,3,199707,199703,"28","28"
1997-07-18 00:00:00.000,"18","Fri","7","Jul","3","1997","1997-Jul","1997Q03",18,4,199707,199703,"28","28"
1997-07-19 00:00:00.000,"19","Sat","7","Jul","3","1997","1997-Jul","1997Q03",19,5,199707,199703,"28","28"
1997-07-20 00:00:00.000,"20","Sun","7","Jul","3","1997","1997-Jul","1997Q03",20,6,199707,199703,"29","29"
1997-07-21 00:00:00.000,"21","Mon","7","Jul","3","1997","1997-Jul","1997Q03",21,0,199707,199703,"29","29"
1997-07-22 00:00:00.000,"22","Tue","7","Jul","3","1997","1997-Jul","1997Q03",22,1,199707,199703,"29","29"
1997-07-23 00:00:00.000,"23","Wed","7","Jul","3","1997","1997-Jul","1997Q03",23,2,199707,199703,"29","29"
1997-07-24 00:00:00.000,"24","Thu","7","Jul","3","1997","1997-Jul","1997Q03",24,3,199707,199703,"29","29"
1997-07-25 00:00:00.000,"25","Fri","7","Jul","3","1997","1997-Jul","1997Q03",25,4,199707,199703,"29","29"
1997-07-26 00:00:00.000,"26","Sat","7","Jul","3","1997","1997-Jul","1997Q03",26,5,199707,199703,"29","29"
1997-07-27 00:00:00.000,"27","Sun","7","Jul","3","1997","1997-Jul","1997Q03",27,6,199707,199703,"30","30"
1997-07-28 00:00:00.000,"28","Mon","7","Jul","3","1997","1997-Jul","1997Q03",28,0,199707,199703,"30","30"
1997-07-29 00:00:00.000,"29","Tue","7","Jul","3","1997","1997-Jul","1997Q03",29,1,199707,199703,"30","30"
1997-07-30 00:00:00.000,"30","Wed","7","Jul","3","1997","1997-Jul","1997Q03",30,2,199707,199703,"30","30"
1997-07-31 00:00:00.000,"31","Thu","7","Jul","3","1997","1997-Jul","1997Q03",31,3,199707,199703,"30","30"
1997-08-01 00:00:00.000,"01","Fri","8","Aug","3","1997","1997-Aug","1997Q03",1,4,199708,199703,"30","30"
1997-08-02 00:00:00.000,"02","Sat","8","Aug","3","1997","1997-Aug","1997Q03",2,5,199708,199703,"30","30"
1997-08-03 00:00:00.000,"03","Sun","8","Aug","3","1997","1997-Aug","1997Q03",3,6,199708,199703,"31","31"
1997-08-04 00:00:00.000,"04","Mon","8","Aug","3","1997","1997-Aug","1997Q03",4,0,199708,199703,"31","31"
1997-08-05 00:00:00.000,"05","Tue","8","Aug","3","1997","1997-Aug","1997Q03",5,1,199708,199703,"31","31"
1997-08-06 00:00:00.000,"06","Wed","8","Aug","3","1997","1997-Aug","1997Q03",6,2,199708,199703,"31","31"
1997-08-07 00:00:00.000,"07","Thu","8","Aug","3","1997","1997-Aug","1997Q03",7,3,199708,199703,"31","31"
1997-08-08 00:00:00.000,"08","Fri","8","Aug","3","1997","1997-Aug","1997Q03",8,4,199708,199703,"31","31"
1997-08-09 00:00:00.000,"09","Sat","8","Aug","3","1997","1997-Aug","1997Q03",9,5,199708,199703,"31","31"
1997-08-10 00:00:00.000,"10","Sun","8","Aug","3","1997","1997-Aug","1997Q03",10,6,199708,199703,"32","32"
1997-08-11 00:00:00.000,"11","Mon","8","Aug","3","1997","1997-Aug","1997Q03",11,0,199708,199703,"32","32"
1997-08-12 00:00:00.000,"12","Tue","8","Aug","3","1997","1997-Aug","1997Q03",12,1,199708,199703,"32","32"
1997-08-13 00:00:00.000,"13","Wed","8","Aug","3","1997","1997-Aug","1997Q03",13,2,199708,199703,"32","32"
1997-08-14 00:00:00.000,"14","Thu","8","Aug","3","1997","1997-Aug","1997Q03",14,3,199708,199703,"32","32"
1997-08-15 00:00:00.000,"15","Fri","8","Aug","3","1997","1997-Aug","1997Q03",15,4,199708,199703,"32","32"
1997-08-16 00:00:00.000,"16","Sat","8","Aug","3","1997","1997-Aug","1997Q03",16,5,199708,199703,"32","32"
1997-08-17 00:00:00.000,"17","Sun","8","Aug","3","1997","1997-Aug","1997Q03",17,6,199708,199703,"33","33"
1997-08-18 00:00:00.000,"18","Mon","8","Aug","3","1997","1997-Aug","1997Q03",18,0,199708,199703,"33","33"
1997-08-19 00:00:00.000,"19","Tue","8","Aug","3","1997","1997-Aug","1997Q03",19,1,199708,199703,"33","33"
1997-08-20 00:00:00.000,"20","Wed","8","Aug","3","1997","1997-Aug","1997Q03",20,2,199708,199703,"33","33"
1997-08-21 00:00:00.000,"21","Thu","8","Aug","3","1997","1997-Aug","1997Q03",21,3,199708,199703,"33","33"
1997-08-22 00:00:00.000,"22","Fri","8","Aug","3","1997","1997-Aug","1997Q03",22,4,199708,199703,"33","33"
1997-08-23 00:00:00.000,"23","Sat","8","Aug","3","1997","1997-Aug","1997Q03",23,5,199708,199703,"33","33"
1997-08-24 00:00:00.000,"24","Sun","8","Aug","3","1997","1997-Aug","1997Q03",24,6,199708,199703,"34","34"
1997-08-25 00:00:00.000,"25","Mon","8","Aug","3","1997","1997-Aug","1997Q03",25,0,199708,199703,"34","34"
1997-08-26 00:00:00.000,"26","Tue","8","Aug","3","1997","1997-Aug","1997Q03",26,1,199708,199703,"34","34"
1997-08-27 00:00:00.000,"27","Wed","8","Aug","3","1997","1997-Aug","1997Q03",27,2,199708,199703,"34","34"
1997-08-28 00:00:00.000,"28","Thu","8","Aug","3","1997","1997-Aug","1997Q03",28,3,199708,199703,"34","34"
1997-08-29 00:00:00.000,"29","Fri","8","Aug","3","1997","1997-Aug","1997Q03",29,4,199708,199703,"34","34"
1997-08-30 00:00:00.000,"30","Sat","8","Aug","3","1997","1997-Aug","1997Q03",30,5,199708,199703,"34","34"
1997-08-31 00:00:00.000,"31","Sun","8","Aug","3","1997","1997-Aug","1997Q03",31,6,199708,199703,"35","35"
1997-09-01 00:00:00.000,"01","Mon","9","Sep","3","1997","1997-Sep","1997Q03",1,0,199709,199703,"35","35"
1997-09-02 00:00:00.000,"02","Tue","9","Sep","3","1997","1997-Sep","1997Q03",2,1,199709,199703,"35","35"
1997-09-03 00:00:00.000,"03","Wed","9","Sep","3","1997","1997-Sep","1997Q03",3,2,199709,199703,"35","35"
1997-09-04 00:00:00.000,"04","Thu","9","Sep","3","1997","1997-Sep","1997Q03",4,3,199709,199703,"35","35"
1997-09-05 00:00:00.000,"05","Fri","9","Sep","3","1997","1997-Sep","1997Q03",5,4,199709,199703,"35","35"
1997-09-06 00:00:00.000,"06","Sat","9","Sep","3","1997","1997-Sep","1997Q03",6,5,199709,199703,"35","35"
1997-09-07 00:00:00.000,"07","Sun","9","Sep","3","1997","1997-Sep","1997Q03",7,6,199709,199703,"36","36"
1997-09-08 00:00:00.000,"08","Mon","9","Sep","3","1997","1997-Sep","1997Q03",8,0,199709,199703,"36","36"
1997-09-09 00:00:00.000,"09","Tue","9","Sep","3","1997","1997-Sep","1997Q03",9,1,199709,199703,"36","36"
1997-09-10 00:00:00.000,"10","Wed","9","Sep","3","1997","1997-Sep","1997Q03",10,2,199709,199703,"36","36"
1997-09-11 00:00:00.000,"11","Thu","9","Sep","3","1997","1997-Sep","1997Q03",11,3,199709,199703,"36","36"
1997-09-12 00:00:00.000,"12","Fri","9","Sep","3","1997","1997-Sep","1997Q03",12,4,199709,199703,"36","36"
1997-09-13 00:00:00.000,"13","Sat","9","Sep","3","1997","1997-Sep","1997Q03",13,5,199709,199703,"36","36"
1997-09-14 00:00:00.000,"14","Sun","9","Sep","3","1997","1997-Sep","1997Q03",14,6,199709,199703,"37","37"
1997-09-15 00:00:00.000,"15","Mon","9","Sep","3","1997","1997-Sep","1997Q03",15,0,199709,199703,"37","37"
1997-09-16 00:00:00.000,"16","Tue","9","Sep","3","1997","1997-Sep","1997Q03",16,1,199709,199703,"37","37"
1997-09-17 00:00:00.000,"17","Wed","9","Sep","3","1997","1997-Sep","1997Q03",17,2,199709,199703,"37","37"
1997-09-18 00:00:00.000,"18","Thu","9","Sep","3","1997","1997-Sep","1997Q03",18,3,199709,199703,"37","37"
1997-09-19 00:00:00.000,"19","Fri","9","Sep","3","1997","1997-Sep","1997Q03",19,4,199709,199703,"37","37"
1997-09-20 00:00:00.000,"20","Sat","9","Sep","3","1997","1997-Sep","1997Q03",20,5,199709,199703,"37","37"
1997-09-21 00:00:00.000,"21","Sun","9","Sep","3","1997","1997-Sep","1997Q03",21,6,199709,199703,"38","38"
1997-09-22 00:00:00.000,"22","Mon","9","Sep","3","1997","1997-Sep","1997Q03",22,0,199709,199703,"38","38"
1997-09-23 00:00:00.000,"23","Tue","9","Sep","3","1997","1997-Sep","1997Q03",23,1,199709,199703,"38","38"
1997-09-24 00:00:00.000,"24","Wed","9","Sep","3","1997","1997-Sep","1997Q03",24,2,199709,199703,"38","38"
1997-09-25 00:00:00.000,"25","Thu","9","Sep","3","1997","1997-Sep","1997Q03",25,3,199709,199703,"38","38"
1997-09-26 00:00:00.000,"26","Fri","9","Sep","3","1997","1997-Sep","1997Q03",26,4,199709,199703,"38","38"
1997-09-27 00:00:00.000,"27","Sat","9","Sep","3","1997","1997-Sep","1997Q03",27,5,199709,199703,"38","38"
1997-09-28 00:00:00.000,"28","Sun","9","Sep","3","1997","1997-Sep","1997Q03",28,6,199709,199703,"39","39"
1997-09-29 00:00:00.000,"29","Mon","9","Sep","3","1997","1997-Sep","1997Q03",29,0,199709,199703,"39","39"
