AFECategory,AFECategoryID,AFEFacilityType,AFEID,AFENumber,AFEStatus,AFEType,AFEGroup,SumAmount,SumBOE,ProductionDateID,PropertyID,CompanyID,Account,AccountName,AccountNumber,AccountType,CategoryName,CategoryNumber,GeneralAccount,GeneralAccountName,Gen,GrossNetCutback,LOEFlag,LOEGroupCode,LOEGroupName,LOEGroupOrder,Sub,SubcategoryNumber,SubcategoryName,CompanyName,CompanyNumber,CurrentDateFlag,CurrentMonthFlag,CurrentYearFlag,Date,DayNumber,DayOfWeek,MonthName,MonthNumber,MonthYearName,QuarterName,QuarterNumber,QuarterYearName,WeekName,WeekNumber,WeekYearName,YearMonthName,YearMonthNumber,YearNumber,YearQuarterName,Acquisition,AcquisitionWellType,APINumber,Divestiture,FirstProductionDate,FracStages,SegmentReportingDate,SWDName,SWDNumber,SWDRegionName,TotalDepth,TurnToProduction,FracStartDate,BasinRegion,BasinRegionName,Battery,BatteryName,BatteryNumber,County,CountyName,CountyNumber,Foreman,ForemanFirstName,ForemanLastName,POPDate,ProducingStatus,Property,PropertyName,PropertyNumber,PropertyType,PropertyTypeCode,Pumper,PumperFirstName,PumperLastName,RigCompany,RigNumber,RigReleaseDate,Team Name,WellOrientation,WellOrientationName,WellStatusCode,WellStatusName,WellTypeCode,WellTypeName,WorkingInterestDivisionOrder,DrillingCont,FRAC CO#,ProductioDate,WorkingInterest,WorkingInterestEffectiveEndDate,FracBottomPerforation,FracTopPerforation,Gross_SLL,Net_SLL,Gross_TMD,Net_TMD
"Development Drilling",1,"",67585,"2023","Approved - Active","Original",0,0,,20190712,12721,1,"2160.5052.01 MUD & CHEMICALS - SURFACE EQUIPMENT","MUD & CHEMICALS - SURFACE EQUIPMENT","2160.5052.01","Cutback Capital","DRILLING",1,"2160.0000 INTANGIBLE COSTS","INTANGIBLE COSTS","2160","Cutback","No",-1,"N/A",1000,"2160.5052",0,"DRILLING","Parsley Energy Operations, LLC",1,"No","No","No",2019-12-01 00:00:00.000,1,"Sunday","December",12,"December 2019","Q4",4,"Q4 2019","Week 49",49,"Week 49 2019","2019 Dec",201912,2019,"2019 Q4","N/A","","42329434090000","",2019-12-13 00:00:00.000,70,2019-09-19 00:00:00.000,"","","",22564,1900-01-01 00:00:00.000,2019-10-21 00:00:00.000,"MIDLAND","MIDLAND BASIN","501196-DIAMOND RIO UNIT BATTERY","DIAMOND RIO UNIT BATTERY","501196","329-MIDLAND","MIDLAND","329","SCOTT AWBREY","SCOTT","AWBREY",2019-12-13 00:00:00.000,"PRODUCING","501154-DIAMOND RIO 9-16-B-4203H","DIAMOND RIO 9-16-B-4203H","501154","Well Completion","WL","AARON WORTHAN","AARON","WORTHAN","","",2019-10-03 00:00:00.000,"City of Midland","HRZ","HORIZONTAL","4000","PRODUCING","WELL","Well","","Ensign T226","",2019-07-12 00:00:00.000,0.89340765,9999-12-31 00:00:00.000,22459,10102,12357,11039.838331,,
"Development Drilling",1,"",67585,"2023","Approved - Active","Original",0,0,,20190901,12721,1,"2160.0150.01 OVERHEAD","OVERHEAD","2160.0150.01","Cutback Capital","DRILLING",1,"2160.0000 INTANGIBLE COSTS","INTANGIBLE COSTS","2160","Cutback","No",-1,"N/A",1000,"2160.0150",0,"DRILLING","Parsley Energy Operations, LLC",1,"No","No","No",2019-11-01 00:00:00.000,1,"Friday","November",11,"November 2019","Q4",4,"Q4 2019","Week 44",44,"Week 44 2019","2019 Nov",201911,2019,"2019 Q4","N/A","","42329434090000","",2019-12-13 00:00:00.000,70,2019-09-19 00:00:00.000,"","","",22564,1900-01-01 00:00:00.000,2019-10-21 00:00:00.000,"MIDLAND","MIDLAND BASIN","501196-DIAMOND RIO UNIT BATTERY","DIAMOND RIO UNIT BATTERY","501196","329-MIDLAND","MIDLAND","329","SCOTT AWBREY","SCOTT","AWBREY",2019-12-13 00:00:00.000,"PRODUCING","501154-DIAMOND RIO 9-16-B-4203H","DIAMOND RIO 9-16-B-4203H","501154","Well Completion","WL","AARON WORTHAN","AARON","WORTHAN","","",2019-10-03 00:00:00.000,"City of Midland","HRZ","HORIZONTAL","4000","PRODUCING","WELL","Well","","Ensign T226","",2019-09-01 00:00:00.000,0.89340765,9999-12-31 00:00:00.000,22459,10102,12357,11039.838331,,
"Development Drilling",1,"",66461,"2022","Approved - Active","Original",0,0,,20190901,12720,1,"2160.0150.01 OVERHEAD","OVERHEAD","2160.0150.01","Cutback Capital","DRILLING",1,"2160.0000 INTANGIBLE COSTS","INTANGIBLE COSTS","2160","Cutback","No",-1,"N/A",1000,"2160.0150",0,"DRILLING","Parsley Energy Operations, LLC",1,"No","No","No",2019-11-01 00:00:00.000,1,"Friday","November",11,"November 2019","Q4",4,"Q4 2019","Week 44",44,"Week 44 2019","2019 Nov",201911,2019,"2019 Q4","N/A","","42329434060000","",2019-12-13 00:00:00.000,70,2019-09-02 00:00:00.000,"","","",22942,1900-01-01 00:00:00.000,2019-10-21 00:00:00.000,"MIDLAND","MIDLAND BASIN","501196-DIAMOND RIO UNIT BATTERY","DIAMOND RIO UNIT BATTERY","501196","329-MIDLAND","MIDLAND","329","SCOTT AWBREY","SCOTT","AWBREY",2019-12-13 00:00:00.000,"PRODUCING","501153-DIAMOND RIO 9-16-A-4301H","DIAMOND RIO 9-16-A-4301H","501153","Well Completion","WL","AARON WORTHAN","AARON","WORTHAN","","",2019-09-17 00:00:00.000,"City of Midland","HRZ","HORIZONTAL","4000","PRODUCING","WELL","Well","","Ensign T226","",2019-09-01 00:00:00.000,0.89302995,9999-12-31 00:00:00.000,22758,10321,12437,11106.613488,,
"Development Drilling",1,"",66461,"2022","Approved - Active","Original",0,0,,20190701,12720,1,"2160.1052.01 MUD & CHEMICALS - TRUCKING/HAULING","MUD & CHEMICALS - TRUCKING/HAULING","2160.1052.01","Cutback Capital","DRILLING",1,"2160.0000 INTANGIBLE COSTS","INTANGIBLE COSTS","2160","Cutback","No",-1,"N/A",1000,"2160.1052",0,"DRILLING","Parsley Energy Operations, LLC",1,"No","No","No",2019-12-01 00:00:00.000,1,"Sunday","December",12,"December 2019","Q4",4,"Q4 2019","Week 49",49,"Week 49 2019","2019 Dec",201912,2019,"2019 Q4","N/A","","42329434060000","",2019-12-13 00:00:00.000,70,2019-09-02 00:00:00.000,"","","",22942,1900-01-01 00:00:00.000,2019-10-21 00:00:00.000,"MIDLAND","MIDLAND BASIN","501196-DIAMOND RIO UNIT BATTERY","DIAMOND RIO UNIT BATTERY","501196","329-MIDLAND","MIDLAND","329","SCOTT AWBREY","SCOTT","AWBREY",2019-12-13 00:00:00.000,"PRODUCING","501153-DIAMOND RIO 9-16-A-4301H","DIAMOND RIO 9-16-A-4301H","501153","Well Completion","WL","AARON WORTHAN","AARON","WORTHAN","","",2019-09-17 00:00:00.000,"City of Midland","HRZ","HORIZONTAL","4000","PRODUCING","WELL","Well","","Ensign T226","",2019-07-01 00:00:00.000,0.89302995,9999-12-31 00:00:00.000,22758,10321,12437,11106.613488,,
"Development Drilling",1,"",66461,"2022","Approved - Active","Original",0,0,,20190615,12720,1,"2160.3061.01 RENTALS & EQUIPMENT - SITE LOCATION RENTALS","RENTALS & EQUIPMENT - SITE LOCATION RENTALS","2160.3061.01","Cutback Capital","DRILLING",1,"2160.0000 INTANGIBLE COSTS","INTANGIBLE COSTS","2160","Cutback","No",-1,"N/A",1000,"2160.3061",0,"DRILLING","Parsley Energy Operations, LLC",1,"No","No","No",2019-12-01 00:00:00.000,1,"Sunday","December",12,"December 2019","Q4",4,"Q4 2019","Week 49",49,"Week 49 2019","2019 Dec",201912,2019,"2019 Q4","N/A","","42329434060000","",2019-12-13 00:00:00.000,70,2019-09-02 00:00:00.000,"","","",22942,1900-01-01 00:00:00.000,2019-10-21 00:00:00.000,"MIDLAND","MIDLAND BASIN","501196-DIAMOND RIO UNIT BATTERY","DIAMOND RIO UNIT BATTERY","501196","329-MIDLAND","MIDLAND","329","SCOTT AWBREY","SCOTT","AWBREY",2019-12-13 00:00:00.000,"PRODUCING","501153-DIAMOND RIO 9-16-A-4301H","DIAMOND RIO 9-16-A-4301H","501153","Well Completion","WL","AARON WORTHAN","AARON","WORTHAN","","",2019-09-17 00:00:00.000,"City of Midland","HRZ","HORIZONTAL","4000","PRODUCING","WELL","Well","","Ensign T226","",2019-06-15 00:00:00.000,0.89302995,9999-12-31 00:00:00.000,22758,10321,12437,11106.613488,,
"Development Drilling",1,"",66461,"2022","Approved - Active","Original",0,0,,20190904,12720,1,"2160.0160.01 FUEL & POWER","FUEL & POWER","2160.0160.01","Cutback Capital","DRILLING",1,"2160.0000 INTANGIBLE COSTS","INTANGIBLE COSTS","2160","Cutback","No",-1,"N/A",1000,"2160.0160",0,"DRILLING","Parsley Energy Operations, LLC",1,"No","No","No",2019-12-01 00:00:00.000,1,"Sunday","December",12,"December 2019","Q4",4,"Q4 2019","Week 49",49,"Week 49 2019","2019 Dec",201912,2019,"2019 Q4","N/A","","42329434060000","",2019-12-13 00:00:00.000,70,2019-09-02 00:00:00.000,"","","",22942,1900-01-01 00:00:00.000,2019-10-21 00:00:00.000,"MIDLAND","MIDLAND BASIN","501196-DIAMOND RIO UNIT BATTERY","DIAMOND RIO UNIT BATTERY","501196","329-MIDLAND","MIDLAND","329","SCOTT AWBREY","SCOTT","AWBREY",2019-12-13 00:00:00.000,"PRODUCING","501153-DIAMOND RIO 9-16-A-4301H","DIAMOND RIO 9-16-A-4301H","501153","Well Completion","WL","AARON WORTHAN","AARON","WORTHAN","","",2019-09-17 00:00:00.000,"City of Midland","HRZ","HORIZONTAL","4000","PRODUCING","WELL","Well","","Ensign T226","",2019-09-04 00:00:00.000,0.89302995,9999-12-31 00:00:00.000,22758,10321,12437,11106.613488,,
"Development Drilling",1,"",66461,"2022","Approved - Active","Original",0,0,,20190530,12720,1,"2160.0009.01 SURVEY/PLAT/PERMIT/TITLE","SURVEY/PLAT/PERMIT/TITLE","2160.0009.01","Cutback Capital","DRILLING",1,"2160.0000 INTANGIBLE COSTS","INTANGIBLE COSTS","2160","Cutback","No",-1,"N/A",1000,"2160.0009",0,"DRILLING","Parsley Energy Operations, LLC",1,"No","No","Yes",2020-02-01 00:00:00.000,1,"Saturday","February",2,"February 2020","Q1",1,"Q1 2020","Week 5",5,"Week 5 2020","2020 Feb",202002,2020,"2020 Q1","N/A","","42329434060000","",2019-12-13 00:00:00.000,70,2019-09-02 00:00:00.000,"","","",22942,1900-01-01 00:00:00.000,2019-10-21 00:00:00.000,"MIDLAND","MIDLAND BASIN","501196-DIAMOND RIO UNIT BATTERY","DIAMOND RIO UNIT BATTERY","501196","329-MIDLAND","MIDLAND","329","SCOTT AWBREY","SCOTT","AWBREY",2019-12-13 00:00:00.000,"PRODUCING","501153-DIAMOND RIO 9-16-A-4301H","DIAMOND RIO 9-16-A-4301H","501153","Well Completion","WL","AARON WORTHAN","AARON","WORTHAN","","",2019-09-17 00:00:00.000,"City of Midland","HRZ","HORIZONTAL","4000","PRODUCING","WELL","Well","","Ensign T226","",2019-05-30 00:00:00.000,0.89302995,9999-12-31 00:00:00.000,22758,10321,12437,11106.613488,,
"Development Drilling",1,"",67585,"2023","Approved - Active","Original",0,0,,20190712,12721,1,"2160.2121.01 DIRECTIONAL SERVICES - INTERMEDIATES","DIRECTIONAL SERVICES - INTERMEDIATES","2160.2121.01","Cutback Capital","DRILLING",1,"2160.0000 INTANGIBLE COSTS","INTANGIBLE COSTS","2160","Cutback","No",-1,"N/A",1000,"2160.2121",0,"DRILLING","Parsley Energy Operations, LLC",1,"No","No","Yes",2020-02-01 00:00:00.000,1,"Saturday","February",2,"February 2020","Q1",1,"Q1 2020","Week 5",5,"Week 5 2020","2020 Feb",202002,2020,"2020 Q1","N/A","","42329434090000","",2019-12-13 00:00:00.000,70,2019-09-19 00:00:00.000,"","","",22564,1900-01-01 00:00:00.000,2019-10-21 00:00:00.000,"MIDLAND","MIDLAND BASIN","501196-DIAMOND RIO UNIT BATTERY","DIAMOND RIO UNIT BATTERY","501196","329-MIDLAND","MIDLAND","329","SCOTT AWBREY","SCOTT","AWBREY",2019-12-13 00:00:00.000,"PRODUCING","501154-DIAMOND RIO 9-16-B-4203H","DIAMOND RIO 9-16-B-4203H","501154","Well Completion","WL","AARON WORTHAN","AARON","WORTHAN","","",2019-10-03 00:00:00.000,"City of Midland","HRZ","HORIZONTAL","4000","PRODUCING","WELL","Well","","Ensign T226","",2019-07-12 00:00:00.000,0.89340765,9999-12-31 00:00:00.000,22459,10102,12357,11039.838331,,
"Development Drilling",1,"",67585,"2023","Approved - Active","Original",0,0,,20190904,12721,1,"2160.3061.01 RENTALS & EQUIPMENT - SITE LOCATION RENTALS","RENTALS & EQUIPMENT - SITE LOCATION RENTALS","2160.3061.01","Cutback Capital","DRILLING",1,"2160.0000 INTANGIBLE COSTS","INTANGIBLE COSTS","2160","Cutback","No",-1,"N/A",1000,"2160.3061",0,"DRILLING","Parsley Energy Operations, LLC",1,"No","No","No",2019-11-01 00:00:00.000,1,"Friday","November",11,"November 2019","Q4",4,"Q4 2019","Week 44",44,"Week 44 2019","2019 Nov",201911,2019,"2019 Q4","N/A","","42329434090000","",2019-12-13 00:00:00.000,70,2019-09-19 00:00:00.000,"","","",22564,1900-01-01 00:00:00.000,2019-10-21 00:00:00.000,"MIDLAND","MIDLAND BASIN","501196-DIAMOND RIO UNIT BATTERY","DIAMOND RIO UNIT BATTERY","501196","329-MIDLAND","MIDLAND","329","SCOTT AWBREY","SCOTT","AWBREY",2019-12-13 00:00:00.000,"PRODUCING","501154-DIAMOND RIO 9-16-B-4203H","DIAMOND RIO 9-16-B-4203H","501154","Well Completion","WL","AARON WORTHAN","AARON","WORTHAN","","",2019-10-03 00:00:00.000,"City of Midland","HRZ","HORIZONTAL","4000","PRODUCING","WELL","Well","","Ensign T226","",2019-09-04 00:00:00.000,0.89340765,9999-12-31 00:00:00.000,22459,10102,12357,11039.838331,,
"Development Drilling",1,"",67585,"2023","Approved - Active","Original",0,0,,20191002,12721,1,"2160.1066.01 SERVICES - BHA & D.P. INSPECTIONS","SERVICES - BHA & D.P. INSPECTIONS","2160.1066.01","Cutback Capital","DRILLING",1,"2160.0000 INTANGIBLE COSTS","INTANGIBLE COSTS","2160","Cutback","No",-1,"N/A",1000,"2160.1066",0,"DRILLING","Parsley Energy Operations, LLC",1,"No","No","Yes",2020-02-01 00:00:00.000,1,"Saturday","February",2,"February 2020","Q1",1,"Q1 2020","Week 5",5,"Week 5 2020","2020 Feb",202002,2020,"2020 Q1","N/A","","42329434090000","",2019-12-13 00:00:00.000,70,2019-09-19 00:00:00.000,"","","",22564,1900-01-01 00:00:00.000,2019-10-21 00:00:00.000,"MIDLAND","MIDLAND BASIN","501196-DIAMOND RIO UNIT BATTERY","DIAMOND RIO UNIT BATTERY","501196","329-MIDLAND","MIDLAND","329","SCOTT AWBREY","SCOTT","AWBREY",2019-12-13 00:00:00.000,"PRODUCING","501154-DIAMOND RIO 9-16-B-4203H","DIAMOND RIO 9-16-B-4203H","501154","Well Completion","WL","AARON WORTHAN","AARON","WORTHAN","","",2019-10-03 00:00:00.000,"City of Midland","HRZ","HORIZONTAL","4000","PRODUCING","WELL","Well","","Ensign T226","",2019-10-02 00:00:00.000,0.89340765,9999-12-31 00:00:00.000,22459,10102,12357,11039.838331,,
