WELL_LEVEL_TYPE,OPERATOR,WELL_NAME_FKA,WELL_NAME,PROPERTY_NUMBER,WELL_STATUS,WELL_ORIENTATION,BASIN,COUNTY_SHL,STATE_SHL,PAD_NAME,PRIMARY_TARGET_FORMATION,PRODUCING_LATERAL_SLOT_NUMBER,LATITUDE_SHL,LONGITUDE_SHL,LATITUDE_BHL,LONGITUDE_BHL,COORDINATE_DATUM_SHL,COORDINATE_SOURCE_SHL,BLOCK_SHL,TOWNSHIP_SHL,SURVEY_NAME_SHL,SECTION_SHL,ABSTRACT_SHL,ELEVATION_GROUND,BATTERY,DRILLING_PERMIT_NUMBER,REGULATORY_LEASE_NAME,REGULATORY_FIELD,WELL_CLASS_NAME,SURFACE_SPUD_DATE_SHL,SURFACE_END_DATE_SHL,INTERMEDIATE_START_DATE,INTERMEDIATE_END_DATE,PILOT_START_DATE,PILOT_END_DATE,DRILLING_PRODUCTION_START_DATE,RIG_RELEASE_DATE,TOTAL_MEASURED_DEPTH,TOTAL_LATERAL_LENGTH,PRODUCING_METHOD,POP_DATE,FIRST_PRODUCTION_DATE,FOREMAN_NAME,PUMPER_NAME,ESI_ID,Actual Rig Release Date,Rig Released Pad Name,Actual Rig Days,!Test INT Date
"WELL","PARSLEY ENERGY OPERATIONS, LLC","","WAYMORE 2-6-2809H","500387","CANCELLED-PLANNED","HORIZONTAL","MIDLAND BASIN","HOWARD","TX","CANCELLED-PLANNED","LOWER SPRABERRY SHALE","9","29.51118563","-106.62261844","","","NAD27","KINGDOM","","","",,"",,"MIDLAND CANCELLED BATTERY","","","","",,,,,,,,,"",,"",,,"","","",,"",,
"WELL","PARSLEY ENERGY OPERATIONS, LLC","","PATTERSON 5-8-4307H","500338","CANCELLED-PLANNED","HORIZONTAL","MIDLAND BASIN","GLASSCOCK","TX","CANCELLED-PLANNED","WOLFCAMP B","7","29.51118563","-106.62261844","","","NAD27","KINGDOM","","","",,"",,"MIDLAND CANCELLED BATTERY","","","","",,,,,,,,,"",,"",,,"","","",,"",,
"WELL","PARSLEY ENERGY OPERATIONS, LLC","","RINGO 8-9-4311H","690815H","CANCELLED-PLANNED","HORIZONTAL","MIDLAND BASIN","REAGAN","TX","CANCELLED-PLANNED","WOLFCAMP B","11","29.51118563","-106.62261844","","","NAD27","KINGDOM","","","",,"",,"MIDLAND CANCELLED BATTERY","","","","",,,,,,,,,"",,"",,,"","","",,"",,
"WELL","PARSLEY ENERGY OPERATIONS, LLC","","BRYNLEE 9-8-4209H","690904414H","CANCELLED-PLANNED","HORIZONTAL","MIDLAND BASIN","REAGAN","TX","CANCELLED-PLANNED","WOLFCAMP A","9","29.51118563","-106.62261844","","","NAD27","KINGDOM","","","",,"",,"MIDLAND CANCELLED BATTERY","","","","",,,,,,,,,"",,"",,,"","","",,"",,
"WELL","PARSLEY ENERGY OPERATIONS, LLC","","TAYLOR 45-33-4406H","545306H","CANCELLED-PLANNED","HORIZONTAL","MIDLAND BASIN","REAGAN","TX","CANCELLED-PLANNED","WOLFCAMP B LOWER","6","29.51118563","-106.62261844","","","NAD27","KINGDOM","","","",,"",,"MIDLAND CANCELLED BATTERY","","","","",,,,,,,,,"",,"",,,"","","",,"",,
"WELL","PARSLEY ENERGY OPERATIONS, LLC","","LUCY 25-36-4403H","517804H","CANCELLED-PLANNED","HORIZONTAL","MIDLAND BASIN","MIDLAND","TX","CANCELLED-PLANNED","WOLFCAMP B LOWER","3","29.51118563","-106.62261844","","","NAD27","KINGDOM","","","",,"",,"MIDLAND CANCELLED BATTERY","","","","",,,,,,,,,"",,"",,,"","","",,"",,
"WELL","PARSLEY ENERGY OPERATIONS, LLC","","KATHRYN 43-42-4205H","522109H","CANCELLED-PLANNED","HORIZONTAL","MIDLAND BASIN","REAGAN","TX","CANCELLED-PLANNED","WOLFCAMP A","5","29.51118563","-106.62261844","","","NAD27","KINGDOM","","","",,"",,"MIDLAND CANCELLED BATTERY","","","","",,,,,,,,,"",,"",,,"","","",,"",,
"WELL","PARSLEY ENERGY OPERATIONS, LLC","","TERRELL 1-12-4211H","500220","CANCELLED-PLANNED","HORIZONTAL","MIDLAND BASIN","MARTIN","TX","CANCELLED-PLANNED","WOLFCAMP A","11","29.51118563","-106.62261844","","","NAD27","KINGDOM","","","",,"",,"MIDLAND CANCELLED BATTERY","","","","",,,,,,,,,"",,"",,,"","","",,"",,
"WELL","PARSLEY ENERGY OPERATIONS, LLC","","DUSEK 44-5-4216H","201007H","CANCELLED-PLANNED","HORIZONTAL","MIDLAND BASIN","MIDLAND","TX","CANCELLED-PLANNED","WOLFCAMP A","16","29.51118563","-106.62261844","","","NAD27","KINGDOM","","","",,"",,"MIDLAND CANCELLED BATTERY","","","","",,,,,,,,,"",,"",,,"","","",,"",,
"WELL","PARSLEY ENERGY OPERATIONS, LLC","","RINGO 10-7-4411H","691014H","CANCELLED-PLANNED","HORIZONTAL","MIDLAND BASIN","REAGAN","TX","CANCELLED-PLANNED","WOLFCAMP B LOWER","11","29.51118563","-106.62261844","","","NAD27","KINGDOM","","","",,"",,"MIDLAND CANCELLED BATTERY","","","","",,,,,,,,,"",,"",,,"","","",,"",,
"WELL","PARSLEY ENERGY OPERATIONS, LLC","","NAIL RANCH 4-35-2807H","500366","CANCELLED-PLANNED","HORIZONTAL","MIDLAND BASIN","MARTIN","TX","CANCELLED-PLANNED","SPRABERRY LOWER SHALE","7","29.51118563","-106.62261844","","","NAD27","KINGDOM","","","",,"",,"MIDLAND CANCELLED BATTERY","","","","",,,,,,,,,"",,"",,,"","","",,"",,
"WELL","PARSLEY ENERGY OPERATIONS, LLC","","RINGO 8-9-4207H","690808H","CANCELLED-PLANNED","HORIZONTAL","MIDLAND BASIN","REAGAN","TX","CANCELLED-PLANNED","WOLFCAMP A","7","29.51118563","-106.62261844","","","NAD27","KINGDOM","","","",,"",,"MIDLAND CANCELLED BATTERY","","","","",,,,,,,,,"",,"",,,"","","",,"",,
"WELL","PARSLEY ENERGY OPERATIONS, LLC","","HUBBARD 26-35-4211H","500314","CANCELLED-PLANNED","HORIZONTAL","MIDLAND BASIN","GLASSCOCK","TX","CANCELLED-PLANNED","WOLFCAMP A","11","29.51118563","-106.62261844","","","NAD27","KINGDOM","","","",,"",,"MIDLAND CANCELLED BATTERY","","","","",,,,,,,,,"",,"",,,"","","",,"",,
"WELL","PARSLEY ENERGY OPERATIONS, LLC","","FRANKLIN 22B-22-4201H","526203H","CANCELLED-PLANNED","HORIZONTAL","MIDLAND BASIN","UPTON","TX","CANCELLED-PLANNED","WOLFCAMP A","1","29.51118563","-106.62261844","","","NAD27","KINGDOM","","","",,"",,"MIDLAND CANCELLED BATTERY","","","","",,,,,,,,,"",,"",,,"","","",,"",,
