Key,Date,CumulativeCases,CumulativeDeaths,State,Incremental cases,IncrementalDeaths,total_vaccinations,total_distributed,people_vaccinated,People fully vaccinated per hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
"State_Washington",2020-02-16 00:00:00.000,1,0,"Washington",0,0,,,,,,,,,,,,
"State_Arizona",2020-02-04 00:00:00.000,1,0,"Arizona",0,0,,,,,,,,,,,,
"State_Massachusetts",2020-02-08 00:00:00.000,1,0,"Massachusetts",0,0,,,,,,,,,,,,
"State_Massachusetts",2020-02-09 00:00:00.000,1,0,"Massachusetts",0,0,,,,,,,,,,,,
"State_Massachusetts",2020-02-23 00:00:00.000,1,0,"Massachusetts",0,0,,,,,,,,,,,,
"State_Vermont",2020-03-08 00:00:00.000,1,0,"Vermont",0,0,,,,,,,,,,,,
"State_Arizona",2020-02-03 00:00:00.000,1,0,"Arizona",0,0,,,,,,,,,,,,
"State_North Dakota",2020-03-12 00:00:00.000,1,0,"North Dakota",0,0,,,,,,,,,,,,
"State_Wisconsin",2020-02-23 00:00:00.000,1,0,"Wisconsin",0,0,,,,,,,,,,,,
"State_Kentucky",2020-03-07 00:00:00.000,1,0,"Kentucky",0,0,,,,,,,,,,,,
"State_Wisconsin",2020-03-08 00:00:00.000,1,0,"Wisconsin",0,0,,,,,,,,,,,,
"State_Washington",2020-02-13 00:00:00.000,1,0,"Washington",0,0,,,,,,,,,,,,
"State_Washington",2020-02-15 00:00:00.000,1,0,"Washington",0,0,,,,,,,,,,,,
"State_Arizona",2020-03-02 00:00:00.000,1,0,"Arizona",0,0,,,,,,,,,,,,
"State_North Dakota",2020-03-13 00:00:00.000,1,0,"North Dakota",0,0,,,,,,,,,,,,
"State_Washington",2020-02-01 00:00:00.000,1,0,"Washington",0,0,,,,,,,,,,,,
"State_Arizona",2020-02-20 00:00:00.000,1,0,"Arizona",0,0,,,,,,,,,,,,
"State_Arizona",2020-02-18 00:00:00.000,1,0,"Arizona",0,0,,,,,,,,,,,,
"State_Massachusetts",2020-02-24 00:00:00.000,1,0,"Massachusetts",0,0,,,,,,,,,,,,
"State_Wisconsin",2020-02-24 00:00:00.000,1,0,"Wisconsin",0,0,,,,,,,,,,,,
"State_Wisconsin",2020-02-11 00:00:00.000,1,0,"Wisconsin",0,0,,,,,,,,,,,,
"State_Alaska",2020-03-14 00:00:00.000,1,0,"Alaska",0,0,,,,,,,,,,,,
"State_Wisconsin",2020-02-09 00:00:00.000,1,0,"Wisconsin",0,0,,,,,,,,,,,,
"State_Arizona",2020-02-17 00:00:00.000,1,0,"Arizona",0,0,,,,,,,,,,,,
"State_Washington",2020-02-02 00:00:00.000,1,0,"Washington",0,0,,,,,,,,,,,,
"State_Massachusetts",2020-02-22 00:00:00.000,1,0,"Massachusetts",0,0,,,,,,,,,,,,
"State_Wisconsin",2020-03-07 00:00:00.000,1,0,"Wisconsin",0,0,,,,,,,,,,,,
"State_Wisconsin",2020-02-20 00:00:00.000,1,0,"Wisconsin",0,0,,,,,,,,,,,,
"State_U.S. Virgin Islands",2020-03-15 00:00:00.000,1,0,"U.S. Virgin Islands",0,0,,,,,,,,,,,,
"State_Wisconsin",2020-02-10 00:00:00.000,1,0,"Wisconsin",0,0,,,,,,,,,,,,
"State_Kansas",2020-03-08 00:00:00.000,1,0,"Kansas",0,0,,,,,,,,,,,,
"State_Oregon",2020-02-29 00:00:00.000,1,0,"Oregon",0,0,,,,,,,,,,,,
"State_Utah",2020-03-03 00:00:00.000,1,0,"Utah",0,0,,,,,,,,,,,,
"State_Utah",2020-03-04 00:00:00.000,1,0,"Utah",0,0,,,,,,,,,,,,
"State_Alaska",2020-03-13 00:00:00.000,1,0,"Alaska",0,0,,,,,,,,,,,,
"State_Utah",2020-03-05 00:00:00.000,1,0,"Utah",0,0,,,,,,,,,,,,
"State_Wisconsin",2020-02-06 00:00:00.000,1,0,"Wisconsin",0,0,,,,,,,,,,,,
"State_Massachusetts",2020-02-11 00:00:00.000,1,0,"Massachusetts",0,0,,,,,,,,,,,,
"State_Wisconsin",2020-02-25 00:00:00.000,1,0,"Wisconsin",0,0,,,,,,,,,,,,
"State_Massachusetts",2020-02-25 00:00:00.000,1,0,"Massachusetts",0,0,,,,,,,,,,,,
"State_Arizona",2020-02-19 00:00:00.000,1,0,"Arizona",0,0,,,,,,,,,,,,
"State_Illinois",2020-01-29 00:00:00.000,1,0,"Illinois",0,0,,,,,,,,,,,,
"State_Arizona",2020-02-06 00:00:00.000,1,0,"Arizona",0,0,,,,,,,,,,,,
"State_Washington",2020-01-31 00:00:00.000,1,0,"Washington",0,0,,,,,,,,,,,,
"State_Washington",2020-02-05 00:00:00.000,1,0,"Washington",0,0,,,,,,,,,,,,
"State_North Dakota",2020-03-15 00:00:00.000,1,0,"North Dakota",0,0,,,,,,,,,,,,
"State_Wisconsin",2020-02-21 00:00:00.000,1,0,"Wisconsin",0,0,,,,,,,,,,,,
"State_Massachusetts",2020-02-05 00:00:00.000,1,0,"Massachusetts",0,0,,,,,,,,,,,,
"State_Wisconsin",2020-03-04 00:00:00.000,1,0,"Wisconsin",0,0,,,,,,,,,,,,
"State_Washington",2020-01-22 00:00:00.000,1,0,"Washington",0,0,,,,,,,,,,,,
"State_New York",2020-03-02 00:00:00.000,1,0,"New York",0,0,,,,,,,,,,,,
"State_Wisconsin",2020-02-19 00:00:00.000,1,0,"Wisconsin",0,0,,,,,,,,,,,,
"State_Massachusetts",2020-02-06 00:00:00.000,1,0,"Massachusetts",0,0,,,,,,,,,,,,
"State_Arizona",2020-02-14 00:00:00.000,1,0,"Arizona",0,0,,,,,,,,,,,,
"State_Massachusetts",2020-02-21 00:00:00.000,1,0,"Massachusetts",0,0,,,,,,,,,,,,
"State_Arizona",2020-02-28 00:00:00.000,1,0,"Arizona",0,0,,,,,,,,,,,,
"State_North Dakota",2020-03-16 00:00:00.000,1,0,"North Dakota",0,0,,,,,,,,,,,,
