ID,ISO,COUNTRY,REGION,Category,Measure,Specific Group Targeted,Comments,NON_COMPLIANCE,Date implemented,Source,Source type,LINK,Entry date,Alternative source,Max Daily Vaccinations,Daily Cases When Implemented,Change in cases after 60 days,Non compliance result
410,"AUT","Austria","Europe","Governance and socio-economic measures","Economic measures","False","announcement of economic measures including loans for private businesses","Not applicable",2020-03-14 00:00:00.000,"Government","Government","https://www.oesterreich.gv.at/themen/coronavirus_in_oesterreich/corona_krisenbew%C3%A4ltigungsfonds_fuer_unternehmen_und_arbeitsplaetze.html",2020-03-15 00:00:00.000,"",,143,-107,"Not applicable"
866,"AUT","Austria","Europe","Governance and socio-economic measures","Economic measures","False","Appeal to not purchase products online, but wait and support the local economy post-crises","Not applicable",2020-03-18 00:00:00.000,"Government","Government","https://www.tirol.gv.at/meldungen/meldung/artikel/lrin-zoller-frischauf-spaeter-in-tirol-kaufen-statt-jetzt-von-der-couch-aus-weltweit-bestellen/",2020-03-20 00:00:00.000,"",,316,-244,"Not applicable"
3726,"AUT","Austria","Europe","Governance and socio-economic measures","Economic measures","False","Extension of the framework of previous measures; crisis fond expanded to 28 bn. EUR; ""Hï¿½rtefallfonds"" expanded to 2 bn. EUR","Not applicable",2020-04-01 00:00:00.000,"Government","Government","https://www.ots.at/presseaussendung/OTS_20200403_OTS0002/corona-krise-die-beschluesse-des-budgetausschusses-im-detail",2020-04-03 00:00:00.000,"",,564,-520,"Not applicable"
7580,"AUT","Austria","Europe","Governance and socio-economic measures","Economic measures","False","VAT suspension for face masks","Not applicable",2020-04-24 00:00:00.000,"Government","Government","https://www.ots.at/presseaussendung/OTS_20200424_OTS0196/budgetausschuss-beschliesst-mit-weiteren-covid-19-gesetzen-unter-anderem-garantien-fuer-eu-hilfspakete",2020-04-25 00:00:00.000,"",,61,-26,"Not applicable"
7581,"AUT","Austria","Europe","Governance and socio-economic measures","Economic measures","False","650 Mio. ï¿½ for guarantee fonds of EU Investment bank and EU short-term work programme","Not applicable",2020-04-24 00:00:00.000,"Government","Government","https://www.ots.at/presseaussendung/OTS_20200424_OTS0196/budgetausschuss-beschliesst-mit-weiteren-covid-19-gesetzen-unter-anderem-garantien-fuer-eu-hilfspakete",2020-04-25 00:00:00.000,"",,61,-26,"Not applicable"
88,"BEL","Belgium","Europe","Governance and socio-economic measures","Economic measures","False","Temporary layoffs due to force majeure; Temporary layoffs for economic reasons; Payment plan for employer's social security contributions; Payment plan VAT; Payment plan for withholding tax; Payment plan for personal/corporate tax; Reduction of prepayment for self-employed; Delay or exemption of the payment for employer's social security contributions for self-employed; Obtaining a replacement income for self-employed (bridging right); Flexibility in the execution of federal public contracts","Not applicable",2020-03-13 00:00:00.000,"Government","Government","https://www.info-coronavirus.be/en/2020/03/12/phase-2-maintained-transition-to-the-federal-phase-and-additional-measures/",2020-03-14 00:00:00.000,"",,250,226,"Not applicable"
898,"BEL","Belgium","Europe","Governance and socio-economic measures","Economic measures","False","Financial aid package of 1 billion for hospitals to cover loss of income and oustanding COVID-19 measures","Not applicable",2020-03-20 00:00:00.000,"Government","Government","https://www.health.belgium.be/nl/news/covid-19-federale-financiele-steun-voor-de-ziekenhuizen",2020-03-20 00:00:00.000,"",,713,-396,"Not applicable"
2737,"BEL","Belgium","Europe","Governance and socio-economic measures","Economic measures","False","Coronavirus: launch of the second part of the Federal Plan for Social and Economic Protection: support for lay-offs, self-employed persons who had negative economic impacts and SMEs and businesses","Not applicable",2020-03-20 00:00:00.000,"Government","Government","https://www.belgium.be/nl/nieuws/2020/coronavirus_lancering_van_het_tweede_luik_van_het_federaal_plan_voor_sociale_en",2020-03-27 00:00:00.000,"",,713,-396,"Not applicable"
5331,"BEL","Belgium","Europe","Governance and socio-economic measures","Economic measures","False","temporary moratorium on corporate bankruptcies; possibility of short consecutive fixed-term contracts in critical sectors; granting of a state guarantee for certain credits","Not applicable",2020-04-11 00:00:00.000,"Government","Government","https://www.belgium.be/nl/nieuws/2020/extra_socio_economische_en_gezondheidsmaatregelen_de_strijd_tegen_covid_19",2020-04-14 00:00:00.000,"",,2336,-2191,"Not applicable"
5330,"BEL","Belgium","Europe","Governance and socio-economic measures","Economic measures","False","Exemption of tax for voluntary overtime; relaxation of flexible working hours; Freezing the degressivity of unemployment benefits","Not applicable",2020-04-11 00:00:00.000,"Government","Government","https://www.belgium.be/nl/nieuws/2020/extra_socio_economische_en_gezondheidsmaatregelen_de_strijd_tegen_covid_19",2020-04-14 00:00:00.000,"",,2336,-2191,"Not applicable"
9915,"BEL","Belgium","Europe","Governance and socio-economic measures","Economic measures","False","Government extends the period of validity of meal vouchers, eco vouchers, gift vouchers and sports / culture vouchers with an expiry date.","Not applicable",2020-05-09 00:00:00.000,"Government","Government","https://news.belgium.be/nl/covid-19-verlenging-van-de-geldigheidsduur-van-bepaalde-cheques",2020-05-11 00:00:00.000,"",,483,-384,"Not applicable"
13496,"BEL","Belgium","Europe","Governance and socio-economic measures","Economic measures","False","Extension of voucher system for event organizers","Not applicable",2020-06-07 00:00:00.000,"Government","Government","https://news.belgium.be/nl/covid-19-verlenging-van-het-vouchersysteem-voor-organisatoren-van-evenementen",2020-06-11 00:00:00.000,"",,69,698,"Not applicable"
905,"BIH","Bosnia and Herzegovina","Europe","Governance and socio-economic measures","Economic measures","False","Government freezes price for essential goods and medical products to the level of March 5th","Not applicable",2020-03-16 00:00:00.000,"Government","Government","http://www.fbihvlada.gov.ba/bosanski/aktuelno_v2.php?akt_id=8421",2020-03-20 00:00:00.000,"",,5,30,"Not applicable"
938,"BIH","Bosnia and Herzegovina","Europe","Governance and socio-economic measures","Economic measures","False","Tax reductions on income tax according to the type of employment; set to last until end of year","Not applicable",2020-03-16 00:00:00.000,"Government","Government","http://www.fbihvlada.gov.ba/bosanski/aktuelno_v2.php?akt_id=8422",2020-03-20 00:00:00.000,"",,5,30,"Not applicable"
2744,"BIH","Bosnia and Herzegovina","Europe","Governance and socio-economic measures","Economic measures","False","Tax Administration enables the deferral of tax payments, to ensure liquidity","Not applicable",2020-03-24 00:00:00.000,"Government","Government","http://www.fbihvlada.gov.ba/bosanski/aktuelno_v2.php?akt_id=8454",2020-03-27 00:00:00.000,"",,33,-14,"Not applicable"
