X,Y,Index_,ACCNUM,YEAR,DATE,TIME,HOUR,STREET1,Night,STREET2,OFFSET,ROAD_CLASS,District,WardNum,Division,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,VISIBILITY_Clear,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,Age Class,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,PEDESTRIAN_Yes,CYCLIST,CYCLIST_Yes,AUTOMOBILE,AUTOMOBILE_Yes,MOTORCYCLE,MOTORCYCLE_Yes,TRUCK,TRUCK_Yes,TRSN_CITY_VEH,TRSN_CITY_VEH_Yes,EMERG_VEH,EMERG_VEH_Yes,PASSENGER,PASSENGER_Yes,SPEEDING,SPEEDING_Yes,AG_DRIV,AG_DRIV_Yes,REDLIGHT,REDLIGHT_Yes,ALCOHOL,ALCOHOL_Yes,DISABILITY,DISABILITY_Yes,Hood_ID,Neighbourhood,ObjectId,Validation,Lin[Fatal],Prob[Fatal],Prob[Non-Fatal Injury],Most Likely ACCLASS 2,Correct
-8822213.24751005,5425855.9837657,3551025,884135,2006,2006-01-10 00:00:00.000,804,8,"BRIMLEY RD","day","GULLY DR","","Major Arterial","Scarborough",21,43,43.743645,-79.25129,"Intersection","At Intersection","No Control","Clear",1,"Daylight","Dry","Non-Fatal Injury","Approaching","Driver","55 to 59","","Major","","South","Automobile, Station Wagon","Going Ahead","Driving Properly","Normal","","","","","","","",0,"",0,"Yes",1,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"Yes",1,127,"Bendale (127)",40,0,-2.3412099912258446,0.087766989823751321,0.91223301017624858,"Non-Fatal Injury",1
-8847794.46649435,5432175.75977947,3457601,918775,2006,2006-07-24 00:00:00.000,1428,14,"STEELES AVE W","day","ALNESS ST","","Major Arterial","North York",6,32,43.784645,-79.48109,"Intersection","At Intersection","Traffic Signal","Clear",1,"Daylight","Dry","Non-Fatal Injury","Sideswipe","Driver","60 to 64","","Major","","North","Automobile, Station Wagon","Going Ahead","Driving Properly","Normal","","","","","","","",0,"",0,"Yes",1,"",0,"",0,"",0,"",0,"Yes",1,"",0,"",0,"",0,"",0,"",0,27,"York University Heights (27)",126,1,-3.9799929890662158,0.018343016940051408,0.98165698305994864,"Non-Fatal Injury",1
-8833656.8911636,5434488.95580695,3467915,922598,2006,2006-07-30 00:00:00.000,1435,14,"DON MILLS RD","day","MCNICOLL AVE","","Major Arterial","North York",17,33,43.799645,-79.35409,"Intersection","At Intersection","Traffic Signal","Clear",1,"Daylight","Dry","Non-Fatal Injury","Turning Movement","Driver","45 to 49","","Minimal","","North","Automobile, Station Wagon","Going Ahead","Driving Properly","Normal","","","","","","","",0,"",0,"Yes",1,"",0,"",0,"",0,"",0,"Yes",1,"",0,"",0,"",0,"",0,"",0,48,"Hillcrest Village (48)",147,1,-2.97480650935188,0.048577096196505347,0.95142290380349459,"Non-Fatal Injury",1
-8834102.16912678,5433301.4426584,3451602,916541,2006,2006-07-31 00:00:00.000,632,6,"FINCH AVE E","day","BRAHMS AVE","","Major Arterial","North York",17,33,43.791945,-79.35809,"Intersection","At Intersection","Traffic Signal","Clear",1,"Daylight","Dry","Non-Fatal Injury","Pedestrian Collisions","Driver","30 to 34","","None","","West","Automobile, Station Wagon","Going Ahead","Driving Properly","Normal","","","","","","","Yes",1,"",0,"Yes",1,"",0,"",0,"",0,"",0,"Yes",1,"",0,"",0,"",0,"",0,"",0,47,"Don Valley Village (47)",154,1,-2.0755298405314786,0.11149804007485148,0.88850195992514847,"Non-Fatal Injury",1
-8839690.4075646,5428691.64021183,3603522,920424,2006,2006-08-03 00:00:00.000,1831,18,"SHEPPARD AVE E","night","DORIS AVE","","Major Arterial","North York",18,32,43.762045,-79.40829,"Intersection","","Traffic Signal","Clear",1,"Daylight","Dry","Non-Fatal Injury","Pedestrian Collisions","Driver","55 to 59","","None","","West","Automobile, Station Wagon","Going Ahead","Driving Properly","Normal","","","","","","","Yes",1,"",0,"Yes",1,"",0,"",0,"",0,"",0,"",0,"",0,"Yes",1,"",0,"",0,"",0,51,"Willowdale East (51)",179,0,-2.3439489050222937,0.087547949028783073,0.912452050971217,"Non-Fatal Injury",1
-8835115.17649299,5421142.09306588,3388768,893071,2006,2006-02-19 00:00:00.000,1508,15,"EGLINTON AVE E","day","SUTHERLAND DR","","Major Arterial","North York",15,53,43.713045,-79.36719,"Intersection","At Intersection","Traffic Signal","Clear",1,"Daylight","Dry","Non-Fatal Injury","Pedestrian Collisions","Driver","45 to 49","","None","","West","Automobile, Station Wagon","Going Ahead","Driving Properly","Normal","","","","","","","Yes",1,"",0,"Yes",1,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,56,"Leaside-Bennington (56)",240,0,-2.3314430029996087,0.08855212837729072,0.91144787162270924,"Non-Fatal Injury",1
-8859661.12421291,5413906.48848997,3380900,890040,2006,2006-02-24 00:00:00.000,837,8,"EGLINTON AVE W","day","RENFORTH DR","","Major Arterial","Etobicoke York",2,22,43.666045,-79.58769,"Intersection","At Intersection","Traffic Signal","Clear",1,"Daylight","Dry","Non-Fatal Injury","Pedestrian Collisions","Driver","35 to 39","","None","","West","Automobile, Station Wagon","Going Ahead","Driving Properly","Normal","","","","","","","Yes",1,"",0,"Yes",1,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,11,"Eringate-Centennial-West Deane (11)",255,1,-2.2836427358525766,0.092486753333478056,0.90751324666652189,"Non-Fatal Injury",1
-8839512.29637933,5425933.02812536,3410196,901141,2006,2006-05-06 00:00:00.000,1830,18,"YONGE ST","night","WILSON AVE","","Major Arterial","North York",,32,43.744145,-79.40669,"Intersection","At Intersection","Traffic Signal","Clear",1,"Daylight","Dry","Non-Fatal Injury","Turning Movement","Driver","25 to 29","","Minor","","South","Automobile, Station Wagon","Going Ahead","Driving Properly","Normal","","","","","","","",0,"",0,"Yes",1,"",0,"",0,"",0,"",0,"Yes",1,"",0,"",0,"",0,"",0,"Yes",1,40,"St.Andrew-Windfields (40)",302,0,-2.9399994458093675,0.050211299619680488,0.94978870038031959,"Non-Fatal Injury",1
-8850065.38410653,5407829.88186556,3424043,906284,2006,2006-05-09 00:00:00.000,710,7,"THE QUEENSWAY","day","MORGAN AVE","","Major Arterial","Etobicoke York",3,22,43.626545,-79.50149,"Intersection","At Intersection","Stop Sign","Clear",1,"Daylight","Dry","Non-Fatal Injury","Turning Movement","Driver","35 to 39","","None","","East","Automobile, Station Wagon","Going Ahead","Driving Properly","Normal","","","","","","","",0,"",0,"Yes",1,"",0,"",0,"",0,"",0,"Yes",1,"",0,"",0,"",0,"",0,"",0,16,"Stonegate-Queensway (16)",316,1,-2.9270062422048477,0.050834580933447122,0.94916541906655283,"Non-Fatal Injury",1
-8820777.22607882,5425116.39065066,3432931,909606,2006,2006-06-01 00:00:00.000,1203,12,"MCCOWAN RD","day","EGLINTON AVE E","","Major Arterial","Scarborough",,43,43.738845,-79.23839,"Intersection","At Intersection","Traffic Signal","Clear",1,"Daylight","Dry","Non-Fatal Injury","Turning Movement","Driver","20 to 24","","Major","","South","Automobile, Station Wagon","Going Ahead","Driving Properly","Normal","","","","","","","",0,"",0,"Yes",1,"",0,"",0,"",0,"",0,"Yes",1,"",0,"Yes",1,"",0,"Yes",1,"",0,138,"Eglinton East (138)",391,1,-3.3547421879524455,0.033740217912017791,0.96625978208798224,"Non-Fatal Injury",1
