ProductKey,OrderDate,ShipDate,CustomerKey,PromotionKey,SalesTerritoryKey,SalesOrderNumber,SalesOrderLineNumber,OrderQuantity,UnitPrice,TotalProductCost,SalesAmount,TaxAmt,Total Sales Amount
314,2014-01-03 00:00:00.000,2014-01-10 00:00:00.000,16517,1,9,"SO43710",1,1,3578.27,2171.2942,3578.27,286.2616,3864.5316
314,2014-01-05 00:00:00.000,2014-01-12 00:00:00.000,16483,1,9,"SO43715",1,1,3578.27,2171.2942,3578.27,286.2616,3864.5316
314,2014-01-19 00:00:00.000,2014-01-26 00:00:00.000,16526,1,9,"SO43773",1,1,3578.27,2171.2942,3578.27,286.2616,3864.5316
314,2014-01-27 00:00:00.000,2014-02-03 00:00:00.000,16496,1,9,"SO43816",1,1,3578.27,2171.2942,3578.27,286.2616,3864.5316
314,2014-02-02 00:00:00.000,2014-02-09 00:00:00.000,16661,1,9,"SO43925",1,1,3578.27,2171.2942,3578.27,286.2616,3864.5316
314,2014-02-03 00:00:00.000,2014-02-10 00:00:00.000,16662,1,9,"SO43927",1,1,3578.27,2171.2942,3578.27,286.2616,3864.5316
314,2014-02-04 00:00:00.000,2014-02-11 00:00:00.000,16741,1,9,"SO43932",1,1,3578.27,2171.2942,3578.27,286.2616,3864.5316
314,2014-02-10 00:00:00.000,2014-02-17 00:00:00.000,16685,1,9,"SO43963",1,1,3578.27,2171.2942,3578.27,286.2616,3864.5316
314,2014-02-11 00:00:00.000,2014-02-18 00:00:00.000,16657,1,9,"SO43971",1,1,3578.27,2171.2942,3578.27,286.2616,3864.5316
314,2014-02-17 00:00:00.000,2014-02-24 00:00:00.000,16929,1,9,"SO43993",1,1,3578.27,2171.2942,3578.27,286.2616,3864.5316
314,2014-02-22 00:00:00.000,2014-02-28 00:00:00.000,16663,1,9,"SO44024",1,1,3578.27,2171.2942,3578.27,286.2616,3864.5316
314,2014-02-22 00:00:00.000,2014-02-28 00:00:00.000,16708,1,9,"SO44025",1,1,3578.27,2171.2942,3578.27,286.2616,3864.5316
314,2014-02-24 00:00:00.000,2014-02-28 00:00:00.000,16693,1,9,"SO44033",1,1,3578.27,2171.2942,3578.27,286.2616,3864.5316
314,2014-02-28 00:00:00.000,2014-03-04 00:00:00.000,16637,1,9,"SO44052",1,1,3578.27,2171.2942,3578.27,286.2616,3864.5316
314,2014-03-01 00:00:00.000,2014-03-08 00:00:00.000,17328,1,9,"SO44137",1,1,3578.27,2171.2942,3578.27,286.2616,3864.5316
314,2014-03-04 00:00:00.000,2014-03-11 00:00:00.000,17055,1,9,"SO44157",1,1,3578.27,2171.2942,3578.27,286.2616,3864.5316
314,2014-03-06 00:00:00.000,2014-03-13 00:00:00.000,17308,1,9,"SO44167",1,1,3578.27,2171.2942,3578.27,286.2616,3864.5316
314,2014-03-14 00:00:00.000,2014-03-21 00:00:00.000,17295,1,9,"SO44196",1,1,3578.27,2171.2942,3578.27,286.2616,3864.5316
314,2014-03-19 00:00:00.000,2014-03-26 00:00:00.000,17255,1,9,"SO44221",1,1,3578.27,2171.2942,3578.27,286.2616,3864.5316
314,2014-04-05 00:00:00.000,2014-04-12 00:00:00.000,18188,1,9,"SO44338",1,1,3578.27,2171.2942,3578.27,286.2616,3864.5316
