numero_boletim,data hora_boletim,data_inclusao,tipo_acidente,desc_tipo_acidente,cod_tempo,desc_tempo,cod_pavimento,pavimento,cod_regional,desc_regional,origem_boletim,local_sinalizado,velocidade_permitida,coordenada_x,coordenada_y,hora_informada,indicador_fatalidade,valor_ups,descricao_ups,data_alteracao_smsa,valor_ups_antiga,descricao_ups_antiga
2017-008801528-001,2017-04-26 21:35:00.000,2017-04-26 23:55:00.000, H01002,ABALROAMENTO COM VITIMA,1,BOM,1,ASFALTO,20,LESTE,POLICIA MILITAR,NÃO,0,61565781,779991821,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-001848652-001,2017-01-25 11:34:00.000,2017-01-25 15:56:00.000, H01002,ABALROAMENTO COM VITIMA,1,BOM,1,ASFALTO,20,LESTE,POLICIA MILITAR,NÃO,0,61283968,779908448,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-027341317-001,2017-09-26 12:43:00.000,2017-09-26 18:17:00.000, H08002,CHOQUE MECANICO COM VITIMA,1,BOM,1,ASFALTO,20,LESTE,POLICIA MILITAR,NÃO,0,61382581,780032938,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-032530798-001,2017-10-30 08:02:00.000,2017-10-30 09:16:00.000, H01002,ABALROAMENTO COM VITIMA,2,CHUVA,1,ASFALTO,18,BARREIRO,POLICIA MILITAR,NÃO,0,60217360,778897952,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-026725130-001,2017-09-22 12:23:00.000,2017-09-22 14:26:00.000, H01002,ABALROAMENTO COM VITIMA,0,NAO INFORMADO,0,NAO INFORMADO,22,NOROESTE,POLICIA MILITAR,NÃO,0,60440700,779768495,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2018-000000013-001,2017-12-31 23:52:00.000,2017-12-31 23:59:00.000, H08002,CHOQUE MECANICO COM VITIMA,0,NAO INFORMADO,0,NAO INFORMADO,26,VENDA NOVA,POLICIA MILITAR,NÃO,0,60879292,780877808,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-030352249-002,2017-10-16 14:16:00.000,2017-10-16 16:27:00.000, H09002,COLISAO DE VEICULOS COM VITIMA,0,NAO INFORMADO,0,NAO INFORMADO,21,NORDESTE,POLICIA MILITAR,NÃO,0,61208527,780073490,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-010026888-001,2017-05-13 09:57:00.000,2017-05-13 19:49:00.000, H01002,ABALROAMENTO COM VITIMA,1,BOM,1,ASFALTO,24,OESTE,POLICIA MILITAR,NÃO,0,60623472,779311215,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2017-002512406-001,2017-02-03 07:16:00.000,2017-02-03 09:59:00.000, H08002,CHOQUE MECANICO COM VITIMA,0,NAO INFORMADO,0,NAO INFORMADO,19,CENTRO-SUL,POLICIA MILITAR,NÃO,0,61006919,779347610,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
2018-019431903-001,2017-05-02 17:13:00.000,2018-05-02 17:25:00.000, H02002,CAPOTAMENTO/TOMBAMENTO COM VITIMA,1,BOM,1,ASFALTO,23,NORTE,POLICIA MILITAR,NÃO,0,61315515,780512997,SIM,NÃO,0,NÃO INFORMADO,00/00/0000,0,NÃO INFORMADO
