numero_boletim,data hora_boletim,data_inclusao,tipo_acidente,desc_tipo_acidente,cod_tempo,desc_tempo,cod_pavimento,pavimento,cod_regional,desc_regional,origem_boletim,local_sinalizado,velocidade_permitida,coordenada_x,coordenada_y,hora_informada,indicador_fatalidade,valor_ups,descricao_ups,data_alteracao_smsa,valor_ups_antiga,descricao_ups_antiga
"2018-032437711-001",2018-07-23 13:54:00.000,2018-07-23 13:58:00.000," H01002","ABALROAMENTO COM VITIMA",0,"NAO INFORMADO",0,"NAO INFORMADO",20,"LESTE","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO","00/00/0000",0,"NÃO INFORMADO"
"2018-007881998-001",2018-02-21 07:15:00.000,2018-02-21 08:52:00.000," H01002","ABALROAMENTO COM VITIMA",0,"NAO INFORMADO",0,"NAO INFORMADO",0,"","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO","00/00/0000",0,"NÃO INFORMADO"
"2018-009650841-001",2018-03-03 11:02:00.000,2018-03-03 12:45:00.000," H01002","ABALROAMENTO COM VITIMA",0,"NAO INFORMADO",0,"NAO INFORMADO",22,"NOROESTE","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO","00/00/0000",0,"NÃO INFORMADO"
"2018-001997047-001",2018-01-14 23:23:00.000,2018-01-15 01:14:00.000," H01002","ABALROAMENTO COM VITIMA",0,"NAO INFORMADO",0,"NAO INFORMADO",22,"NOROESTE","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO","00/00/0000",0,"NÃO INFORMADO"
"2018-010007853-001",2018-03-05 18:00:00.000,2018-03-05 18:14:00.000," H01002","ABALROAMENTO COM VITIMA",0,"NAO INFORMADO",0,"NAO INFORMADO",19,"CENTRO-SUL","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO","00/00/0000",0,"NÃO INFORMADO"
"2018-002108127-001",2018-01-15 16:00:00.000,2018-01-15 17:52:00.000," H01002","ABALROAMENTO COM VITIMA",0,"NAO INFORMADO",0,"NAO INFORMADO",26,"VENDA NOVA","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO","00/00/0000",0,"NÃO INFORMADO"
"2018-002468718-001",2018-01-17 20:47:00.000,2018-01-17 22:56:00.000," H01002","ABALROAMENTO COM VITIMA",0,"NAO INFORMADO",0,"NAO INFORMADO",22,"NOROESTE","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO","00/00/0000",0,"NÃO INFORMADO"
"2018-002470143-001",2018-01-17 20:21:00.000,2018-01-17 23:07:00.000," H01002","ABALROAMENTO COM VITIMA",0,"NAO INFORMADO",0,"NAO INFORMADO",23,"NORTE","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO","00/00/0000",0,"NÃO INFORMADO"
"2018-002612130-001",2018-01-18 18:23:00.000,2018-01-18 20:22:00.000," H01002","ABALROAMENTO COM VITIMA",0,"NAO INFORMADO",0,"NAO INFORMADO",22,"NOROESTE","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO","00/00/0000",0,"NÃO INFORMADO"
"2018-002626384-001",2018-01-18 22:15:00.000,2018-01-18 22:27:00.000," H01002","ABALROAMENTO COM VITIMA",0,"NAO INFORMADO",0,"NAO INFORMADO",22,"NOROESTE","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO","00/00/0000",0,"NÃO INFORMADO"
"2018-008658405-001",2018-02-25 23:41:00.000,2018-02-26 01:04:00.000," H01002","ABALROAMENTO COM VITIMA",0,"NAO INFORMADO",0,"NAO INFORMADO",24,"OESTE","POLICIA MILITAR","NÃO",0,0,0,"SIM","NÃO",0,"NÃO INFORMADO","00/00/0000",0,"NÃO INFORMADO"
