issue id,issue cate,date
36,1,2019-06-04 00:00:00.000
14,1,2019-03-06 00:00:00.000
27,1,2019-05-04 00:00:00.000
31,1,2019-05-08 00:00:00.000
17,2,2019-04-04 00:00:00.000
32,1,2019-05-09 00:00:00.000
22,1,2019-04-09 00:00:00.000
13,1,2019-03-05 00:00:00.000
9,1,2019-03-01 00:00:00.000
18,2,2019-04-05 00:00:00.000
10,2,2019-03-02 00:00:00.000
35,1,2019-06-03 00:00:00.000
1,1,2019-01-01 00:00:00.000
5,1,2019-02-02 00:00:00.000
30,1,2019-05-07 00:00:00.000
16,1,2019-03-08 00:00:00.000
20,1,2019-04-07 00:00:00.000
6,2,2019-02-03 00:00:00.000
12,2,2019-03-04 00:00:00.000
2,1,2019-01-02 00:00:00.000
25,2,2019-05-02 00:00:00.000
3,2,2019-01-03 00:00:00.000
34,1,2019-06-02 00:00:00.000
4,1,2019-02-01 00:00:00.000
33,2,2019-06-01 00:00:00.000
24,2,2019-05-01 00:00:00.000
28,1,2019-05-05 00:00:00.000
11,2,2019-03-03 00:00:00.000
23,1,2019-04-10 00:00:00.000
19,1,2019-04-06 00:00:00.000
26,2,2019-05-03 00:00:00.000
7,2,2019-02-04 00:00:00.000
21,1,2019-04-08 00:00:00.000
8,1,2019-02-05 00:00:00.000
15,1,2019-03-07 00:00:00.000
29,1,2019-05-06 00:00:00.000
