School Name,Subjects,ID
"WHITLEY SECONDARY SCHOOL","PHYSICAL EDUCATION",315
"WOODGROVE PRIMARY SCHOOL","PHYSICAL EDUCATION",316
"WOODGROVE SECONDARY SCHOOL","PHYSICAL EDUCATION",317
"WOODLANDS PRIMARY SCHOOL","PHYSICAL EDUCATION",318
"WOODLANDS RING PRIMARY SCHOOL","PHYSICAL EDUCATION",319
"WOODLANDS SECONDARY SCHOOL","PHYSICAL EDUCATION",321
"XINGHUA PRIMARY SCHOOL","PHYSICAL EDUCATION",322
"XINGNAN PRIMARY SCHOOL","PHYSICAL EDUCATION",323
"XINMIN PRIMARY SCHOOL","PHYSICAL EDUCATION",324
"XISHAN PRIMARY SCHOOL","PHYSICAL EDUCATION",326
"YANGZHENG PRIMARY SCHOOL","PHYSICAL EDUCATION",327
"YEW TEE PRIMARY SCHOOL","PHYSICAL EDUCATION",328
"YIO CHU KANG PRIMARY SCHOOL","PHYSICAL EDUCATION",329
"YIO CHU KANG SECONDARY SCHOOL","PHYSICAL EDUCATION",330
"YISHUN PRIMARY SCHOOL","PHYSICAL EDUCATION",332
"YISHUN SECONDARY SCHOOL","PHYSICAL EDUCATION",333
"YU NENG PRIMARY SCHOOL","PHYSICAL EDUCATION",335
"YUAN CHING SECONDARY SCHOOL","PHYSICAL EDUCATION",336
"YUHUA PRIMARY SCHOOL","PHYSICAL EDUCATION",337
"YUHUA SECONDARY SCHOOL","PHYSICAL EDUCATION",338
"YUMIN PRIMARY SCHOOL","PHYSICAL EDUCATION",339
"YUSOF ISHAK SECONDARY SCHOOL","PHYSICAL EDUCATION",340
"YUYING SECONDARY SCHOOL","PHYSICAL EDUCATION",341
"ZHANGDE PRIMARY SCHOOL","PHYSICAL EDUCATION",342
"ZHENGHUA PRIMARY SCHOOL","PHYSICAL EDUCATION",343
"ZHONGHUA PRIMARY SCHOOL","PHYSICAL EDUCATION",345
"ZHONGHUA SECONDARY SCHOOL","PHYSICAL EDUCATION",346
"ADMIRALTY PRIMARY SCHOOL","PHYSICAL EDUCATION",1
"ADMIRALTY SECONDARY SCHOOL","PHYSICAL EDUCATION",2
"AHMAD IBRAHIM PRIMARY SCHOOL","PHYSICAL EDUCATION",3
"AI TONG SCHOOL","PHYSICAL EDUCATION",5
"ALEXANDRA PRIMARY SCHOOL","PHYSICAL EDUCATION",6
"ANCHOR GREEN PRIMARY SCHOOL","PHYSICAL EDUCATION",7
"ANDERSON PRIMARY SCHOOL","PHYSICAL EDUCATION",8
"ANDERSON SECONDARY SCHOOL","PHYSICAL EDUCATION",9
"ANG MO KIO PRIMARY SCHOOL","PHYSICAL EDUCATION",11
"ANG MO KIO SECONDARY SCHOOL","PHYSICAL EDUCATION",12
"ANGLICAN HIGH SCHOOL","PHYSICAL EDUCATION",13
"ANGLO-CHINESE SCHOOL (BARKER ROAD)","PHYSICAL EDUCATION",15
"ANGLO-CHINESE SCHOOL (JUNIOR)","PHYSICAL EDUCATION",17
"ANGLO-CHINESE SCHOOL (PRIMARY)","PHYSICAL EDUCATION",18
"ANGSANA PRIMARY SCHOOL","PHYSICAL EDUCATION",19
