CurrencyKey,DateKey,AverageRate,EndOfDayRate
100,20010701,1,1
100,20010702,1,1
100,20010703,1,1
100,20010704,1,1
100,20010705,1,1
100,20010706,1,1
100,20010707,1,1
100,20010708,1,1
100,20010709,1,1
100,20010710,1,1
100,20010711,1,1
100,20010712,1,1
100,20010713,1,1
100,20010714,1,1
100,20010715,1,1
100,20010716,1,1
100,20010717,1,1
100,20010718,1,1
100,20010719,1,1
100,20010720,1,1
100,20010721,1,1
100,20010722,1,1
100,20010723,1,1
100,20010724,1,1
100,20010725,1,1
100,20010726,1,1
100,20010727,1,1
100,20010728,1,1
100,20010729,1,1
100,20010730,1,1
100,20010731,1,1
100,20010801,1,1
100,20010802,1,1
100,20010803,1,1
100,20010804,1,1
100,20010805,1,1
100,20010806,1,1
100,20010807,1,1
100,20010808,1,1
100,20010809,1,1
100,20010810,1,1
100,20010811,1,1
100,20010812,1,1
100,20010813,1,1
100,20010814,1,1
100,20010815,1,1
100,20010816,1,1
100,20010817,1,1
100,20010818,1,1
100,20010819,1,1
100,20010820,1,1
100,20010821,1,1
100,20010822,1,1
100,20010823,1,1
100,20010824,1,1
100,20010825,1,1
100,20010826,1,1
100,20010827,1,1
100,20010828,1,1
100,20010829,1,1
100,20010830,1,1
100,20010831,1,1
100,20010901,1,1
100,20010902,1,1
100,20010903,1,1
100,20010904,1,1
100,20010905,1,1
100,20010906,1,1
100,20010907,1,1
100,20010908,1,1
100,20010909,1,1
100,20010910,1,1
100,20010911,1,1
100,20010912,1,1
100,20010913,1,1
100,20010914,1,1
100,20010915,1,1
100,20010916,1,1
100,20010917,1,1
100,20010918,1,1
100,20010919,1,1
100,20010920,1,1
100,20010921,1,1
100,20010922,1,1
100,20010923,1,1
100,20010924,1,1
100,20010925,1,1
100,20010926,1,1
100,20010927,1,1
100,20010928,1,1
100,20010929,1,1
100,20010930,1,1
100,20011001,1,1
100,20011002,1,1
100,20011003,1,1
100,20011004,1,1
100,20011005,1,1
100,20011006,1,1
100,20011007,1,1
100,20011008,1,1
100,20011009,1,1
100,20011010,1,1
100,20011011,1,1
100,20011012,1,1
100,20011013,1,1
100,20011014,1,1
100,20011015,1,1
100,20011016,1,1
100,20011017,1,1
100,20011018,1,1
100,20011019,1,1
100,20011020,1,1
100,20011021,1,1
100,20011022,1,1
100,20011023,1,1
100,20011024,1,1
100,20011025,1,1
100,20011026,1,1
100,20011027,1,1
100,20011028,1,1
100,20011029,1,1
100,20011030,1,1
100,20011031,1,1
100,20011101,1,1
100,20011102,1,1
100,20011103,1,1
100,20011104,1,1
100,20011105,1,1
100,20011106,1,1
100,20011107,1,1
100,20011108,1,1
100,20011109,1,1
100,20011110,1,1
100,20011111,1,1
100,20011112,1,1
100,20011113,1,1
100,20011114,1,1
100,20011115,1,1
100,20011116,1,1
100,20011117,1,1
100,20011118,1,1
100,20011119,1,1
100,20011120,1,1
100,20011121,1,1
100,20011122,1,1
100,20011123,1,1
100,20011124,1,1
100,20011125,1,1
100,20011126,1,1
100,20011127,1,1
