Category,Source.Name,variable,value
Falling,call_100002.csv,Category Sort Order,4
Rising,call_100003.csv,Category Sort Order,2
Falling,call_100005.csv,Category Sort Order,4
Steady Neutral,call_100006.csv,Category Sort Order,3
Falling,call_100007.csv,Category Sort Order,4
Falling,call_100008.csv,Category Sort Order,4
Rising,call_100010.csv,Category Sort Order,2
Falling,call_100012.csv,Category Sort Order,4
Falling,call_100014.csv,Category Sort Order,4
Steady Neutral,call_100018.csv,Category Sort Order,3
Falling,call_100020.csv,Category Sort Order,4
Rising,call_100021.csv,Category Sort Order,2
Falling,call_100022.csv,Category Sort Order,4
Falling,call_100024.csv,Category Sort Order,4
Rising,call_100025.csv,Category Sort Order,2
Falling,call_100027.csv,Category Sort Order,4
Falling,call_100029.csv,Category Sort Order,4
Rising,call_100033.csv,Category Sort Order,2
Rising,call_100034.csv,Category Sort Order,2
Falling,call_100035.csv,Category Sort Order,4
Rising,call_100036.csv,Category Sort Order,2
Falling,call_100037.csv,Category Sort Order,4
Rising,call_100040.csv,Category Sort Order,2
Falling,call_100042.csv,Category Sort Order,4
Falling,call_100044.csv,Category Sort Order,4
Rising,call_100048.csv,Category Sort Order,2
Falling,call_100050.csv,Category Sort Order,4
Rising,call_100051.csv,Category Sort Order,2
Falling,call_100052.csv,Category Sort Order,4
Steady Neutral,call_100055.csv,Category Sort Order,3
Steady Neutral,call_100057.csv,Category Sort Order,3
Falling,call_100059.csv,Category Sort Order,4
Falling,call_100060.csv,Category Sort Order,4
Rising,call_100063.csv,Category Sort Order,2
Falling,call_100065.csv,Category Sort Order,4
Rising,call_100066.csv,Category Sort Order,2
Falling,call_100067.csv,Category Sort Order,4
Rising,call_100070.csv,Category Sort Order,2
Falling,call_100072.csv,Category Sort Order,4
Steady Neutral,call_100074.csv,Category Sort Order,3
Steady Neutral,call_100078.csv,Category Sort Order,3
Falling,call_100080.csv,Category Sort Order,4
Rising,call_100081.csv,Category Sort Order,2
Falling,call_100082.csv,Category Sort Order,4
Rising,call_100085.csv,Category Sort Order,2
Falling,call_100087.csv,Category Sort Order,4
Falling,call_100089.csv,Category Sort Order,4
Rising,call_100093.csv,Category Sort Order,2
Steady Neutral,call_100095.csv,Category Sort Order,3
Steady Neutral,call_100096.csv,Category Sort Order,3
Falling,call_100097.csv,Category Sort Order,4
Steady Neutral,call_100099.csv,Category Sort Order,3
Rising,call_100100.csv,Category Sort Order,2
Falling,call_100102.csv,Category Sort Order,4
Falling,call_100104.csv,Category Sort Order,4
Rising,call_100108.csv,Category Sort Order,2
Steady Neutral,call_100109.csv,Category Sort Order,3
Falling,call_100110.csv,Category Sort Order,4
Rising,call_100111.csv,Category Sort Order,2
Falling,call_100112.csv,Category Sort Order,4
Steady Neutral,call_100115.csv,Category Sort Order,3
Rising,call_100116.csv,Category Sort Order,2
Falling,call_100117.csv,Category Sort Order,4
Rising,call_100118.csv,Category Sort Order,2
Falling,call_100119.csv,Category Sort Order,4
Rising,call_100123.csv,Category Sort Order,2
Rising,call_100124.csv,Category Sort Order,2
Steady Neutral,call_100125.csv,Category Sort Order,3
Rising,call_100126.csv,Category Sort Order,2
Steady Neutral,call_100127.csv,Category Sort Order,3
Rising,call_100130.csv,Category Sort Order,2
Rising,call_100131.csv,Category Sort Order,2
Falling,call_100132.csv,Category Sort Order,4
Falling,call_100134.csv,Category Sort Order,4
Rising,call_100138.csv,Category Sort Order,2
Falling,call_100140.csv,Category Sort Order,4
Rising,call_100141.csv,Category Sort Order,2
Falling,call_100142.csv,Category Sort Order,4
Rising,call_100145.csv,Category Sort Order,2
Falling,call_100147.csv,Category Sort Order,4
Falling,call_100149.csv,Category Sort Order,4
Falling,call_100151.csv,Category Sort Order,4
Rising,call_100153.csv,Category Sort Order,2
Falling,call_100155.csv,Category Sort Order,4
Rising,call_100156.csv,Category Sort Order,2
Falling,call_100157.csv,Category Sort Order,4
Rising,call_100160.csv,Category Sort Order,2
Falling,call_100162.csv,Category Sort Order,4
Falling,call_100164.csv,Category Sort Order,4
Rising,call_100168.csv,Category Sort Order,2
Falling,call_100170.csv,Category Sort Order,4
Rising,call_100171.csv,Category Sort Order,2
Falling,call_100172.csv,Category Sort Order,4
Rising,call_100175.csv,Category Sort Order,2
Falling,call_100177.csv,Category Sort Order,4
Falling,call_100179.csv,Category Sort Order,4
Steady Negative,call_100001.csv,Category Sort Order,5
Steady High,call_100004.csv,Category Sort Order,1
Steady Negative,call_100009.csv,Category Sort Order,5
Steady High,call_100011.csv,Category Sort Order,1
Rising,call_100013.csv,Category Sort Order,2
Rising,call_100015.csv,Category Sort Order,2
Steady Negative,call_100016.csv,Category Sort Order,5
Steady Negative,call_100017.csv,Category Sort Order,5
Steady High,call_100019.csv,Category Sort Order,1
Rising,call_100023.csv,Category Sort Order,2
Steady High,call_100026.csv,Category Sort Order,1
Rising,call_100028.csv,Category Sort Order,2
Steady Negative,call_100030.csv,Category Sort Order,5
Steady Negative,call_100031.csv,Category Sort Order,5
Steady Negative,call_100032.csv,Category Sort Order,5
Steady Negative,call_100038.csv,Category Sort Order,5
Steady Negative,call_100039.csv,Category Sort Order,5
Steady High,call_100041.csv,Category Sort Order,1
Rising,call_100043.csv,Category Sort Order,2
Rising,call_100045.csv,Category Sort Order,2
Steady Negative,call_100046.csv,Category Sort Order,5
Steady Negative,call_100047.csv,Category Sort Order,5
Falling,call_100049.csv,Category Sort Order,4
Steady Negative,call_100053.csv,Category Sort Order,5
Steady Negative,call_100054.csv,Category Sort Order,5
Steady High,call_100056.csv,Category Sort Order,1
Rising,call_100058.csv,Category Sort Order,2
Steady Negative,call_100061.csv,Category Sort Order,5
Steady Negative,call_100062.csv,Category Sort Order,5
Steady High,call_100064.csv,Category Sort Order,1
Steady Negative,call_100068.csv,Category Sort Order,5
Steady Negative,call_100069.csv,Category Sort Order,5
Steady High,call_100071.csv,Category Sort Order,1
Rising,call_100073.csv,Category Sort Order,2
Steady Negative,call_100075.csv,Category Sort Order,5
Steady Negative,call_100076.csv,Category Sort Order,5
Steady Negative,call_100077.csv,Category Sort Order,5
Steady High,call_100079.csv,Category Sort Order,1
Steady Negative,call_100083.csv,Category Sort Order,5
Steady Negative,call_100084.csv,Category Sort Order,5
Falling,call_100086.csv,Category Sort Order,4
Rising,call_100088.csv,Category Sort Order,2
Steady Negative,call_100090.csv,Category Sort Order,5
Steady Negative,call_100091.csv,Category Sort Order,5
Steady Negative,call_100092.csv,Category Sort Order,5
Steady High,call_100094.csv,Category Sort Order,1
Rising,call_100098.csv,Category Sort Order,2
Steady High,call_100101.csv,Category Sort Order,1
Rising,call_100103.csv,Category Sort Order,2
Steady Negative,call_100105.csv,Category Sort Order,5
Steady Negative,call_100106.csv,Category Sort Order,5
Rising,call_100107.csv,Category Sort Order,2
Steady Negative,call_100113.csv,Category Sort Order,5
Rising,call_100114.csv,Category Sort Order,2
Steady Negative,call_100120.csv,Category Sort Order,5
Steady Negative,call_100121.csv,Category Sort Order,5
Steady Negative,call_100122.csv,Category Sort Order,5
Steady Negative,call_100128.csv,Category Sort Order,5
Steady Negative,call_100129.csv,Category Sort Order,5
Rising,call_100133.csv,Category Sort Order,2
