CourseID,StudentID,CGPA,Result,Grade,Action,ActionDate
6007,107,1.29,"Fail","F","I",2021-11-30 14:30:34.020
6000,111,1.96,"Fail","F","I",2021-11-30 14:30:34.023
6001,112,1.55,"Fail","F","I",2021-11-30 14:30:34.023
6005,117,2.12,"Fail","F","I",2021-11-30 14:30:34.023
6007,120,1.62,"Fail","F","I",2021-11-30 14:30:34.026
6008,123,1.5,"Fail","F","I",2021-11-30 14:30:34.026
6000,128,1.91,"Fail","F","I",2021-11-30 14:30:34.026
6001,129,1.22,"Fail","F","I",2021-11-30 14:30:34.026
6003,131,2.28,"Fail","F","I",2021-11-30 14:30:34.026
6006,134,2.13,"Fail","F","I",2021-11-30 14:30:34.030
6009,139,1.67,"Fail","F","I",2021-11-30 14:30:34.030
6002,144,1.22,"Fail","F","I",2021-11-30 14:30:34.030
6004,146,1.46,"Fail","F","I",2021-11-30 14:30:34.030
6005,147,1.23,"Fail","F","I",2021-11-30 14:30:34.030
6006,148,1.13,"Fail","F","I",2021-11-30 14:30:34.030
6007,151,2.48,"Fail","F","I",2021-11-30 14:30:34.030
6008,152,2.22,"Fail","F","I",2021-11-30 14:30:34.030
6010,154,2.31,"Fail","F","I",2021-11-30 14:30:34.033
6000,155,2.18,"Fail","F","I",2021-11-30 14:30:34.033
6003,158,1.91,"Fail","F","I",2021-11-30 14:30:34.033
6004,159,1.88,"Fail","F","I",2021-11-30 14:30:34.033
6005,160,1.95,"Fail","F","I",2021-11-30 14:30:34.033
6008,163,2.48,"Fail","F","I",2021-11-30 14:30:34.033
6009,164,1.27,"Fail","F","I",2021-11-30 14:30:34.033
6010,165,1.94,"Fail","F","I",2021-11-30 14:30:34.033
6002,169,1.7,"Fail","F","I",2021-11-30 14:30:34.033
6003,171,2.37,"Fail","F","I",2021-11-30 14:30:34.033
6006,176,2.36,"Fail","F","I",2021-11-30 14:30:34.036
6000,182,1.13,"Fail","F","I",2021-11-30 14:30:34.036
6002,185,1.59,"Fail","F","I",2021-11-30 14:30:34.036
6003,187,1.86,"Fail","F","I",2021-11-30 14:30:34.040
6008,195,1.14,"Fail","F","I",2021-11-30 14:30:34.040
6009,196,1.23,"Fail","F","I",2021-11-30 14:30:34.040
6002,201,1.5,"Fail","F","I",2021-11-30 14:30:34.040
6005,204,1.5,"Fail","F","I",2021-11-30 14:30:34.040
6006,205,2.47,"Fail","F","I",2021-11-30 14:30:34.040
6007,207,2.49,"Fail","F","I",2021-11-30 14:30:34.040
6008,208,2.36,"Fail","F","I",2021-11-30 14:30:34.040
6009,209,1.41,"Fail","F","I",2021-11-30 14:30:34.040
6010,210,1.71,"Fail","F","I",2021-11-30 14:30:34.043
6000,212,1.77,"Fail","F","I",2021-11-30 14:30:34.043
6001,213,1.54,"Fail","F","I",2021-11-30 14:30:34.043
6004,216,1.49,"Fail","F","I",2021-11-30 14:30:34.043
6005,217,1.74,"Fail","F","I",2021-11-30 14:30:34.043
6006,219,1.71,"Fail","F","I",2021-11-30 14:30:34.043
6007,220,2.43,"Fail","F","I",2021-11-30 14:30:34.043
6008,222,1.27,"Fail","F","I",2021-11-30 14:30:34.043
6009,224,1.52,"Fail","F","I",2021-11-30 14:30:34.043
6000,226,1.18,"Fail","F","I",2021-11-30 14:30:34.043
6002,228,1.52,"Fail","F","I",2021-11-30 14:30:34.043
6004,230,1.81,"Fail","F","I",2021-11-30 14:30:34.046
6007,234,1.12,"Fail","F","I",2021-11-30 14:30:34.046
6008,235,1.6,"Fail","F","I",2021-11-30 14:30:34.046
6009,236,2.29,"Fail","F","I",2021-11-30 14:30:34.046
6010,237,1.4,"Fail","F","I",2021-11-30 14:30:34.046
6000,238,2.2,"Fail","F","I",2021-11-30 14:30:34.046
6003,241,1.41,"Fail","F","I",2021-11-30 14:30:34.046
6004,242,2.44,"Fail","F","I",2021-11-30 14:30:34.046
6000,254,2.36,"Fail","F","I",2021-11-30 14:30:34.050
6001,256,1.96,"Fail","F","I",2021-11-30 14:30:34.050
6003,258,1.6,"Fail","F","I",2021-11-30 14:30:34.050
6007,262,1.31,"Fail","F","I",2021-11-30 14:30:34.050
6009,265,1.62,"Fail","F","I",2021-11-30 14:30:34.053
6010,266,1.27,"Fail","F","I",2021-11-30 14:30:34.053
6000,268,1.78,"Fail","F","I",2021-11-30 14:30:34.053
6001,269,1.73,"Fail","F","I",2021-11-30 14:30:34.053
6002,271,2.42,"Fail","F","I",2021-11-30 14:30:34.053
6004,274,1.14,"Fail","F","I",2021-11-30 14:30:34.053
6005,275,1.27,"Fail","F","I",2021-11-30 14:30:34.053
6006,276,1.11,"Fail","F","I",2021-11-30 14:30:34.053
6008,278,2.22,"Fail","F","I",2021-11-30 14:30:34.053
6009,280,1.93,"Fail","F","I",2021-11-30 14:30:34.053
6001,283,1.34,"Fail","F","I",2021-11-30 14:30:34.056
6002,284,2.1,"Fail","F","I",2021-11-30 14:30:34.056
6005,287,2.26,"Fail","F","I",2021-11-30 14:30:34.056
6007,290,1.59,"Fail","F","I",2021-11-30 14:30:34.056
6002,298,1.81,"Fail","F","I",2021-11-30 14:30:34.056
6003,299,1.92,"Fail","F","I",2021-11-30 14:30:34.056
6006,303,1.53,"Fail","F","I",2021-11-30 14:30:34.060
6007,305,1.41,"Fail","F","I",2021-11-30 14:30:34.060
6009,307,1.15,"Fail","F","I",2021-11-30 14:30:34.060
6001,311,1.86,"Fail","F","I",2021-11-30 14:30:34.060
6008,324,1.23,"Fail","F","I",2021-11-30 14:30:34.060
6009,327,2.1,"Fail","F","I",2021-11-30 14:30:34.060
6010,329,2.35,"Fail","F","I",2021-11-30 14:30:34.063
6000,332,2.22,"Fail","F","I",2021-11-30 14:30:34.063
6001,333,1.15,"Fail","F","I",2021-11-30 14:30:34.063
6002,335,1.67,"Fail","F","I",2021-11-30 14:30:34.063
6003,337,1.38,"Fail","F","I",2021-11-30 14:30:34.063
6009,346,1.9,"Fail","F","I",2021-11-30 14:30:34.063
6005,357,2.16,"Fail","F","I",2021-11-30 14:30:34.066
6006,358,1.84,"Fail","F","I",2021-11-30 14:30:34.066
6007,361,1.94,"Fail","F","I",2021-11-30 14:30:34.066
6000,367,1.6,"Fail","F","I",2021-11-30 14:30:34.070
6001,368,2.17,"Fail","F","I",2021-11-30 14:30:34.070
6002,370,1.7,"Fail","F","I",2021-11-30 14:30:34.070
6004,372,1.34,"Fail","F","I",2021-11-30 14:30:34.070
6005,374,2.12,"Fail","F","I",2021-11-30 14:30:34.070
6006,375,1.19,"Fail","F","I",2021-11-30 14:30:34.070
6007,376,2.3,"Fail","F","I",2021-11-30 14:30:34.070
6010,381,1.69,"Fail","F","I",2021-11-30 14:30:34.070
