Curr From,Cur To,Effective Date," Exchange Rate "
"EUR","USD",2014-01-11 00:00:00.000,1.3672
"EUR","USD",2014-01-18 00:00:00.000,1.3557
"EUR","USD",2014-01-25 00:00:00.000,1.3685
"EUR","USD",2014-01-31 00:00:00.000,1.3484
"EUR","USD",2014-02-08 00:00:00.000,1.3618
"EUR","USD",2014-02-15 00:00:00.000,1.3686
"EUR","USD",2014-02-22 00:00:00.000,1.3745
"EUR","USD",2014-02-28 00:00:00.000,1.3811
"EUR","USD",2014-03-08 00:00:00.000,1.3862
"EUR","USD",2014-03-15 00:00:00.000,1.3916
"EUR","USD",2014-03-22 00:00:00.000,1.3807
