Area Path,Column
"Produce\Fruit\Apples","Produce\Fruit\Apples"
"Produce\Fruit\Apples\Fuji","Produce\Fruit\Apples\Fuji"
"Produce\Fruit\Apples\Gala","Produce\Fruit\Apples"
"Produce\Fruit\Apples\Gala","Produce\Fruit\Apples"
"Produce\Fruit\Apples\Granny Smith","Produce\Fruit\Apples"
"Produce\Fruit\Grapes\Red","Produce\Fruit\Grapes"
"Produce\Fruit\Grapes\Green","Produce\Fruit\Grapes"
"Produce\Fruit\Pears","Produce\Fruit"
"Produce\Vegetables\Squash\Zucchini\Green","Produce\Vegetables\Squash\Zucchini"
"Produce\Vegetables\Squash\Zucchini\Yellow","Produce\Vegetables\Squash\Zucchini"
"Produce\Vegetables\Squash\Acorn","Produce\Vegetables\Squash\Acorn"
"Produce\Vegetables\Squash\Butternut","Produce\Vegetables\Squash"
"Produce\Vegetables\Broccoli","Produce\Vegetables\Broccoli"
"Produce\Vegetables\Cauliflower","Produce\Vegetables"
"Produce\Vegetables","Produce\Vegetables"
"Produce\Mushroom\Cremini",""
