Date,variable,value
2021-01-01 00:00:00.000,Year,2021
2021-02-01 00:00:00.000,Year,2021
2021-03-01 00:00:00.000,Year,2021
2021-04-01 00:00:00.000,Year,2021
2021-05-01 00:00:00.000,Year,2021
2021-06-01 00:00:00.000,Year,2021
2021-07-01 00:00:00.000,Year,2021
2021-08-01 00:00:00.000,Year,2021
2021-09-01 00:00:00.000,Year,2021
2021-10-01 00:00:00.000,Year,2021
2021-11-01 00:00:00.000,Year,2021
2021-12-01 00:00:00.000,Year,2021
2021-01-01 00:00:00.000,Mes,1
2021-02-01 00:00:00.000,Mes,2
2021-03-01 00:00:00.000,Mes,3
2021-04-01 00:00:00.000,Mes,4
2021-05-01 00:00:00.000,Mes,5
2021-06-01 00:00:00.000,Mes,6
2021-07-01 00:00:00.000,Mes,7
2021-08-01 00:00:00.000,Mes,8
2021-09-01 00:00:00.000,Mes,9
2021-10-01 00:00:00.000,Mes,10
2021-11-01 00:00:00.000,Mes,11
2021-12-01 00:00:00.000,Mes,12
2021-01-01 00:00:00.000,Meses,ENERO
2021-02-01 00:00:00.000,Meses,FEBRERO
2021-03-01 00:00:00.000,Meses,MARZO
2021-04-01 00:00:00.000,Meses,ABRIL
2021-05-01 00:00:00.000,Meses,MAYO
2021-06-01 00:00:00.000,Meses,JUNIO
2021-07-01 00:00:00.000,Meses,JULIO
2021-08-01 00:00:00.000,Meses,AGOSTO
2021-09-01 00:00:00.000,Meses,SEPTIEMBRE
2021-10-01 00:00:00.000,Meses,OCTUBRE
2021-11-01 00:00:00.000,Meses,NOVIEMBRE
2021-12-01 00:00:00.000,Meses,DICIEMBRE
2021-01-01 00:00:00.000,Trimestre,Trim. 1
2021-02-01 00:00:00.000,Trimestre,Trim. 1
2021-03-01 00:00:00.000,Trimestre,Trim. 1
2021-04-01 00:00:00.000,Trimestre,Trim. 2
2021-05-01 00:00:00.000,Trimestre,Trim. 2
2021-06-01 00:00:00.000,Trimestre,Trim. 2
2021-07-01 00:00:00.000,Trimestre,Trim. 3
2021-08-01 00:00:00.000,Trimestre,Trim. 3
2021-09-01 00:00:00.000,Trimestre,Trim. 3
2021-10-01 00:00:00.000,Trimestre,Trim. 4
2021-11-01 00:00:00.000,Trimestre,Trim. 4
2021-12-01 00:00:00.000,Trimestre,Trim. 4
