ProductKey,OrderDateKey,SalesAmount,SalesTerritoryKey
369,20061116,2443.35,10
574,20070905,2384.07,4
529,20080508,3.99,1
368,20070104,2443.35,9
529,20071017,3.99,1
217,20070826,34.99,4
480,20071029,2.29,9
222,20080204,34.99,6
313,20051027,3578.27,1
537,20070819,35.0,4
565,20080619,742.35,9
485,20070715,21.98,9
536,20080603,29.99,9
222,20080229,34.99,9
477,20080324,4.99,10
529,20080717,3.99,10
465,20080622,24.49,1
382,20070718,1120.49,4
313,20050714,3578.27,1
477,20080505,4.99,6
535,20080206,24.99,1
537,20080112,35.0,4
222,20070907,34.99,6
528,20071113,4.99,10
225,20080616,8.99,7
352,20061208,2071.4196,9
479,20080611,8.99,9
355,20071209,2319.99,4
477,20080612,4.99,4
471,20070819,63.5,10
477,20080212,4.99,4
487,20080516,54.99,9
217,20080612,34.99,7
537,20070908,35.0,4
480,20070919,2.29,1
480,20070809,2.29,8
344,20060115,3399.99,7
480,20080119,2.29,7
580,20080518,1700.99,6
605,20071028,539.99,9
314,20060513,3578.27,7
477,20071001,4.99,10
479,20070808,8.99,7
477,20080323,4.99,8
310,20050725,3578.27,10
478,20080324,9.99,4
478,20080109,9.99,4
529,20080518,3.99,8
487,20071117,54.99,10
237,20071111,49.99,9
480,20080613,2.29,4
214,20071130,34.99,6
478,20070913,9.99,10
580,20080204,1700.99,9
477,20080417,4.99,8
491,20080110,53.99,7
384,20071201,1120.49,4
574,20080428,2384.07,4
479,20080509,8.99,4
222,20080428,34.99,6
225,20080318,8.99,7
538,20080601,21.49,9
537,20080508,35.0,9
477,20071120,4.99,6
479,20080221,8.99,9
477,20080407,4.99,6
363,20070731,2294.99,1
485,20080517,21.98,1
310,20050820,3578.27,10
477,20071025,4.99,6
225,20080128,8.99,1
217,20071203,34.99,4
528,20080723,4.99,6
529,20071115,3.99,9
477,20080403,4.99,9
479,20071018,8.99,9
478,20080403,9.99,6
473,20071028,63.5,9
528,20080729,4.99,8
465,20080513,24.49,1
214,20080110,34.99,4
477,20080219,4.99,1
582,20080629,1700.99,4
528,20080207,4.99,9
214,20080102,34.99,8
478,20080308,9.99,8
535,20071223,24.99,8
477,20080628,4.99,4
530,20080603,4.99,8
606,20080315,539.99,10
344,20051113,3399.99,8
586,20071211,742.35,10
361,20080512,2294.99,10
382,20071016,1120.49,10
228,20071003,49.99,4
487,20080610,54.99,1
355,20080127,2319.99,1
477,20080617,4.99,10
480,20080107,2.29,8
528,20070811,4.99,9
