FACT_EINSATZ.Alarmdatumbezug,FACT_EINSATZ.Alarmdatumzeit,FACT_EINSATZ.Belegnummer,FACT_EINSATZ.DIM_AUFTRAGSSTATUS_INKL_ARS_KEY,FACT_EINSATZ.DIM_AUFTRAGSSTATUS_KEY,FACT_EINSATZ.DIM_DATE_ALARM_KEY,FACT_EINSATZ.DIM_TIME_ALARM_KEY,FACT_EINSATZ.DIM_URSACHE_ALARM_KEY,FACT_EINSATZ.dss_create_time,FACT_EINSATZ.dss_update_time,FACT_EINSATZ.ernam,FACT_EINSATZ.FACT_EINSATZ_SK,FACT_EINSATZ.HatDurchgeführteARSPosition,FACT_EINSATZ.IstNachteinsatz,FACT_EINSATZ.Vertriebsorganisation
2018-10-02 00:00:00.000,2018-10-02 12:06:00.000,"0000411827","2","2","10503","70231","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","273051","","0","0001"
2018-10-02 00:00:00.000,2018-10-02 13:31:00.000,"0000411831","2","2","10503","40440","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","273052","","0","0001"
2018-10-02 00:00:00.000,2018-10-02 14:46:00.000,"0000411833","2","2","10503","41562","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","273053","","0","0001"
2018-10-03 00:00:00.000,2018-10-03 08:15:00.000,"0000411855","2","2","10504","79263","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","268349","","0","0001"
2018-10-03 00:00:00.000,2018-10-03 10:59:00.000,"0000411858","2","2","10504","27190","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","268350","","0","0001"
2018-10-03 00:00:00.000,2018-10-03 12:16:00.000,"0000411860","2","2","10504","34899","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","272999","","0","0001"
2018-10-03 00:00:00.000,2018-10-03 13:03:00.000,"0000411865","2","2","10504","70674","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","268351","","0","0001"
2018-10-03 00:00:00.000,2018-10-03 13:03:00.000,"0000411866","2","2","10504","70674","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","268352","","0","0001"
2018-10-03 00:00:00.000,2018-10-03 14:18:00.000,"0000411868","2","2","10504","71252","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","268354","","0","0001"
2018-10-03 00:00:00.000,2018-10-03 14:28:00.000,"0000411867","2","2","10504","71334","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","268353","","0","0001"
2018-10-03 00:00:00.000,2018-10-03 14:52:00.000,"0000411872","2","2","10504","41881","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","273000","","0","0001"
2018-10-03 00:00:00.000,2018-10-03 18:14:00.000,"0000411881","2","2","10504","72986","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","273001","","1","0001"
2018-10-03 00:00:00.000,2018-10-03 19:04:00.000,"0000411887","2","2","10504","52852","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","268356","","1","0001"
2018-10-03 00:00:00.000,2018-10-03 19:39:00.000,"0000411890","2","2","10504","54723","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","273002","","1","0001"
2018-10-04 00:00:00.000,2018-10-04 08:45:00.000,"0000411903","2","2","10505","25166","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","270649","","0","0001"
2018-10-04 00:00:00.000,2018-10-04 13:31:00.000,"0000411920","2","2","10505","40440","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","270722","","0","0001"
2018-10-04 00:00:00.000,2018-10-04 18:12:00.000,"0000411937","2","2","10505","50627","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","270755","","0","0001"
2018-10-04 00:00:00.000,2018-10-04 18:23:00.000,"0000411938","2","2","10505","49906","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","270756","","0","0001"
2018-10-04 00:00:00.000,2018-10-04 23:06:00.000,"0000411947","2","2","10505","63087","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","270757","","1","0001"
2018-10-05 00:00:00.000,2018-10-05 08:43:00.000,"0000411956","2","2","10506","25152","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","270663","","0","0001"
2018-10-05 00:00:00.000,2018-10-05 12:15:00.000,"0000411959","2","2","10506","70302","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","270665","","0","0001"
2018-10-05 00:00:00.000,2018-10-05 12:16:00.000,"0000411958","2","2","10506","34899","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","270664","","0","0001"
2018-10-05 00:00:00.000,2018-10-05 13:26:00.000,"0000411960","2","2","10506","37143","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","270666","","0","0001"
2018-10-05 00:00:00.000,2018-10-05 18:17:00.000,"0000411984","2","2","10506","45832","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","270670","","0","0001"
2018-10-05 00:00:00.000,2018-10-05 18:18:00.000,"0000411981","2","2","10506","55056","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","270667","","0","0001"
2018-10-05 00:00:00.000,2018-10-05 19:41:00.000,"0000411982","2","2","10506","49940","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","270668","","1","0001"
2018-10-05 00:00:00.000,2018-10-05 23:03:00.000,"0000411993","2","2","10506","62646","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","270672","","1","0001"
2018-10-06 00:00:00.000,2018-10-07 03:55:00.000,"0000412042","2","2","10508","10375","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","270735","","1","0001"
2018-10-06 00:00:00.000,2018-10-07 07:16:00.000,"0000412044","2","2","10508","18959","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","270736","","0","0001"
2018-10-06 00:00:00.000,2018-10-06 13:26:00.000,"0000412010","2","2","10507","37143","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","270882","","0","0001"
2018-10-06 00:00:00.000,2018-10-06 18:15:00.000,"0000412030","2","2","10507","49852","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","270899","","1","0001"
2018-10-06 00:00:00.000,2018-10-06 19:31:00.000,"0000412031","2","2","10507","61293","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","270900","","1","0001"
2018-10-06 00:00:00.000,2018-10-06 19:59:00.000,"0000412033","2","2","10507","73761","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","266765","","1","0001"
2018-10-06 00:00:00.000,2018-10-06 21:46:00.000,"0000412037","2","2","10507","59671","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","268780","","1","0001"
2018-10-07 00:00:00.000,2018-10-08 06:57:00.000,"0000412074","2","2","10509","78691","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","276620","","1","0001"
2018-10-07 00:00:00.000,2018-10-07 08:41:00.000,"0000412046","2","2","10508","79469","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","270737","","0","0001"
2018-10-08 00:00:00.000,2018-10-08 09:06:00.000,"0000412076","2","2","10509","68906","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","276694","","0","0001"
2018-10-08 00:00:00.000,2018-10-08 09:11:00.000,"0000412081","2","2","10509","68938","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","276695","","0","0001"
2018-10-08 00:00:00.000,2018-10-08 10:30:00.000,"0000412085","2","2","10509","30170","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","276696","","0","0001"
2018-10-08 00:00:00.000,2018-10-08 11:51:00.000,"0000412090","2","2","10509","80923","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","276697","","0","0001"
2018-10-08 00:00:00.000,2018-10-08 15:06:00.000,"0000412093","2","2","10509","42344","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","276698","","1","0001"
2018-10-08 00:00:00.000,2018-10-08 15:18:00.000,"0000412096","2","2","10509","38048","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","276699","","0","0001"
2018-10-08 00:00:00.000,2018-10-08 16:29:00.000,"0000412100","2","2","10509","41207","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","276701","","0","0001"
2018-10-08 00:00:00.000,2018-10-08 17:58:00.000,"0000412104","2","2","10509","54154","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","276702","","1","0001"
2018-10-10 00:00:00.000,2018-10-10 08:46:00.000,"0000412151","2","2","10511","25018","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","272917","","0","0001"
2018-10-10 00:00:00.000,2018-10-10 14:50:00.000,"0000412179","2","2","10511","40196","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","272944","","0","0001"
2018-10-11 00:00:00.000,2018-10-12 06:07:00.000,"0000412238","2","2","10513","15796","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","272945","","1","0001"
2018-10-11 00:00:00.000,2018-10-11 12:14:00.000,"0000412212","2","2","10512","33727","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","273089","","0","0001"
2018-10-11 00:00:00.000,2018-10-11 13:24:00.000,"0000412215","2","2","10512","39960","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","273090","","0","0001"
2018-10-11 00:00:00.000,2018-10-11 14:52:00.000,"0000412221","2","2","10512","41881","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","273092","","0","0001"
2018-10-11 00:00:00.000,2018-10-11 19:34:00.000,"0000412230","2","2","10512","73568","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","273093","","1","0001"
2018-10-12 00:00:00.000,2018-10-12 13:33:00.000,"0000412265","2","2","10513","70894","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","272947","","0","0001"
2018-10-12 00:00:00.000,2018-10-12 19:31:00.000,"0000412286","2","2","10513","61293","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","270812","","0","0001"
2018-10-12 00:00:00.000,2018-10-12 19:42:00.000,"0000412284","2","2","10513","49635","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","272948","","1","0001"
2018-10-12 00:00:00.000,2018-10-12 23:04:00.000,"0000412291","2","2","10513","65502","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","270813","","1","0001"
2018-10-13 00:00:00.000,2018-10-13 09:58:00.000,"0000412298","2","2","10514","27864","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","270738","","0","0001"
2018-10-13 00:00:00.000,2018-10-13 12:02:00.000,"0000412306","2","2","10514","81000","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","270766","","0","0001"
2018-10-13 00:00:00.000,2018-10-13 12:03:00.000,"0000412308","2","2","10514","81011","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","270767","","0","0001"
2018-10-13 00:00:00.000,2018-10-13 12:15:00.000,"0000412309","2","2","10514","70302","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","270768","","0","0001"
2018-10-13 00:00:00.000,2018-10-13 13:25:00.000,"0000412318","2","2","10514","37992","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","270770","","0","0001"
2018-10-13 00:00:00.000,2018-10-13 13:34:00.000,"0000412314","2","2","10514","70904","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","270769","","0","0001"
2018-10-13 00:00:00.000,2018-10-13 14:45:00.000,"0000412327","2","2","10514","43838","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","270771","","0","0001"
2018-10-13 00:00:00.000,2018-10-13 14:56:00.000,"0000412336","2","2","10514","37685","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","270772","","0","0001"
2018-10-13 00:00:00.000,2018-10-13 18:14:00.000,"0000412353","2","2","10514","72986","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","270773","","1","0001"
2018-10-14 00:00:00.000,2018-10-15 02:38:00.000,"0000412423","2","2","10516","6602","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","271083","","1","0001"
2018-10-14 00:00:00.000,2018-10-15 02:43:00.000,"0000412424","2","2","10516","7782","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","271084","","1","0001"
2018-10-14 00:00:00.000,2018-10-14 12:10:00.000,"0000412379","2","2","10515","36368","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","272810","","0","0001"
2018-10-14 00:00:00.000,2018-10-14 13:24:00.000,"0000412383","2","2","10515","39960","0",2018-10-17 14:50:49.000,2018-11-05 05:48:35.000,"JCO_ELS","272811","","0","0001"
